fan gas 58 fan use 41
for that 85 for and 46
for has 54 for was 254
for had 67 for has 55
for was 172 for for 395
for had 89 for has 158
for may 62 for was 288
for day 63 for was 40
for had 99 for was 186
for and 46 for had 74
for was 1669 for are 125
for real 92 for way 52
for had 172 for has 133
for may 144 for two 230
for was 420 for was 475
for was 94 for and 51
for has 110 for was 46
for does 49 for had 50
for has 203 for was 508
for has 42 for was 646
for was 70 for and 43
for are 165 for law 125
for man 253 for and 77
for had 337 for has 41
for was 238 for was 85
for was 44 for was 133
for had 40 for has 159
for was 107 for was 63
for and 100 for has 66
for law 109 for was 729
for was 126 for was 90
for was 42 for has 67
for was 621 for and 43
for man 74 for was 51
for was 283 for are 40
for was 256 for mean 42
for was 72 for does 48
for has 47 for was 359
for real 70 for had 50
for was 397 for was 50
for are 915 for can 84
for has 430 for may 706
for was 2303 for had 49
for was 101 for can 49
for had 154 for has 104
for was 707 for was 50
for was 53 for man 61
for was 48 for and 43
for has 93 for was 312
for and 92 for and 51
for and 504 for has 85
for was 181 for has 113
for was 186 for had 277
for has 235 for was 466
for was 40 for was 400
for was 76 for was 79
for are 54 for and 75
for has 106 for was 351
for can 69 for has 260
for may 49 for was 1471
for has 129 for was 383
for was 55 for and 83
for can 145 for does 104
for has 198 for was 427
for and 176 for did 68
for for 263 for had 350
for has 356 for was 1476
for and 61 for was 164
for and 71 for had 201
for has 214 for was 1501
for was 45 for was 46
for was 87 for was 70
for was 114 for has 42
for was 94 for had 251
for has 206 for was 1138
for has 62 for was 367
for can 174 for does 176
for had 55 for has 816
for may 70 for was 50
for was 55 for was 65
for was 57 for was 271
for was 47 for was 64
for had 170 for has 191
for was 339 for can 57
for has 45 for was 78
for has 72 for was 120
for and 99 for man 77
for men 129 for and 57
for was 81 for has 89
for was 228 for can 85
for had 61 for has 162
for may 41 for was 1879
for was 172 for and 65
for are 87 for man 475
for men 259 for had 53
for was 67 for her 43
for and 54 for and 485
for out 41 for and 44
for god 1291 for her 76
for him 195 for his 41
for our 60 for this 63
for you 176 for and 95
for are 44 for had 43
for out 45 for not 47
for that 184 for this 48
for that 244 for god 144
for her 72 for him 605
for our 123 for them 653
for god 194 for him 173
for our 86 for them 93
for you 67 for all 2158
for and 116 for any 1328
for both 597 for but 251
for far 91 for few 379
for for 100 for got 149
for had 968 for his 248
for long 1712 for met 358
for not 6310 for now 614
for one 214 for our 116
for set 122 for that 69
for this 208 for thus 68
for too 51 for two 587
for yet 512 for him 58
for our 46 for them 41
for and 264 for not 47
for both 76 for him 65
for how 158 for not 137
for that 1115 for them 47
for any 102 for our 63
for and 380 for and 64
for can 86 for with 41
for and 42 for him 139
for our 46 for our 62
for them 48 for our 48
for them 142 for this 51
for use 59 for aim 61
for all 1045 for ask 92
for bear 75 for beg 108
for not 297 for now 363
for pay 367 for read 47
for try 95 for use 82
for not 547 for them 61
for her 61 for him 249
for one 305 for our 42
for six 52 for ten 105
for them 146 for two 327
for with 42 for and 161
for that 158 for our 40
for our 56 for that 40
for them 149 for god 765
for her 91 for him 450
for our 52 for them 280
for you 1013 for and 65
for and 75 for all 2082
for being 185 for both 246
for but 47 for each 51
for going 82 for ill 170
for met 49 for not 2475
for now 486 for set 46
for then 132 for thus 41
for all 76 for not 337
for now 98 for pay 367
for see 66 for use 580
for that 45 for and 192
for and 49 for that 312
for was 62 for was 45
for man 40 for sat 328
for man 40 for all 51
for that 42 for that 254
for lying 667 for thus 58
for yet 199 for meat 45
for war 563 for you 54
for his 42 for her 51
for her 49 for her 66
for him 73 for his 86
for near 94 for out 46
for them 46 for you 58
for how 53 for who 89
for him 76 for his 56
for his 97 for this 56
for you 51 for few 356
for six 52 for ten 54
for two 92 for year 84
for few 322 for two 329
for year 99 for few 49
for year 40 for not 61
for are 123 for and 119
for for 523 for and 140
for with 46 for and 92
for with 52 for and 55
for asia 218 for mid 260
for new 45 for own 307
for age 55 for two 66
for that 262 for and 73
for for 62 for than 310
for than 108 for one 89
for low 41 for than 145
for than 49 for who 44
for age 87 for own 178
for and 40 for own 367
for way 44 for was 47
for out 499 for for 224
for and 137 for out 550
for with 232 for out 125
for that 322 for they 66
for and 60 for men 50
for out 96 for them 61
for old 54 for and 50
for any 133 for both 115
for had 45 for sex 187
for that 110 for this 114
for each 55 for them 226
for men 68 for them 83
for and 71 for how 313
for that 518 for and 63
for how 200 for new 46
for men 40 for and 99
for out 101 for with 80
for for 73 for and 59
for men 40 for them 90
for use 64 for and 274
for each 43 for men 53
for out 268 for with 44
for and 69 for out 157
for off 54 for that 87
for and 83 for for 98
for out 671 for with 42
for out 107 for with 40
for out 222 for being 99
for any 82 for this 43
for and 41 for men 59
for and 76 for that 177
for they 42 for and 135
for for 109 for and 581
for but 45 for for 396
for out 196 for with 192
for and 94 for than 117
for out 60 for its 40
for her 53 for him 45
for her 93 for him 107
for you 65 for him 43
for you 112 for and 83
for own 71 for and 252
for own 264 for own 94
for and 301 for for 172
for with 59 for are 40
for and 203 for end 76
for and 97 for and 45
for art 150 for art 154
for than 47 for than 43
for poem 46 for one 43
for own 85 for our 149
for and 64 for and 346
for are 60 for that 126
for was 516 for and 41
for was 47 for and 57
fro with 90 fun each 108
fun you 74 fun for 40
fun and 203 fun going 90
fur and 48 fur own 94
fur them 44 fur own 50
