sachem of mount hope 128
serves as fresh means 268
serves as grazing land 40
serves as human food 44
serves as input data 87
serves as input into 137
serves as plant food 40
serves as senior vice 131
serves in chief part 66
serves in human life 111
serves in large part 113
serves me right there 84
serves the altar must 64
serves the child well 68
serves the crown more 45
serves the exact same 66
serves the human need 54
serves the human race 77
serves the nation best 52
serves the nation well 66
serves the people best 92
serves the people well 153
serves the reader well 71
serves the right side 100
serves the rural areas 57
serves the social good 166
serves the state well 45
serves the whole body 104
serves the whole city 77
serves the whole town 55
serves the world best 90
serves to alert other 58
serves to avoid much 44
serves to carry away 606
serves to carry over 42
serves to close down 43
serves to cover over 342
serves to create more 247
serves to create some 46
serves to create what 49
serves to deter other 47
serves to drain away 89
serves to drive away 264
serves to drive down 58
serves to drive home 386
serves to focus more 102
serves to focus their 63
serves to focus upon 51
serves to focus your 72
serves to force into 62
serves to gloss over 310
serves to guide their 62
serves to light their 59
serves to limit their 175
serves to limit what 62
serves to paper over 57
serves to place some 50
serves to place these 54
serves to prove once 70
serves to prove their 54
serves to prove what 152
serves to raise more 50
serves to raise some 56
serves to raise their 83
serves to reveal more 276
serves to reveal some 73
serves to reveal their 87
serves to reveal what 87
serves to scare away 126
serves to smooth over 107
serves to store food 53
serves to strip away 118
serves to sweep away 130
serves to unify these 48
serves to unite these 94
serves to weaken their 65
serves to while away 242
serves us jolly well 64
serves us quite well 60
servings of fatty fish 176
servings of foods from 314
servings of foods high 46
servings of foods rich 178
servings of green leafy 73
servings of roast beef 67
sesame or poppy seed 64
sesame to every door 54
sesame to every heart 60
sesame to every home 42
session an event took 109
session at abbey road 271
session at which only 119
session at which such 509
session at which their 67
session at which there 57
session at which these 62
session at which time 183
session he would have 140
session he would move 100
session in march last 65
session in paris from 67
session in talking over 97
session in which four 47
session in which john 42
session in which many 62
session in which more 55
session in which only 197
session in which some 263
session in which such 895
session in which their 136
session in which there 341
session in which these 161
session in which three 48
session in which your 91
session is given over 177
session is nearly over 185
session is often used 45
session is taken from 46
session it would have 107
session of about four 86
session of about three 140
session of court held 97
session of eight days 266
session of forty days 92
session of nearly four 111
session of nearly three 96
session of seven days 162
session of sixty days 217
session of thirty days 141
session or meeting held 42
session the first time 57
session the first week 101
session the house sits 46
session the rules were 41
session to agree upon 47
session to allow time 66
session to enact laws 45
session to forty days 40
session to share their 80
session to sixty days 41
session to write down 135
session we shall find 49
session we shall have 155
session we voted more 161
session we would have 53
settings as shown here 71
settings in rural areas 42
settings in urban areas 43
settings in which care 726
settings in which data 88
settings in which early 131
settings in which even 82
settings in which health 735
settings in which high 139
settings in which many 351
settings in which more 228
settings in which most 904
settings in which much 148
settings in which only 256
settings in which other 132
settings in which reading 106
settings in which self 104
settings in which some 171
settings in which such 1812
settings in which their 1215
settings in which there 1208
settings in which these 4220
settings in which those 360
settings in which time 93
settings in which work 230
settings in which young 284
settings in which your 93
settings in which youth 89
settings of daily life 239
settings of human life 61
settings of social life 225
settings of social work 120
settings of texts from 185
settings on either side 79
settings the first time 246
settings to create your 41
settings to match those 253
settings to match your 276
settings to print form 96
settle by force what 41
settle in every part 66
settle in rural areas 918
settle in urban areas 917
settle it right away 119
settle it right here 232
settle it right there 199
settle my hotel bill 63
settle on either side 176
settle on indian land 125
settle on roman soil 75
settle or plant there 113
settle the child down 52
settle the claim made 44
settle the class down 112
settle the crown upon 441
settle the debts owed 44
settle the exact date 45
settle the exact spot 45
settle the exact time 93
settle the final form 65
settle the hotel bill 160
settle the irish land 492
settle the issue among 72
settle the issue here 241
settle the issue once 2542
settle the issue over 171
settle the issue there 45
settle the issue when 77
settle the kingdom upon 44
settle the lands west 58
settle the point once 108
settle the score once 227
settle the score when 49
settle the terms upon 226
settle the whole bill 40
settle the whole case 111
settle the whole debt 68
settle the whole plan 44
settle the whole race 74
settle to anything else 175
settling in quite well 91
settling in rural areas 508
settling in urban areas 611
settling of blood into 108
settling of people from 41
settling of which lord 85
settling on either side 63
settling on indian land 107
settling the civil list 441
settling the crown upon 378
settling the diadem upon 66
settling the hotel bill 41
settling the irish land 66
settling the issue once 191
settling the kingdom upon 97
settling the people there 97
settling the people upon 53
settling the period when 61
settling the right form 43
settling the terms upon 137
seventh in order from 108
seventh in value among 44
seventh is still more 131
seventh of every month 335
seventh of henry viii 131
seventh of which were 44
seventh or eighth among 108
seventh or eighth book 181
seventh or eighth days 45
seventh or eighth hour 145
seventh or eighth inning 454
seventh or eighth mile 143
seventh or eighth month 6744
seventh or eighth part 192
seventh or eighth rank 107
seventh or eighth ribs 76
seventh or eighth time 1208
seventh or eighth week 2851
seventh or eighth years 154
seventh or eight month 87
seventh or minor ninth 62
seventh the gates were 52
seventh the total length 101
seventh to black eyes 46
seventh to eighth month 166
seventh to eighth week 355
severe as might have 328
severe as would have 126
severe at night when 99
severe in adult life 57
severe in either case 43
severe in hunting down 66
severe in later life 62
severe in later years 51
severe in rural areas 465
severe in urban areas 232
severe it might have 42
severe it would have 40
severe of which were 55
severe on either side 58
severe or lasts more 70
severe or total loss 101
severe or where there 52
severe to cause some 40
severing of social ties 226
severing the child from 52
severing the lands held 65
severing the navel string 56
severs the child from 43
sewage in rural areas 47
sewage is spread over 71
sewage of nearly three 92
sewers in urban areas 103
sewers of large size 66
sewers of paris were 78
sewers on either side 57
sewers to carry away 466
sexism in social work 78
shacks in which most 40
shacks on either side 130
shaded at times into 85
shaded by large elms 53
shaded by large oaks 67
shaded by locks like 43
shaded by lofty elms 183
shaded by noble elms 67
shaded by noble oaks 51
shaded by straw hats 45
shaded by trees from 58
shaded in light blue 138
shaded in light gray 289
shaded on either side 1248
shaded on every side 41
shaded the front door 53
shaded the front lawn 66
shaded the front yard 132
shaded the house from 94
shaded the light from 74
shaded the upper part 166
shades of black skin 42
shades of blond hair 51
shades of brown from 275
shades of brown hair 61
shades of brown ranging 49
shades of brown skin 69
shades of brown were 131
shades of brown when 67
shades of brown will 51
shades of color among 91
shades of color from 507
shades of color have 76
shades of color ranging 78
shades of color such 40
shades of color upon 43
shades of color vary 61
shades of color were 326
shades of color when 69
shades of color will 77
shades of dusty rose 111
shades of evening came 451
shades of evening come 109
shades of evening draw 132
shades of evening drew 704
shades of evening fall 1428
shades of evening fell 1964
shades of evening grew 201
shades of evening have 430
shades of evening having 53
shades of evening made 100
shades of evening soon 41
shades of evening steal 43
shades of evening were 9177
shades of evening will 50
shades of every kind 49
shades of feeling were 74
shades of green among 40
shades of green from 929
shades of green have 66
shades of green into 95
shades of green make 81
shades of green silk 52
shades of green soar 40
shades of green there 263
shades of green upon 54
shades of green were 825
shades of green when 121
shades of green will 188
shades of human beings 44
shades of human life 105
shades of human skin 130
shades of light blue 999
shades of light from 51
shades of light gray 386
shades of light pink 147
shades of loved ones 43
shades of lowly life 76
shades of marco polo 48
shades of night away 134
shades of night came 463
shades of night come 145
shades of night draw 67
shades of night drew 202
shades of night fall 714
shades of night fast 111
shades of night fell 1009
shades of night from 150
shades of night grew 43
shades of night have 659
shades of night having 40
shades of night into 50
shades of night over 146
shades of night shut 82
shades of night soon 290
shades of night upon 41
shades of night were 10080
shades of night when 46
shades of night will 84
shades of royal blue 49
shades of solid form 50
shades of which have 65
shades of which were 150
shades of white from 43
shades of white there 57
shades on either side 123
shades to match your 60
shadings of every sort 43
shadow at evening rising 1032
shadow at every step 70
shadow at every turn 48
shadow he could find 261
shadow in which there 102
shadow is borne along 83
shadow is often seen 53
shadow is passing over 155
shadow is rather blue 51
shadow is spread over 151
shadow is still there 127
shadow is thrown into 41
shadow is thrown over 82
shadow is thrown upon 237
shadow it casts over 228
shadow it casts upon 141
shadow it throws upon 60
shadow it would cast 193
shadow my every move 83
shadow my white hair 130
shadow my whole life 178
shadow of allah upon 84
shadow of anything like 170
shadow of beacon hill 52
shadow of blame upon 118
shadow of claim upon 125
shadow of danger from 60
shadow of doubt cast 187
shadow of doubt even 48
shadow of doubt ever 148
shadow of doubt fell 68
shadow of doubt from 351
shadow of doubt have 50
shadow of doubt into 49
shadow of doubt left 115
shadow of doubt must 81
shadow of doubt over 1646
shadow of doubt their 60
shadow of doubt there 188
shadow of doubt upon 1348
shadow of doubt were 51
shadow of doubt what 801
shadow of doubt when 102
shadow of doubt will 114
shadow of earthly care 115
shadow of egypt your 312
shadow of every tree 349
shadow of gloom over 435
shadow of gloom upon 44
shadow of green firs 49
shadow of grief over 66
shadow of guilt over 69
shadow of guilt upon 73
shadow of human life 99
shadow of mount etna 264
shadow of mount fuji 118
shadow of mount hood 64
shadow of mount hope 51
shadow of night fell 44
shadow of power over 87
shadow of pride left 72
shadow of pubic hair 106
shadow of saint paul 153
shadow of shame will 58
shadow of sugar loaf 181
shadow of treaty will 85
shadow of turning from 190
shadow of which fell 72
shadow of which felt 416
shadow of which some 63
shadow of which their 66
shadow of which there 100
shadow of whose bare 109
shadow of whose brow 99
shadow of whose great 50
shadow of whose name 209
shadow of whose vine 61
shadow on either side 567
shadow on human life 59
shadow or cover over 86
shadow so every soul 42
shadow so slept upon 49
shadow the whole time 42
shadow we shall live 651
shafts of equal length 59
shafts of every sort 44
shafts of flame were 60
shafts of glory rain 57
shafts of heaven were 41
shafts of light along 64
shafts of light beating 40
shafts of light break 42
shafts of light came 146
shafts of light cast 132
shafts of light coming 413
shafts of light down 308
shafts of light fall 98
shafts of light fell 173
shafts of light from 1866
shafts of light have 55
shafts of light into 651
shafts of light like 166
shafts of light made 59
shafts of light onto 77
shafts of light over 131
shafts of light play 129
shafts of light shot 355
shafts of light upon 173
shafts of light were 381
shafts of which have 110
shafts of which were 303
shafts of whose tall 115
shafts on either side 537
shafts on every side 112
shafts on which these 40
shafts to heaven like 56
shaken by civil wars 76
shaken by every breath 102
shaken by every gust 41
shaken by every wind 684
shaken by spent sobs 59
shaken in every limb 160
shaken in every part 53
shaken on every side 47
shaken or moved from 40
shaken the house down 44
shaken the sleep from 65
shaken the sword from 41
shaken the water from 143
shaken the whole city 55
shaken the world during 46
shaken the world from 74
shaken the world have 86
shakes the bluet like 102
shakes the chain more 65
shakes the solid isle 55
shakes the solid land 69
shakes the stars down 203
shakes the trees upon 44
shakes the water from 377
shakes the white surf 76
shakes the whole body 258
shakes us loose from 50
shamed the nation into 88
shamed the others into 50
shames to start into 95
shanks of which were 44
shaped at every turn 151
shaped by david hume 52
shaped by homer from 46
shaped by human beings 329
shaped by human faith 45
shaped by human hand 127
shaped by human will 184
shaped by input from 70
shaped by social life 102
shaped in every part 388
shaped in front like 63
shaped in human form 142
shaped in large part 5050
shaped in major ways 56
shaped my adult life 58
shaped my thinking over 65
shaped my whole life 244
shaped my world view 44
shaped on either side 125
shaped the daily life 75
shaped the dough into 340
shaped the final form 347
shaped the first half 146
shaped the globe into 40
shaped the human body 186
shaped the human mind 283
shaped the human race 51
shaped the people must 42
shaped the social life 108
shaped the world into 176
shaped the world view 135
shaped to serve their 133
shapes at either side 50
shapes in seeming wise 67
shapes in which their 52
shapes in which there 48
shapes in which these 118
shapes in which those 57
shapes of beasts upon 216
shapes of beauty walk 68
shapes of china jars 44
shapes of equal size 78
shapes of every kind 269
shapes of grief more 111
shapes of human beings 525
shapes of human heads 74
shapes of human life 314
shapes of large areas 51
shapes of naked boys 95
shapes of people moving 71
shapes of sleep from 114
shapes of small areas 136
shapes of stone lions 56
shapes of tools were 54
shapes of trees were 57
shapes of varying size 70
shapes of which have 90
shapes of which vary 47
shapes of which were 260
shapes on either side 1006
shapes on every hand 185
shapes on every side 166
shapes or worse ones 147
shapes the daily life 98
shapes the dough into 175
shapes the human mind 231
shapes the human soul 41
shapes the inner life 46
shapes the world into 107
shapes the world view 81
shapes to create more 147
shapes to create your 121
shards of glass along 43
shards of glass fell 106
shards of glass flew 174
shards of glass flying 292
shards of glass from 1224
shards of glass into 358
shards of glass left 56
shards of glass onto 65
shards of glass over 74
shards of glass were 309
shards of glass when 45
shards of light from 117
shards of metal flying 46
shards of metal from 79
shared an abiding faith 79
shared an abiding love 61
shared an attic room 67
shared by about half 58
shared by anything else 216
shared by eight other 54
shared by eight unit 167
shared by every living 311
shared by every other 689
shared by every single 122
shared by every soul 43
shared by every true 82
shared by every user 53
shared by every young 93
shared by george eliot 87
shared by human beings 985
shared by others also 77
shared by others among 73
shared by others from 64
shared by others like 130
shared by others more 51
shared by others such 125
shared by others when 68
shared by others whom 83
shared by people from 420
shared by people like 107
shared by people living 193
shared by seven other 90
shared by social work 60
shared by woman will 48
shared by women also 53
shared by women from 69
shared in large part 258
shared in later years 48
shared in varying ways 65
shared is power lost 55
shared or given away 1547
shared or taken over 44
shared the booty among 67
shared the child care 115
shared the daily life 133
shared the exact same 163
shared the field work 55
shared the first desk 51
shared the first name 55
shared the first time 52
shared the front line 61
shared the front page 304
shared the front room 60
shared the guest room 54
shared the guilt must 83
shared the happy news 68
shared the hotel room 54
shared the lands into 106
shared the large room 44
shared the major part 43
shared the money among 69
shared the nobel peace 1424
shared the sitting room 40
shared the small room 97
shared the social life 58
shared the strong anti 83
shared the title role 44
shared the usual fate 757
shared the views held 54
shared the views upon 44
shared the waiting room 133
shared the water from 62
shared the world among 57
shared the world over 193
shared the world view 108
shared to anything like 70
shares as fully paid 802
shares as people want 61
shares be fully paid 53
shares he could have 46
shares he shall hold 91
shares he would have 165
shares in bearer form 197
shares in issue during 188
shares in large part 42
shares in small lots 88
shares in total cost 173
shares in which case 62
shares in which such 258
shares in which there 82
shares in which were 354
shares is based upon 68
shares is taken into 51
shares it would have 82
shares of every firm 62
shares of every kind 48
shares of every other 58
shares of fully paid 363
shares of gains from 42
shares of stock also 84
shares of stock among 155
shares of stock back 77
shares of stock cost 123
shares of stock during 215
shares of stock even 48
shares of stock from 2338
shares of stock have 993
shares of stock having 684
shares of stock held 3880
shares of stock into 352
shares of stock just 78
shares of stock less 46
shares of stock made 86
shares of stock more 51
shares of stock must 461
shares of stock only 167
shares of stock other 52
shares of stock over 366
shares of stock paid 116
shares of stock paying 53
shares of stock plus 269
shares of stock prior 68
shares of stock sell 87
shares of stock sold 2123
shares of stock such 40
shares of stock there 53
shares of stock upon 419
shares of stock used 55
shares of stock were 4752
shares of stock when 510
shares of stock will 1107
shares of stock worth 1665
shares of texas gulf 121
shares of total cost 58
shares of total wealth 122
shares of trans union 647
shares of water from 43
shares of which have 284
shares of which said 96
shares of which were 1703
shares of which will 84
shares on offer were 53
shares on which only 122
shares on which such 234
shares on which there 188
shares or bonds from 44
shares or bonds have 46
shares or bonds held 55
shares or bonds were 43
shares or stock held 324
shares or units held 51
shares the exact same 45
shares the first three 97
shares the world view 51
shares to cover over 250
shares to cover their 129
shares to raise cash 172
shares to which such 689
shares to which their 60
shares we shall have 157
sharks at feeding time 41
sharps or flats used 50
sharps or flats were 113
shaved my pubic hair 100
shaved of every mast 52
shaved on either side 57
shaved the front half 47
shaved the front part 83
shaved the lower part 55
shaved the pubic hair 41
shaved the right side 142
shaved the whole body 99
shavings of beech wood 59
shavings or split into 42
shawls of black lace 43
shawls to cover their 149
sheathed in black silk 82
sheathed in white silk 41
sheathed or beaten down 60
sheathed the short gray 42
sheaves of grain from 83
sheaves of grain were 150
sheaves of indian corn 227
sheaves of light from 46
sheaves of paper from 50
sheaves of straw into 60
sheaves of straw were 81
sheaves on either side 43
shedding of blood among 337
shedding of blood during 214
shedding of blood even 56
shedding of blood from 268
shedding of blood have 106
shedding of blood must 164
shedding of blood over 53
shedding of blood their 151
shedding of blood there 19639
shedding of blood upon 192
shedding of blood were 373
shedding of blood when 167
shedding of blood will 273
shedding of cells from 380
shedding of cells into 168
shedding of leaves during 46
shedding of leaves from 134
shedding of light upon 218
shedding of virus from 358
shedding of virus into 165
shedding of water from 51
shedding of which there 118
shedding the blood even 169
sheeting is often used 90
sheets as might have 65
sheets by holding down 51
sheets in which their 53
sheets of balsa wood 112
sheets of beaten gold 559
sheets of birch bark 1046
sheets of burning hail 56
sheets of cedar bark 94
sheets of cells from 47
sheets of dough into 80
sheets of drift were 46
sheets of driving rain 377
sheets of emery cloth 43
sheets of equal size 105
sheets of falling rain 158
sheets of flaking bark 134
sheets of flame from 240
sheets of flame over 65
sheets of flame rose 68
sheets of flame shot 403
sheets of flame were 163
sheets of glass from 91
sheets of glass have 60
sheets of glass held 133
sheets of glass into 112
sheets of glass over 92
sheets of glass used 69
sheets of glass were 397
sheets of green silk 98
sheets of large size 192
sheets of legal size 54
sheets of level rain 44
sheets of light blue 92
sheets of light upon 74
sheets of linen were 40
sheets of metal foil 613
sheets of metal from 142
sheets of metal have 70
sheets of metal into 340
sheets of metal over 53
sheets of metal such 52
sheets of metal used 61
sheets of metal were 316
sheets of mimic rain 55
sheets of music from 129
sheets of music were 171
sheets of naked rock 61
sheets of oiled silk 74
sheets of paper along 92
sheets of paper among 45
sheets of paper away 90
sheets of paper back 203
sheets of paper bearing 989
sheets of paper came 118
sheets of paper coming 51
sheets of paper cost 49
sheets of paper down 327
sheets of paper during 113
sheets of paper fall 42
sheets of paper fell 141
sheets of paper flat 40
sheets of paper flew 44
sheets of paper flying 67
sheets of paper from 4217
sheets of paper full 296
sheets of paper giving 45
sheets of paper hanging 70
sheets of paper have 439
sheets of paper having 88
sheets of paper held 243
sheets of paper into 2382
sheets of paper just 65
sheets of paper laid 289
sheets of paper left 140
sheets of paper like 218
sheets of paper made 221
sheets of paper make 92
sheets of paper more 41
sheets of paper must 168
sheets of paper next 106
sheets of paper only 65
sheets of paper onto 186
sheets of paper over 573
sheets of paper ready 85
sheets of paper sewn 81
sheets of paper side 192
sheets of paper slid 48
sheets of paper some 46
sheets of paper such 115
sheets of paper there 157
sheets of paper those 118
sheets of paper tied 67
sheets of paper torn 230
sheets of paper trying 128
sheets of paper upon 560
sheets of paper used 506
sheets of paper very 48
sheets of paper went 59
sheets of paper were 3621
sheets of paper what 149
sheets of paper when 269
sheets of paper will 633
sheets of pouring rain 68
sheets of rifle fire 44
sheets of roofing iron 147
sheets of rusty iron 41
sheets of smooth rock 64
sheets of snowy foam 107
sheets of solid gold 218
sheets of solid rock 52
sheets of spray flew 69
sheets of spray flying 84
sheets of spray from 109
sheets of spray into 64
sheets of spray over 132
sheets of spray were 64
sheets of steel from 44
sheets of steel into 139
sheets of steel used 56
sheets of steel were 112
sheets of stiff blue 67
sheets of stiff card 48
sheets of stringy bark 86
sheets of tracing cloth 87
sheets of varying size 105
sheets of water came 57
sheets of water coming 48
sheets of water down 92
sheets of water during 57
sheets of water fall 98
sheets of water fell 111
sheets of water flow 50
sheets of water from 370
sheets of water have 139
sheets of water high 70
sheets of water into 172
sheets of water left 47
sheets of water like 130
sheets of water onto 40
sheets of water over 478
sheets of water there 134
sheets of water told 74
sheets of water upon 70
sheets of water were 748
sheets of water when 48
sheets of which have 177
sheets of which were 715
sheets of white bond 67
sheets of white card 206
sheets of white cloth 155
sheets of white foam 271
sheets of white note 119
sheets of white silk 47
sheets of white typing 95
sheets of writing from 51
sheets of yours when 86
sheets on either side 912
sheets on which there 91
sheets on which these 54
sheets on which were 302
sheets or anything else 148
sheets or drawn into 476
sheets or pizza pans 48
sheets to cover their 62
shelling of israel from 45
shelling the house like 46
shells at close range 74
shells he could find 47
shells in front thick 62
shells in order laid 53
shells in which there 45
shells no longer fell 44
shells of about nine 60
shells of blown eggs 46
shells of equal size 138
shells of every kind 213
shells of every size 132
shells of every sort 49
shells of greek fire 54
shells of hazel nuts 52
shells of human beings 149
shells of large size 149
shells of small size 46
shells of which form 214
shells of which have 177
shells of which there 44
shells of which were 327
shells on either side 208
shells or anything else 213
shells or solid shot 92
shells to burst over 53
shells to cover their 44
shelving on either side 132
sherds of cooking pots 98
sherds of which have 46
sherds of which were 144
sherry or white wine 1221
shewed thy people hard 148
shield as would have 116
shield in which there 40
shield is hanged upon 40
shield is often used 43
shield is taken from 58
shield it alike from 85
shield my child from 59
shield my father from 52
shield of beaten gold 44
shield of light wood 52
shield of solid gold 82
shield on either side 201
shield on which there 86
shield on which were 216
shield the agent from 59
shield the anode from 100
shield the birds from 43
shield the brain from 214
shield the child from 2712
shield the court from 113
shield the fetus from 125
shield the flame from 317
shield the girls from 57
shield the glare from 50
shield the glass from 45
shield the group from 276
shield the house from 552
shield the leaves from 41
shield the light from 430
shield the lower part 42
shield the metal from 183
shield the mother from 56
shield the nation from 267
shield the others from 83
shield the owner from 86
shield the paper from 54
shield the party from 119
shield the people from 802
shield the plant from 155
shield the plate from 58
shield the press from 189
shield the queen from 55
shield the reader from 187
shield the region from 172
shield the roots from 62
shield the state from 241
shield the tract from 67
shield the users from 43
shield the water from 89
shield the wearer from 329
shield the woman from 111
shield the women from 160
shield the woods come 68
shield the world from 84
shield thy bones from 47
shield to cover their 99
shield ye shall have 45
shifting in which there 101
shifting my focus from 77
shifting of blame from 148
shifting of blood flow 63
shifting of blood from 239
shifting of costs from 288
shifting of fluid from 86
shifting of fluid into 54
shifting of focus away 53
shifting of focus from 380
shifting of funds among 46
shifting of funds from 568
shifting of hands from 67
shifting of labor from 267
shifting of loans from 55
shifting of money from 104
shifting of people from 254
shifting of power among 63
shifting of power away 77
shifting of power from 1004
shifting of risks from 60
shifting of river beds 69
shifting of taxes from 95
shifting of trade away 79
shifting of trade from 96
shifting of units from 51
shifting of water from 94
shifting of weapon from 44
shifting of words from 55
shifting or springing uses 100
shifting the action from 72
shifting the blame away 110
shifting the blame back 57
shifting the blame from 672
shifting the blame onto 511
shifting the blame upon 61
shifting the cargo from 86
shifting the child from 52
shifting the costs from 43
shifting the costs onto 59
shifting the driving belt 62
shifting the fault from 50
shifting the focus away 1841
shifting the focus back 150
shifting the focus from 6159
shifting the focus more 52
shifting the focus onto 207
shifting the issue from 173
shifting the light from 44
shifting the phase angle 66
shifting the power base 57
shifting the power from 123
shifting the right hand 80
shifting the scene from 423
shifting the setting from 59
shifting the topic from 55
shifting the truck into 59
shifting the venue from 57
shifting to either side 58
shifting to urban areas 63
shifts in blood flow 309
shifts in coral reef 73
shifts in focus from 432
shifts in power among 421
shifts in power from 169
shifts in power have 141
shifts in power over 42
shifts in power were 126
shifts in power will 41
shifts in rural india 44
shifts in social life 117
shifts in social theory 62
shifts in social work 117
shifts in style from 382
shifts in thinking from 115
shifts in voice tone 53
shifts in world view 223
shifts of blood flow 86
shifts of blood from 68
shifts of fluid from 165
shifts of fluid into 62
shifts of focus from 146
shifts of funds among 69
shifts of funds from 216
shifts of funds into 45
shifts of guard duty 54
shifts of labor from 297
shifts of light from 46
shifts of money from 41
shifts of people from 84
shifts of power among 127
shifts of power from 251
shifts of power have 129
shifts of power were 146
shifts of water from 128
shifts of water into 99
shifts on either side 44
shifts or blood loss 124
shifts the action from 155
shifts the blame away 206
shifts the blame from 922
shifts the blame onto 307
shifts the curve down 134
shifts the focus away 5368
shifts the focus back 559
shifts the focus from 16982
shifts the focus more 53
shifts the focus onto 517
shifts the image from 47
shifts the issue from 372
shifts the phase angle 55
shifts the power from 134
shifts the scene back 108
shifts the scene from 756
shifts the setting from 69
shifts the story from 41
shifts the topic from 181
shifts the total cost 61
shifts to avoid their 129
shifts to cover their 45
shifts to either side 50
shifts to every form 74
shifts to longer wave 60
shifts to lower wave 181
shifts to urban areas 148
shifts to which some 60
shifts to which their 43
shifts to which these 48
shilling by which such 85
shilling he could call 61
shilling the pound upon 110
shilling to stand upon 79
shined on every side 85
shined the light back 105
shined the light down 490
shined the light into 408
shined the light onto 55
shined the light over 185
shined to every body 48
shines at night like 218
shines at night when 181
shines in every heart 111
shines in every line 199
shines in every page 416
shines in every part 182
shines in every word 44
shines in heaven like 103
shines in heaven most 81
shines no light save 54
shines on every page 326
shines on every part 139
shines on every side 86
shines the evening star 245
shines the fruit afar 145
shines the light into 83
shines the morning star 964
shingles of white pine 46
shipping by sending your 3666
shipping he could find 45
shipping in every port 182
shipping in small lots 94
shipping it could hold 43
shipping of every kind 294
shipping of goods from 313
shipping of grain from 77
shipping of water over 143
shipping on either side 45
shipping or anything else 103
shipping the goods back 102
shipping the goods from 125
shipping the world over 45
shipping to carry away 53
shipping to carry their 118
shirts of chain mail 375
shirts of white silk 50
shirts or anything else 47
shirts to cover their 84
shiver in every limb 394
shiver on getting away 47
shoals of herring were 66
shoals of hungry fish 103
shoals of large fish 106
shoals of people from 59
shoals of roast beef 92
shoals of shining tiny 47
shoals of small fish 2298
shoals on either side 485
shoals on every side 54
shoals on which many 61
shoals on which other 74
shoals on which their 66
shocking it would have 145
shocking the first time 103
shocking the noble lord 49
shocking the reader into 125
shocking to dwell upon 82
shocking to every free 47
shocking to every mind 116
shocking to every pious 52
shocks as would have 266
shocks by jumping over 52
shocks me every whit 173
shocks of black hair 164
shocks of every kind 41
shocks of indian corn 65
shocks of social life 42
shocks of urban life 41
shocks of which were 82
shocks of white hair 147
shocks the reader into 228
shocks the world into 44
shocks to which even 65
shocks to which these 42
shooting an apple from 201
shooting an arrow ahead 45
shooting an arrow from 1197
shooting an arrow into 2407
shooting at close range 835
shooting at every jump 43
shooting at human beings 223
shooting at people from 97
shooting at running game 125
shooting at short range 268
shooting he would have 164
shooting it would have 81
shooting of every kind 103
shooting of human beings 57
shooting of sitting bull 50
shooting of small game 114
shooting on either side 124
shooting or anything else 61
shooting or anything like 41
shooting or burning pain 121
shooting or falling star 342
shooting or getting shot 101
shooting or hauling their 114
shooting the apple from 268
shooting the arrow into 66
shooting the first time 55
shooting the plane down 132
shooting the scene from 102
shooting the slave down 115
shooting the whole time 62
shooting we would have 82
shoots an apple from 219
shoots an arrow from 335
shoots an arrow into 1816
shoots by about half 45
shoots by lopping their 97
shoots of flame were 92
shoots of grass were 160
shoots of green were 119
shoots of scots pine 282
shoots of sugar cane 118
shoots of which have 82
shoots of which were 156
shoots of white pine 54
shoots on either side 98
shoots the apple from 155
shoots the arrow into 174
shoots the flame into 44
shoots the scene from 144
shoots to arise from 52
shoots to start from 58
shoots up again when 127
shoots up daily into 94
shopping or anything else 47
shopping or anything like 82
shores of belle isle 68
shores of black lake 118
shores of cedar lake 79
shores of davao gulf 58
shores of egypt were 44
shores of either ocean 197
shores of either side 56
shores of every land 85
shores of every ocean 264
shores of every part 86
shores of fresh pond 80
shores of gatun lake 68
shores of goose lake 74
shores of grand lake 176
shores of grant land 160
shores of green lake 94
shores of human life 173
shores of indian ocean 63
shores of italy were 135
shores of japan have 46
shores of japan were 78
shores of lakes erie 1948
shores of leech lake 55
shores of lough conn 90
shores of lough gill 143
shores of lough mask 250
shores of moray firth 63
shores of mount hope 73
shores of moxie lake 81
shores of nearby lake 110
shores of owens lake 79
shores of point lake 63
shores of porto rico 155
shores of rainy lake 95
shores of round lake 46
shores of sandy hook 57
shores of sandy lake 43
shores of santa cruz 121
shores of savoy were 50
shores of spain sank 55
shores of spain were 153
shores of spain what 47
shores of which form 186
shores of which have 129
shores of which many 43
shores of which rise 42
shores of which there 126
shores of which were 1354
shores of white lake 56
shores of white sand 113
shores on either hand 550
shores on either side 4093
shores on every side 202
shorting the input node 114
shorts to cover their 47
should an author have 97
should an enemy come 81
should an enemy ever 64
should an enemy gain 43
should an engine fail 92
should at every step 138
should at every turn 172
should at first come 190
should at first feel 127
should at first find 55
should at first give 55
should at first have 3411
should at first make 417
should at first only 207
should at first seem 99
should at first take 228
should at first think 268
should at first view 665
should at times come 69
should at times fall 48
should at times feel 79
should at times find 61
should at times give 66
should at times have 627
should at times make 69
should at times seem 65
should at times sigh 108
should at times take 105
should be about body 204
should be about cups 50
should be about done 114
should be about even 526
should be about feet 59
should be about five 5056
should be about four 7062
should be about from 109
should be about giving 69
should be about half 9156
should be about having 75
should be about here 235
should be about high 42
should be about ideas 60
should be about inch 457
should be about life 149
should be about like 73
should be about love 119
should be about making 155
should be about more 683
should be about nine 1197
should be about once 87
should be about only 85
should be about over 101
should be about ready 496
should be about room 51
should be about some 122
