saccharine element of pleasure 196
subsequent efforts to recover 79
subsequent efforts to resolve 54
subsequent efforts to restore 165
subsequent election of members 61
subsequent emission of photons 59
subsequent emission of radiation 132
subsequent exchange of letters 585
subsequent failure or success 53
subsequent failure to achieve 134
subsequent failure to deliver 69
subsequent failure to develop 110
subsequent failure to perform 155
subsequent failure to produce 83
subsequent failure to provide 89
subsequent failure to respond 73
subsequent history is largely 61
subsequent history is obscure 145
subsequent history is unknown 533
subsequent history of america 146
subsequent history of britain 93
subsequent history of british 306
subsequent history of carthage 71
subsequent history of central 91
subsequent history of chinese 287
subsequent history of colonial 43
subsequent history of european 532
subsequent history of germany 346
subsequent history of ireland 312
subsequent history of islamic 53
subsequent history of judaism 203
subsequent history of kashmir 42
subsequent history of logical 54
subsequent history of mankind 534
subsequent history of marxism 137
subsequent history of northern 50
subsequent history of physics 75
subsequent history of religion 101
subsequent history of science 344
subsequent history of several 48
subsequent history of spanish 47
subsequent history of virginia 57
subsequent history of western 1201
subsequent holders of estates 85
subsequent increase in capital 104
subsequent increase in diameter 40
subsequent increase in exports 48
subsequent increase in imports 46
subsequent increase in numbers 87
subsequent increase in protein 54
subsequent increase in surface 46
subsequent increase of capital 93
subsequent increase or decrease 596
subsequent invasion of cambodia 52
subsequent letters to friends 53
subsequent licensing of stations 134
subsequent marriage of parents 340
subsequent matters as outside 54
subsequent measures of violence 83
subsequent message to congress 149
subsequent offense or refusal 57
subsequent passage the defeated 50
subsequent printings or editions 77
subsequent promise to perform 85
subsequent removal of material 62
subsequent removal of solvent 51
subsequent reports of patient 191
subsequent reports the position 68
subsequent schemes of ambition 41
subsequent sections of chapter 69
subsequent sections to discuss 43
subsequent sections we develop 42
subsequent sections we discuss 197
subsequent sections we examine 88
subsequent sections we present 165
subsequent service of process 44
subsequent sessions of congress 267
subsequent sessions the patient 46
subsequent species is founded 74
subsequent subject of inquiry 111
subsequent success in college 51
subsequent success or failure 687
subsequent versions of windows 260
subsequent voyages to america 42
subsidized product in question 58
substances between the nucleus 116
substances between the tissues 61
substances brought in contact 144
substances capable of absorbing 366
substances capable of accepting 44
substances capable of affecting 185
substances capable of affording 54
substances capable of combining 417
substances capable of effecting 43
substances capable of eliciting 94
substances capable of increasing 232
substances capable of initiating 86
substances capable of modifying 101
substances capable of producing 2280
substances capable of promoting 52
substances capable of receiving 107
substances capable of resisting 82
substances capable of supplying 40
substances carried in solution 141
substances combine to produce 59
substances composing the mixture 50
substances composing the tissues 81
substances consist of certain 42
substances contain the element 61
substances include the following 257
substances occurring in natural 52
substances operate as natural 42
substances possess the ability 62
substances present in certain 203
substances present in natural 441
substances present in smaller 73
substances present in solution 694
substances present in tissues 103
substances present in tobacco 114
substances released by bacteria 131
substances released by damaged 259
substances released by injured 68
substances released by neurons 43
substances remaining in solution 106
substances soluble in acetone 45
substances soluble in alcohol 857
substances soluble in organic 104
substances subject to control 101
substantial ability to control 47
substantial absence of control 75
substantial advance on previous 41
substantial against the distant 54
substantial amounts in foreign 41
substantial amounts of alcohol 466
substantial amounts of arsenic 140
substantial amounts of british 177
substantial amounts of calcium 878
substantial amounts of capital 6301
substantial amounts of certain 62
substantial amounts of cocaine 53
substantial amounts of company 56
substantial amounts of current 93
substantial amounts of dietary 57
substantial amounts of dollars 136
substantial amounts of ethylene 42
substantial amounts of european 110
substantial amounts of federal 370
substantial amounts of finance 43
substantial amounts of financing 55
substantial amounts of foreign 3534
substantial amounts of genetic 130
substantial amounts of glucose 219
substantial amounts of insulin 59
substantial amounts of leisure 51
substantial amounts of material 1348
substantial amounts of mercury 97
substantial amounts of mineral 199
substantial amounts of national 66
substantial amounts of natural 179
substantial amounts of nitrate 155
substantial amounts of organic 561
substantial amounts of outside 88
substantial amounts of pottery 50
substantial amounts of precious 40
substantial amounts of primary 111
substantial amounts of private 280
substantial amounts of product 48
substantial amounts of protein 542
substantial amounts of radiation 113
substantial amounts of research 546
substantial amounts of revenue 1193
substantial amounts of several 60
substantial amounts of silicon 191
substantial amounts of soluble 108
substantial amounts of support 84
substantial amounts of surface 58
substantial amounts of surplus 232
substantial amounts of taxable 79
substantial amounts of tobacco 61
substantial amounts of traffic 120
substantial amounts of tungsten 41
substantial amounts of uranium 279
substantial amounts of variance 158
substantial amounts of variation 59
substantial amounts of vitamin 719
substantial amounts to acquire 55
substantial amounts to improve 47
substantial benefit in deterring 134
substantial benefit to mankind 72
substantial benefit to society 79
substantial buildings of squared 50
substantial chapter is devoted 41
substantial damages in respect 80
substantial decline in average 134
substantial decline in exports 76
substantial decline in foreign 82
substantial decline in imports 83
substantial decline in national 47
substantial decline in numbers 98
substantial decline in overall 69
substantial decline in poverty 93
substantial decline in private 50
substantial decline in profits 41
substantial decline in revenue 47
substantial decline in support 84
substantial decrease in average 58
substantial decrease in imports 47
substantial decrease in numbers 51
substantial decrease in overall 139
substantial decrease in poverty 44
substantial deficit on current 75
substantial degrees of freedom 96
substantial dominion or control 123
substantial efforts in research 307
substantial efforts to achieve 75
substantial efforts to control 45
substantial efforts to develop 233
substantial efforts to improve 321
substantial efforts to increase 110
substantial efforts to prevent 73
substantial efforts to promote 119
substantial efforts to protect 53
substantial efforts to provide 113
substantial efforts to recruit 83
substantial element of british 46
substantial element of coercive 121
substantial element of control 48
substantial element of secrecy 240
substantial element of subsidy 77
substantial failure of justice 348
substantial failure to perform 268
substantial fraction of current 50
substantial fraction of material 151
substantial fraction of workers 65
substantial grounds to believe 402
substantial grounds to justify 42
substantial hazards to traffic 60
substantial imports of capital 144
substantial imports of foreign 65
substantial increase in african 91
substantial increase in alcohol 56
substantial increase in arterial 43
substantial increase in average 733
substantial increase in borrowing 50
substantial increase in british 198
substantial increase in canadian 147
substantial increase in capital 1107
substantial increase in central 90
substantial increase in chinese 69
substantial increase in company 40
substantial increase in computing 53
substantial increase in current 159
substantial increase in default 46
substantial increase in defense 664
substantial increase in density 121
substantial increase in divorce 45
substantial increase in entropy 45
substantial increase in european 221
substantial increase in exports 939
substantial increase in fatigue 51
substantial increase in federal 703
substantial increase in foreign 1584
substantial increase in freight 244
substantial increase in general 77
substantial increase in imports 996
substantial increase in incomes 58
substantial increase in leisure 48
substantial increase in marital 52
substantial increase in material 77
substantial increase in maximum 94
substantial increase in medical 123
substantial increase in minimum 88
substantial increase in national 385
substantial increase in natural 49
substantial increase in nominal 50
substantial increase in numbers 501
substantial increase in official 126
substantial increase in operating 156
substantial increase in outlays 44
substantial increase in overall 329
substantial increase in overhead 139
substantial increase in overseas 48
substantial increase in patient 49
substantial increase in poverty 120
substantial increase in premium 49
substantial increase in primary 79
substantial increase in private 391
substantial increase in product 136
substantial increase in profits 310
substantial increase in protein 91
substantial increase in quality 115
substantial increase in radiation 44
substantial increase in railway 56
substantial increase in regional 55
substantial increase in research 618
substantial increase in returns 46
substantial increase in revenue 1030
substantial increase in service 226
substantial increase in student 177
substantial increase in studies 43
substantial increase in support 195
substantial increase in surface 109
substantial increase in tariffs 68
substantial increase in taxation 237
substantial increase in teachers 53
substantial increase in tensile 141
substantial increase in tonnage 83
substantial increase in tourism 56
substantial increase in traffic 661
substantial increase in transit 48
substantial increase in turnout 53
substantial increase in urinary 62
substantial increase in violence 49
substantial increase in welfare 125
substantial increase in workers 43
substantial increase of capital 55
substantial increase of exports 100
substantial increase of foreign 72
substantial increase of imports 126
substantial increase of revenue 111
substantial increase on previous 41
substantial increase or decrease 848
substantial inflows of capital 146
substantial inflows of foreign 458
substantial inflows of private 108
substantial infusion of capital 104
substantial invasion of privacy 734
substantial justice as between 66
substantial matters in dispute 73
substantial measures to improve 45
substantial members of society 61
substantial numbers of african 754
substantial numbers of animals 158
substantial numbers of bacteria 50
substantial numbers of british 564
substantial numbers of catholic 142
substantial numbers of chinese 786
substantial numbers of civilian 41
substantial numbers of clients 103
substantial numbers of college 102
substantial numbers of couples 40
substantial numbers of current 42
substantial numbers of elderly 161
substantial numbers of european 327
substantial numbers of faculty 84
substantial numbers of farmers 167
substantial numbers of females 74
substantial numbers of foreign 753
substantial numbers of germans 140
substantial numbers of illegal 109
substantial numbers of italians 45
substantial numbers of latinos 56
substantial numbers of married 107
substantial numbers of medical 40
substantial numbers of members 279
substantial numbers of mexican 279
substantial numbers of migrant 70
substantial numbers of muslims 163
substantial numbers of overseas 76
substantial numbers of parents 119
substantial numbers of peasants 146
substantial numbers of persons 1008
substantial numbers of private 61
substantial numbers of regular 49
substantial numbers of russians 54
substantial numbers of schools 73
substantial numbers of skilled 160
substantial numbers of southern 40
substantial numbers of spanish 161
substantial numbers of speakers 94
substantial numbers of species 60
substantial numbers of studies 77
substantial numbers of teachers 186
substantial numbers of tenants 43
substantial numbers of trained 107
substantial numbers of viewers 80
substantial numbers of welfare 41
substantial numbers of workers 1086
substantial outflow of capital 178
substantial outflow of foreign 59
substantial outlays of capital 91
substantial payment in advance 82
substantial payment on account 113
substantial pockets of poverty 118
substantial portions of several 64
substantial position in society 52
substantial program of research 118
substantial promise of success 48
substantial question of federal 688
substantial reliance on foreign 55
substantial research to support 62
substantial revision of current 44
substantial sections of british 44
substantial sections of society 56
substantial segment of america 52
substantial segment of present 96
substantial segment of society 487
substantial service to mankind 46
substantial sources of revenue 465
substantial success in achieving 77
substantial support in congress 156
substantial support in history 49
substantial surplus of exports 49
substantial surplus of revenue 85
substantial surplus on current 132
substantial tribute of respect 105
substantial trinity is refined 147
substantial variation in average 63
substantial volumes of foreign 91
substantial volumes of material 93
substantial volumes of traffic 101
substitute letters as follows 41
substitute offered by senator 95
substitute product or service 321
substitute service of process 76
substitute suffering the penalty 52
substitute therefor the following 903
substituting economy to taxation 53
substituting therefor the figures 1173
substituting therefor the following 19949
subsystems include the following 44
subversive element in society 68
subversive persons as defined 54
successful adoption of western 70
successful advance of general 44
successful against the british 422
successful against the cavalry 48
successful against the germans 91
successful against the italians 58
successful against the persians 104
successful against the russians 99
successful against the spanish 93
successful alliance in history 98
successful assault on everest 51
successful attacks on british 57
successful attempt at combining 73
successful attempt at invasion 43
successful attempt at producing 55
successful attempt at regional 44
successful attempt at suicide 155
successful attempt the savages 44
successful attempt to abolish 76
successful attempt to account 84
successful attempt to achieve 267
successful attempt to acquire 66
successful attempt to address 62
successful attempt to analyze 91
successful attempt to attract 74
successful attempt to balance 47
successful attempt to capture 315
successful attempt to clarify 58
successful attempt to collect 70
successful attempt to combine 601
successful attempt to connect 174
successful attempt to conquer 169
successful attempt to control 321
successful attempt to convert 112
successful attempt to counter 58
successful attempt to deceive 51
successful attempt to deprive 99
successful attempt to destroy 290
successful attempt to develop 315
successful attempt to emulate 40
successful attempt to enforce 43
successful attempt to enhance 43
successful attempt to enlarge 59
successful attempt to examine 41
successful attempt to exclude 64
successful attempt to explain 478
successful attempt to exploit 86
successful attempt to explore 94
successful attempt to express 234
successful attempt to extract 46
successful attempt to grapple 48
successful attempt to imitate 192
successful attempt to improve 279
successful attempt to increase 191
successful attempt to involve 53
successful attempt to isolate 98
successful attempt to operate 42
successful attempt to perform 46
successful attempt to portray 168
successful attempt to prepare 50
successful attempt to present 482
successful attempt to prevent 475
successful attempt to procure 79
successful attempt to produce 524
successful attempt to promote 108
successful attempt to protect 110
successful attempt to provide 492
successful attempt to reclaim 44
successful attempt to recover 182
successful attempt to recreate 79
successful attempt to relieve 77
successful attempt to replace 180
successful attempt to resolve 123
successful attempt to restore 302
successful attempt to reverse 77
successful attempt to suggest 40
successful attempt to unravel 43
successful attempt to utilize 105
successful because it allowed 79
successful because it appealed 47
successful because it offered 76
successful because of several 52
successful because the british 54
successful because the company 73
successful because the patient 74
successful because the process 46
successful because the subject 101
successful boycott of british 112
successful boycott of foreign 88
successful brethren the moderns 246
successful careers as writers 52
successful careers in academia 62
successful careers in science 128
successful champion of popular 42
successful coaches in college 49
successful conduct of affairs 253
successful conduct of foreign 471
successful conduct of matters 48
successful conduct of national 44
successful conduct of research 51
successful conduct of warfare 50
successful control of diseases 40
successful defense of britain 40
successful defense of freedom 72
successful defense of western 160
successful despite the absence 47
successful efforts in obtaining 95
successful efforts in procuring 69
successful efforts in promoting 68
successful efforts in support 51
successful efforts of certain 48
successful efforts of several 86
successful efforts to abolish 87
successful efforts to achieve 231
successful efforts to acquire 130
successful efforts to address 76
successful efforts to advance 97
successful efforts to attract 185
successful efforts to broaden 45
successful efforts to capture 44
successful efforts to combine 55
successful efforts to contain 46
successful efforts to control 312
successful efforts to convert 96
successful efforts to correct 47
successful efforts to degrade 55
successful efforts to destroy 69
successful efforts to develop 326
successful efforts to educate 78
successful efforts to enforce 49
successful efforts to enhance 65
successful efforts to enlarge 48
successful efforts to exclude 65
successful efforts to imitate 41
successful efforts to improve 824
successful efforts to include 42
successful efforts to increase 498
successful efforts to involve 44
successful efforts to prevent 560
successful efforts to procure 82
successful efforts to produce 149
successful efforts to promote 427
successful efforts to protect 230
successful efforts to provide 197
successful efforts to rebuild 56
successful efforts to recover 67
successful efforts to recruit 77
successful efforts to relieve 45
successful efforts to resolve 87
successful efforts to restore 231
successful efforts to support 46
successful example in history 43
successful example of national 51
successful example of regional 142
successful exertion of poetical 158
successful general of cavalry 64
successful general or admiral 137
successful include the following 157
successful invasion of britain 486
successful invasion of foreign 45
successful invasion of germany 78
successful invasion of grenada 99
successful invasion of holland 40
successful invasion of ireland 80
successful invasion of northern 47
successful invasion of southern 45
successful invasion of western 134
successful launching of sputnik 498
successful lawyers or doctors 48
successful measures to prevent 52
successful members of society 1382
successful outcome is assured 53
successful outcome of research 45
successful outcome of surgery 129
successful pattern of behavior 55
successful product or process 110
successful product or service 759
successful program of research 88
successful program to control 42
successful program to develop 53
successful program to improve 51
successful program to increase 42
successful program to provide 74
successful pursuit of certain 61
successful pursuit of foreign 54
successful pursuit of national 87
successful pursuit of pleasure 42
successful pursuit of private 43
successful pursuit of science 190
successful pursuit of studies 50
successful removal of foreign 56
successful research in sources 46
successful results in several 41
successful results of previous 46
successful rivalry of america 79
successful soldier of fortune 455
successful teachers of african 286
successful teachers of history 97
successful writers in america 53
successful writers of popular 57
successive addition of monomer 278
successive attacks of illness 87
successive batches of material 42
successive charges of cavalry 102
successive circles of figures 63
successive classes of medical 62
successive cohorts of elderly 44
successive cohorts of workers 68
successive courses of masonry 307
successive creations of animals 71
successive creations of species 53
successive efforts to improve 54
successive empires of babylon 49
successive flashes of lightning 140
successive flights of bullets 102
successive increase or decrease 85
successive moments of duration 82
successive objects so steadily 67
successive outlays of capital 48
successive phrases or clauses 162
successive portions of alcohol 179
successive portions of capital 482
successive portions of mercury 70
successive portions of solvent 63
successive schemes of neutral 49
successive sessions of congress 310
successive species of animals 96
successive strengths of alcohol 69
successive volumes of european 47
successors adopted in memorial 92
successors aspired to emulate 71
successors governing the country 45
succinctly capture the essence 49
sufficient ability to conduct 50
sufficient ability to control 59
sufficient ability to perform 194
sufficient ability to produce 56
sufficient ability to provide 252
sufficient ability to respond 49
sufficient ability to succeed 75
sufficient ability to support 232
sufficient ability to warrant 47
sufficient account of certain 62
sufficient account of himself 59
sufficient account of psychic 169
sufficient address to convert 44
sufficient alcohol is present 47
sufficient alcohol to produce 210
sufficient amounts of alcohol 57
sufficient amounts of antigen 122
sufficient amounts of calcium 801
sufficient amounts of capital 202
sufficient amounts of certain 159
sufficient amounts of dietary 41
sufficient amounts of foreign 148
sufficient amounts of glucose 89
sufficient amounts of hormone 88
sufficient amounts of insulin 229
sufficient amounts of material 423
sufficient amounts of natural 43
sufficient amounts of organic 145
sufficient amounts of protein 483
sufficient amounts of soluble 47
sufficient amounts of vitamin 1073
sufficient amounts to account 91
sufficient amounts to achieve 67
sufficient amounts to balance 40
sufficient amounts to correct 106
sufficient amounts to destroy 55
sufficient amounts to finance 61
sufficient amounts to furnish 57
sufficient amounts to increase 53
sufficient amounts to inhibit 51
sufficient amounts to justify 61
sufficient amounts to prevent 298
sufficient amounts to produce 574
sufficient amounts to promote 51
sufficient amounts to protect 74
sufficient amounts to provide 326
sufficient amounts to relieve 40
sufficient amounts to replace 50
sufficient amounts to satisfy 246
sufficient amounts to support 228
sufficient amounts to sustain 113
sufficient amounts to warrant 58
sufficient barrier to prevent 158
sufficient benefit to justify 232
sufficient benefit to warrant 125
sufficient briefly to observe 83
sufficient calcium is present 102
sufficient capital at command 43
sufficient capital to achieve 65
sufficient capital to acquire 268
sufficient capital to advance 40
sufficient capital to compete 144
sufficient capital to conduct 86
sufficient capital to control 45
sufficient capital to develop 511
sufficient capital to exploit 135
sufficient capital to finance 1143
sufficient capital to furnish 51
sufficient capital to improve 83
sufficient capital to increase 72
sufficient capital to initiate 52
sufficient capital to install 43
sufficient capital to justify 94
sufficient capital to operate 312
sufficient capital to prevent 48
sufficient capital to procure 56
sufficient capital to produce 129
sufficient capital to promote 59
sufficient capital to provide 447
sufficient capital to replace 53
sufficient capital to satisfy 74
sufficient capital to support 428
sufficient capital to survive 74
sufficient capital to sustain 135
sufficient capital to warrant 77
sufficient chances of success 76
sufficient clarity of purpose 55
sufficient clarity to justify 91
sufficient clarity to provide 70
sufficient clarity to satisfy 88
sufficient clarity to survive 54
sufficient clarity to warrant 63
sufficient cohesion to prevent 91
sufficient command of capital 51
sufficient command of herself 113
sufficient command of himself 285
sufficient command of language 312
sufficient company in himself 86
sufficient concern to justify 66
sufficient concern to require 47
sufficient concern to warrant 291
sufficient control is present 71
sufficient control of herself 90
sufficient control of himself 327
sufficient control to achieve 47
sufficient control to prevent 408
sufficient control to produce 48
sufficient control to protect 50
sufficient council in ireland 55
sufficient courage to address 144
sufficient courage to advance 47
sufficient courage to attempt 256
sufficient courage to confess 41
sufficient courage to declare 193
sufficient courage to discuss 42
sufficient courage to explain 42
sufficient courage to express 76
sufficient courage to inquire 61
sufficient courage to present 83
sufficient courage to proceed 64
sufficient courage to propose 78
sufficient courage to protest 52
sufficient courage to publish 48
sufficient courage to respond 44
sufficient courage to support 61
sufficient courage to sustain 47
sufficient courage to venture 237
sufficient current is applied 61
sufficient current to actuate 50
sufficient current to operate 323
sufficient current to prevent 60
sufficient current to produce 194
sufficient degrees of freedom 3227
sufficient density of traffic 84
sufficient density to obscure 101
sufficient density to prevent 144
sufficient density to produce 140
sufficient density to provide 91
sufficient density to support 141
sufficient details to explain 49
sufficient details to satisfy 43
sufficient details to support 122
sufficient diameter to contain 52
sufficient diameter to prevent 95
sufficient diameter to provide 74
sufficient diameter to receive 116
sufficient dignity to support 53
sufficient dilution to prevent 51
sufficient dollars to service 68
sufficient duration to achieve 58
sufficient duration to include 61
sufficient duration to justify 54
sufficient duration to prevent 49
sufficient duration to produce 250
sufficient duration to provide 139
sufficient duration to require 67
sufficient duration to warrant 102
sufficient fortune to support 56
sufficient freedom to develop 205
sufficient freedom to explore 48
sufficient freedom to express 60
sufficient freedom to operate 59
sufficient freedom to perform 43
sufficient friction to prevent 256
sufficient glucose is present 50
sufficient glucose to prevent 40
sufficient gravity to justify 580
sufficient gravity to require 146
sufficient gravity to warrant 808
sufficient grounds of previous 62
sufficient grounds to abandon 49
sufficient grounds to believe 697
sufficient grounds to condemn 69
sufficient grounds to confine 66
sufficient grounds to declare 102
sufficient grounds to dismiss 106
sufficient grounds to exclude 78
sufficient grounds to explain 53
sufficient grounds to justify 1136
sufficient grounds to presume 41
sufficient grounds to prevent 51
sufficient grounds to proceed 161
sufficient grounds to question 233
sufficient grounds to require 55
sufficient grounds to rescind 55
sufficient grounds to suggest 47
sufficient grounds to support 279
sufficient grounds to suppose 164
sufficient grounds to suspect 376
sufficient grounds to sustain 65
sufficient grounds to warrant 574
sufficient habitat to support 72
sufficient incomes to support 41
sufficient insulin is present 57
sufficient insulin to control 54
sufficient insulin to prevent 106
sufficient language to express 49
sufficient leisure to acquire 62
sufficient leisure to compose 93
sufficient leisure to develop 150
sufficient leisure to examine 112
sufficient leisure to indulge 133
sufficient leisure to inspect 78
sufficient leisure to observe 75
sufficient leisure to prepare 52
sufficient leisure to reflect 147
sufficient majesty to preside 44
sufficient mastery of language 124
sufficient material is present 109
sufficient material is removed 41
sufficient material to develop 57
sufficient material to examine 40
sufficient material to exchange 89
sufficient material to justify 263
sufficient material to perform 66
sufficient material to prevent 59
sufficient material to produce 186
sufficient material to provide 201
sufficient material to satisfy 127
sufficient material to suggest 49
sufficient material to support 221
sufficient material to sustain 49
sufficient material to warrant 155
sufficient measures to prevent 155
sufficient measures to protect 129
sufficient members of society 611
sufficient motives to account 51
sufficient motives to attempt 58
sufficient novelty to attract 65
sufficient nucleus of trained 58
sufficient numbers of african 105
sufficient numbers of animals 297
sufficient numbers of bacteria 281
sufficient numbers of bilingual 50
sufficient numbers of capable 74
sufficient numbers of chinese 42
sufficient numbers of clients 106
sufficient numbers of doctors 59
sufficient numbers of embryos 43
sufficient numbers of faculty 71
sufficient numbers of farmers 43
sufficient numbers of females 60
sufficient numbers of medical 49
sufficient numbers of members 79
sufficient numbers of offspring 108
sufficient numbers of parents 64
sufficient numbers of persons 344
sufficient numbers of priests 51
sufficient numbers of quality 51
sufficient numbers of reliable 41
sufficient numbers of samples 138
sufficient numbers of schools 51
sufficient numbers of skilled 347
sufficient numbers of species 51
sufficient numbers of studies 87
sufficient numbers of teachers 324
sufficient numbers of trained 1597
sufficient numbers of workers 430
sufficient numbers or amounts 133
sufficient numbers to account 274
sufficient numbers to achieve 167
sufficient numbers to attempt 45
sufficient numbers to attract 235
sufficient numbers to balance 54
sufficient numbers to capture 50
sufficient numbers to command 40
sufficient numbers to conduct 45
sufficient numbers to control 256
sufficient numbers to convert 44
sufficient numbers to destroy 118
sufficient numbers to develop 91
sufficient numbers to disturb 44
sufficient numbers to endanger 41
sufficient numbers to enforce 75
sufficient numbers to exclude 48
sufficient numbers to explain 64
sufficient numbers to furnish 217
sufficient numbers to impress 47
sufficient numbers to increase 54
sufficient numbers to inflict 47
sufficient numbers to initiate 58
sufficient numbers to justify 1007
sufficient numbers to operate 49
sufficient numbers to outvote 40
sufficient numbers to overrun 43
sufficient numbers to perform 192
sufficient numbers to present 50
sufficient numbers to prevent 443
sufficient numbers to produce 802
sufficient numbers to protect 336
sufficient numbers to provide 1114
sufficient numbers to qualify 53
sufficient numbers to relieve 86
sufficient numbers to replace 327
sufficient numbers to require 149
sufficient numbers to restore 86
sufficient numbers to satisfy 493
sufficient numbers to suggest 154
sufficient numbers to support 551
sufficient numbers to survive 77
sufficient numbers to sustain 298
sufficient numbers to warrant 1075
sufficient perhaps to account 41
sufficient perhaps to justify 57
sufficient potency to endanger 52
sufficient potency to produce 74
sufficient priority to warrant 52
sufficient problem to warrant 40
sufficient profits to attract 44
sufficient profits to benefit 43
sufficient profits to finance 122
sufficient profits to justify 98
sufficient profits to provide 71
sufficient profits to satisfy 44
sufficient profits to survive 40
sufficient profits to sustain 71
sufficient promise of success 53
sufficient promise to justify 289
sufficient promise to warrant 503
sufficient protein to prevent 60
sufficient protein to provide 90
sufficient quality of service 69
sufficient quality to attract 112
sufficient quality to compete 116
sufficient quality to justify 224
sufficient quality to perform 69
sufficient quality to prevent 48
sufficient quality to produce 125
sufficient quality to provide 221
sufficient quality to satisfy 144
sufficient quality to support 259
sufficient quality to sustain 70
sufficient quality to warrant 275
sufficient remains to justify 45
sufficient research to justify 46
sufficient research to support 85
sufficient reserve of capital 61
sufficient reserve of charity 44
sufficient results to justify 95
sufficient returns to justify 126
sufficient revenue to balance 105
sufficient revenue to finance 440
sufficient revenue to justify 140
sufficient revenue to operate 90
sufficient revenue to provide 320
sufficient revenue to recover 49
sufficient revenue to replace 40
sufficient revenue to satisfy 56
sufficient revenue to service 65
sufficient revenue to support 665
sufficient revenue to sustain 128
sufficient revenue to warrant 51
sufficient service of process 103
sufficient service to deliver 161
sufficient shelter to protect 41
sufficient sources of revenue 117
sufficient stature to attract 45
sufficient stature to command 99
sufficient stature to replace 45
sufficient stature to warrant 131
sufficient success to attract 42
sufficient success to justify 244
sufficient success to warrant 448
sufficient support in congress 261
sufficient support to achieve 120
sufficient support to develop 42
sufficient support to justify 262
sufficient support to prevent 256
sufficient support to provide 48
sufficient support to survive 75
sufficient support to sustain 154
sufficient support to warrant 212
sufficient surface to contain 40
sufficient surplus to finance 62
sufficient surplus to justify 45
sufficient surplus to provide 103
sufficient surplus to support 199
sufficient surplus to sustain 60
sufficient tonnage to justify 64
sufficient tonnage to warrant 53
sufficient traffic to justify 439
sufficient traffic to require 42
sufficient traffic to support 329
sufficient traffic to sustain 53
sufficient traffic to warrant 238
sufficient urgency to justify 139
sufficient urgency to require 44
sufficient urgency to warrant 94
sufficient utility to justify 126
sufficient utility to warrant 74
sufficient variation to warrant 71
sufficient variety of courses 79
sufficient variety of material 91
sufficient variety of objects 177
sufficient variety of precise 45
sufficient variety of species 46
sufficient variety of talents 48
sufficient variety to prevent 90
sufficient variety to provide 148
sufficient variety to satisfy 198
sufficient violence to destroy 56
sufficient violence to produce 54
sufficient voltage is applied 537
sufficient voltage to operate 121
sufficient voltage to produce 48
sufficient voucher to entitle 77
sufficient warrant at present 44
sufficient warrant to believe 87
sufficient warrant to justify 169
sufficient warrant to proceed 43
sufficient warrant to receive 43
sufficient witness of himself 197
suggestions include the following 1560
suggestions offered by members 75
suggestions offered in chapter 212
suggestions offered to explain 58
suggestions offered to improve 43
suggestions regarding the chapter 83
suggestions regarding the conduct 104
suggestions regarding the content 752
suggestions regarding the details 79
suggestions regarding the general 131
suggestions regarding the material 66
suggestions regarding the measures 58
suggestions regarding the present 43
suggestions regarding the problem 80
suggestions regarding the process 57
suggestions regarding the program 48
suggestions regarding the research 47
suggestions regarding the revision 80
suggestions regarding the solution 43
suggestions regarding the subject 139
suggestions towards the solution 126
suggestive remarks on mankind 62
summarized briefly as follows 6389
summarized briefly in chapter 147
summarized briefly in tabular 42
summarized broadly as follows 58
summarized results of several 115
summarized results of studies 46
summarized roughly as follows 461
summarized shortly as follows 49
summarizes briefly the history 92
summarizes briefly the results 84
summarizes results of several 60
summarizes results of studies 98
superficial account of language 53
superficial aspects of behavior 134
superficial aspects of culture 124
superficial aspects of european 47
superficial aspects of language 381
superficial aspects of religion 44
superficial aspects of society 115
superficial aspects of western 242
superficial because no inquiry 45
superficial between the tendons 112
superficial network of vessels 68
superficial student of history 353
superficial surface is covered 101
superhuman efforts to achieve 127
superhuman efforts to control 45
superhuman efforts to prevent 65
superhuman efforts to procure 85
superiority belonged to halifax 103
superiority complex in relation 61
supervision include the following 143
supervisor himself or herself 53
supplicating posture of patient 190
supporters outside the country 75
supporters refused to believe 60
supportive measures to control 54
supportive measures to correct 52
supportive measures to improve 53
supportive measures to prevent 96
supportive measures to promote 48
supportive measures to relieve 46
supportive measures to sustain 57
supportive members of congress 97
supportive network of friends 640
supposedly capable of producing 60
supposedly written by charles 51
supposedly written by parnell 62
suppressed sections of society 107
surfactant reduces the surface 144
surgically removed the pancreas 43
surgically removed to prevent 172
surgically removed to relieve 61
surprisingly similar in content 92
surrendering herself to lorenzo 77
surrendering himself to justice 93
surrenders himself or herself 184
surrenders himself to justice 146
surrounded himself by masters 52
surrounded himself by objects 61
symbolical attempt to express 58
symbolical language in question 51
symbolical language of ancient 51
symbolical language of flowers 46
sympathetic members of congress 717
sympathetic network of friends 45
sympathetic neurons in culture 620
sympathetic outflow to adrenal 135
sympathetic strikes in support 69
sympathetic towards the british 148
sympathetic towards the catholic 50
sympathetic towards the chinese 67
sympathetic towards the congress 112
sympathetic towards the demands 54
sympathetic towards the efforts 53
sympathetic towards the general 40
sympathetic towards the germans 45
sympathetic towards the muslims 53
sympathetic towards the national 46
sympathetic towards the suffering 44
sympathetic towards the victims 55
sympathetic towards the workers 52
synthesized protein is released 119
systematic absence of certain 61
systematic account of certain 56
systematic account of justice 75
systematic account of language 211
systematic account of natural 50
systematic aspects of language 128
systematic attempt to account 160
