baboons and early man 221
because our days are 138
because our egos are 71
because our ends are 42
because our eyes and 135
because our eyes are 2211
because our eyes can 414
because our eyes had 96
because our eyes see 69
because our faith and 77
because our faith has 104
because our faith was 56
because our farm was 45
because our fears are 45
because our feet are 114
because our food was 50
because our goal was 283
because our guys are 49
because our heads are 156
because our heart has 57
because our home was 189
because our ideas and 96
because our ideas are 338
because our jobs are 75
because our kids are 181
because our land was 91
because our laws and 117
because our laws are 168
because our legs are 60
because our life and 76
because our life has 175
because our life was 99
because our line was 42
because our lord and 192
because our lord did 89
because our lord god 97
because our lord had 295
because our lord has 512
because our lord hath 249
because our lord was 424
because our love and 60
because our love can 44
because our love for 233
because our love has 85
because our love was 136
because our means are 77
because our mind and 99
because our mind can 119
because our mind has 163
because our mind was 68
because our name was 51
because our need for 204
because our past has 83
because our plan was 51
because our race has 61
because our race was 46
because our reach can 54
because our room was 87
because our ship was 153
because our side has 49
because our sins are 396
because our skin was 78
because our sons and 90
because our soul has 48
because our stay had 40
because our task was 63
because our teeth are 51
because our time and 50
because our time has 142
because our time was 226
because our town was 67
because our union with 58
because our ways are 95
because our will and 58
because our wits are 63
because our work has 121
because our work was 259
because our young men 193
because out there they 49
because real life does 44
because real life was 48
because say what you 99
because she acts out 100
because she also did 73
because she also had 671
because she also has 383
because she also saw 76
because she also was 259
because she asks for 104
because she asks him 102
because she bears and 45
because she bore her 72
because she bore him 352
because she bore his 48
because she brings him 56
because she brings out 40
because she brings with 73
because she came and 161
because she came not 44
because she came out 1135
because she came too 50
because she came with 175
because she dare not 428
because she deals with 210
because she dealt with 158
because she died and 74
because she died for 42
because she died two 43
because she dips her 41
because she docs not 52
because she drew her 48
because she drew him 112
because she drew too 64
because she dyed her 51
because she earns her 67
because she fears being 227
because she fears for 269
because she fears her 350
because she fears him 57
because she fears his 114
because she fears she 497
because she fears that 3590
because she fears them 40
because she fears they 82
because she fears you 58
because she fell and 61
because she fell for 61
because she fell ill 91
because she fell off 72
because she fell out 134
because she felt all 173
because she felt and 47
because she felt any 211
because she felt bad 269
because she felt both 46
because she felt for 88
because she felt god 68
because she felt her 2160
because she felt him 157
because she felt his 404
because she felt hot 45
because she felt how 53
because she felt ill 379
because she felt its 132
because she felt out 268
because she felt sad 64
because she felt she 8521
because she felt shy 91
because she felt that 36732
because she felt them 186
because she felt they 1193
because she felt this 386
because she felt too 894
because she felt weak 89
because she felt you 98
because she gave all 501
because she gave her 615
because she gave him 1235
because she gave out 119
because she gave them 492
because she gave you 236
because she gets all 62
because she gets her 93
because she gets mad 68
because she gets too 57
because she heard her 281
because she heard him 438
because she heard his 124
because she heard that 1314
because she heard them 121
because she heard you 98
because she hears her 60
because she hears that 156
because she held her 286
because she held him 129
because she held his 56
because she held out 80
because she held that 364
because she held them 216
because she hurt her 113
because she hurt him 52
because she just can 249
because she just did 862
because she just does 297
because she just got 175
because she just had 401
because she just has 60
because she just sat 96
because she just was 253
because she kept all 42
because she kept going 101
because she kept her 946
because she kept him 234
because she kept them 121
because she knew all 1905
because she knew and 378
because she knew any 57
because she knew both 67
because she knew but 86
because she knew for 207
because she knew god 158
because she knew her 4589
because she knew him 1458
because she knew his 872
because she knew how 6500
because she knew its 117
because she knew not 811
because she knew now 489
because she knew one 290
because she knew she 12592
because she knew that 64026
because she knew them 528
because she knew then 127
because she knew they 2420
because she knew things 77
because she knew this 912
because she knew too 920
because she knew who 452
because she knew why 213
because she knew with 175
because she knew you 805
because she laid out 41
because she left far 40
because she left for 48
because she left her 654
because she left him 332
because she left them 82
because she left this 50
because she left you 116
because she lets her 171
because she lets him 110
because she lets them 54
because she lets you 45
because she longs for 165
because she lost all 82
because she lost her 1573
because she lost him 48
because she made all 1341
because she made fun 60
because she made her 494
because she made him 1223
because she made his 93
because she made one 115
because she made that 130
because she made them 375
because she made things 44
because she made this 78
because she made too 54
because she made use 43
because she made you 192
because she meant that 96
because she more than 157
because she must and 45
because she must die 64
because she must earn 60
because she must get 173
because she must not 537
because she must now 69
because she must pay 63
because she must say 42
because she must see 85
because she must then 63
because she must use 69
because she need not 326
because she once had 264
because she once saw 51
because she once was 46
because she only did 45
because she only eats 68
because she only got 83
because she only had 753
because she only has 303
because she only saw 106
because she owed her 104
because she owed him 329
because she owes him 43
because she owns her 47
because she paid for 174
because she paid her 74
because she paid him 74
because she pays for 57
because she puts her 161
because she puts out 45
because she quit her 43
because she said all 79
because she said her 581
because she said his 61
because she said one 67
because she said she 6866
because she said that 6762
because she said them 48
because she said they 829
because she said things 49
because she said this 94
because she said with 56
because she said yes 73
because she said you 465
because she says her 164
because she says she 2035
because she says that 2548
because she says they 316
because she says things 52
because she says you 243
because she sees all 107
because she sees and 80
because she sees her 496
because she sees him 365
because she sees his 60
because she sees how 209
because she sees that 2166
because she sees them 401
because she sees things 45
because she sees this 121
because she sees you 192
because she sent for 128
because she sent her 78
because she sent him 162
because she sent out 68
because she sent them 43
because she shot him 65
because she sits her 60
because she sold her 87
because she sold out 85
because she sure did 126
because she sure was 89
because she threw her 74
because she threw him 52
because she told her 315
because she told him 1342
because she told them 419
because she told you 336
because she took all 84
because she took any 76
because she took for 45
because she took her 560
because she took him 240
because she took his 196
because she took off 301
because she took one 179
because she took out 58
because she took that 60
because she took them 150
because she took things 59
because she took this 47
because she took too 95
because she took you 57
because she used her 536
because she used his 49
because she used that 92
because she used them 87
because she used too 40
because she uses her 296
because she uses them 60
because she wears her 124
because she wears real 91
because she well saw 49
because she went and 93
because she went for 77
because she went off 243
because she went out 1252
because she went with 203
because she wept for 42
because she will bear 42
because she will bring 117
because she will die 110
because she will get 325
because she will hear 58
because she will not 11610
because she will now 56
because she will pay 45
because she will say 65
because she will see 146
because she will then 271
because she will try 66
because she will use 56
because she woke amy 62
because she woke with 57
because she wore her 405
because she wore men 58
because she wore them 81
because she wore too 42
because sir john had 62
because sir john was 113
because sir pitt was 42
because six years ago 273
because tax laws and 41
because tax laws are 70
because ten years ago 788
because ten years had 43
because that also has 71
because that also may 41
because that also was 143
because that army was 54
because that bird had 52
because that bird was 104
because that body can 52
because that body did 40
because that body had 406
because that body has 142
because that body was 410
because that book had 56
because that book has 49
because that book was 196
because that brings out 42
because that brings with 248
because that came out 49
because that case did 100
because that case had 58
because that case was 160
because that city had 386
because that city has 103
because that city was 1060
because that cost him 118
because that data was 47
because that date had 44
because that date was 100
because that deals with 65
because that door was 74
because that dream was 50
because that dude was 84
because that duty was 57
because that even then 161
because that face was 42
because that fact has 46
because that fact was 174
because that faith was 75
because that firm had 74
because that firm was 49
because that form has 57
because that form was 120
because that gave her 135
because that gave him 268
because that gave them 177
because that gave you 99
because that gets you 46
because that gift was 66
because that girl had 75
because that girl was 125
because that great and 51
because that great man 101
because that hand had 41
because that hand was 46
because that hope was 42
because that just does 77
because that just was 96
because that kept him 63
because that kept them 54
because that lady had 78
because that lady was 64
because that land had 49
because that land has 68
because that land was 233
because that last saw 55
because that lets you 43
because that life had 46
because that life has 69
because that life was 169
because that line has 43
because that line was 79
because that loss was 51
because that love had 102
because that love has 57
because that love was 120
because that made her 198
because that made him 207
because that made them 245
because that meaning was 41
because that means his 42
because that means one 40
because that means she 102
because that means that 2377
because that means they 417
because that means you 797
because that meant being 58
because that meant going 46
because that meant she 332
because that meant that 1714
because that meant they 316
because that meant you 126
because that mind was 65
because that month was 51
because that more than 58
because that name had 171
because that name has 172
because that name was 410
because that need was 45
because that nice boy 103
because that only can 78
because that other has 132
because that other man 140
because that other one 105
because that other was 83
because that part had 43
because that part has 108
because that part was 199
because that past has 44
because that past was 40
because that plan has 47
because that plan was 77
because that port was 71
because that puts them 74
because that puts you 73
because that race was 40
because that road can 45
because that road was 92
because that role has 56
because that role was 123
because that room was 78
because that rule does 43
because that rule has 54
because that rule was 88
because that same act 54
because that same day 226
because that same year 198
because that self was 45
because that ship had 52
because that ship was 65
because that side was 100
because that site was 59
because that soul has 43
because that spot was 47
because that step was 194
because that task has 41
because that task was 53
because that term can 55
because that term does 58
because that term had 67
because that term has 376
because that term was 194
because that text has 47
because that theory has 117
because that theory was 146
because that there are 350
because that there was 380
because that those who 41
because that time has 81
because that time was 179
because that town had 114
because that town was 219
because that tree was 133
because that union was 53
because that unit was 45
because that unto them 846
because that very act 87
because that very day 502
because that view was 52
because that when she 70
because that when they 515
because that when you 55
because that will bring 259
because that will get 103
because that will lead 341
because that will let 41
because that will mean 590
because that will not 1329
because that will put 228
because that will set 41
because that word can 42
because that word does 56
because that word had 76
because that word has 353
because that word was 229
because that work had 112
because that work has 247
because that work was 262
because that young man 248
because then more than 48
because then only can 108
because then only one 264
because then there are 974
because then there can 302
because then there may 79
because then there was 1619
because then those who 163
because then what one 118
because then what you 93
because then when you 317
because they also act 233
because they also are 1808
because they also bear 149
because they also bring 52
because they also can 297
because they also deal 104
because they also did 102
because they also fear 79
because they also get 72
because they also had 1409
because they also lead 126
because they also may 187
because they also own 40
because they also saw 111
because they also say 53
because they also see 100
because they also use 175
because they bade him 46
because they bend and 68
because they best fit 127
because they bind and 54
because they bind our 48
because they bind with 68
because they bite and 45
because they blot out 44
because they blur and 42
because they bore any 40
because they bore him 155
because they bore his 103
because they bore them 49
because they bore too 40
because they break new 50
because they break off 65
because they break one 45
because they break out 122
because they break too 53
because they break with 159
because they burn and 61
because they burn out 184
because they burn with 114
because they call each 42
because they call for 1711
because they call god 45
because they call him 128
because they call out 189
because they call that 45
because they call them 88
because they call you 142
because they came and 323
because they came for 148
because they came not 1948
because they came off 111
because they came one 55
because they came out 2656
because they came too 483
because they came with 648
because they cant get 64
because they care and 144
because they care for 1343
because they care not 125
because they care too 123
because they cast off 63
because they cast out 79
because they clung too 74
because they code for 157
because they come and 679
because they come but 75
because they come for 171
because they come near 43
because they come not 618
because they come off 213
because they come out 2446
because they come too 244
because they come with 973
because they cool off 46
because they cope with 69
because they cost her 62
because they cost him 128
because they cost one 42
because they cost them 60
because they cost too 763
because they cost you 68
because they dare not 3855
because they dealt not 49
because they dealt with 7826
because they deem that 144
because they deem them 197
because they defy all 47
because they deny all 69
because they deny any 47
because they deny god 72
because they deny its 67
because they deny our 43
because they deny that 1439
because they deny them 80
because they died and 66
because they died for 251
because they died out 127
because they died too 76
because they died with 139
because they draw off 141
because they draw our 117
because they draw out 67
because they draw too 48
because they dread being 169
because they dread that 96
because they drew out 40
because they drew too 97
because they drop out 378
because they envy her 46
because they envy him 102
because they envy our 45
because they envy them 119
because they envy you 79
because they face each 49
because they fall far 91
because they fall for 41
because they fall not 47
because they fall off 209
because they fall out 418
because they fall with 43
because they feed and 96
because they feed him 42
because they feed off 231
because they feed them 47
because they feel all 92
because they feel and 262
because they feel any 132
because they feel bad 290
because they feel both 61
because they feel for 82
because they feel god 73
because they feel his 97
because they feel how 53
because they feel ill 206
because they feel its 182
because they feel not 197
because they feel out 188
because they feel sad 60
because they feel she 173
because they feel shy 58
because they feel that 76758
because they feel them 633
because they feel they 17507
because they feel things 65
because they feel this 765
because they feel thus 52
because they feel too 676
because they feel weak 109
because they feel with 72
because they feel you 437
because they fell far 73
because they fell for 68
because they fell not 91
because they fell off 131
because they fell out 344
because they felt all 206
because they felt and 154
because they felt any 378
because they felt bad 85
because they felt both 162
because they felt for 69
because they felt god 42
because they felt her 123
because they felt him 79
because they felt his 437
because they felt ill 136
because they felt its 238
because they felt not 59
because they felt our 60
because they felt out 192
because they felt she 611
because they felt shy 47
because they felt that 81158
because they felt them 176
because they felt they 12131
because they felt this 810
because they felt too 442
because they felt you 88
because they fill our 40
because they fill out 146
because they fill with 81
because they fill you 79
because they find all 161
because they find each 90
because they find few 58
because they find her 113
because they find him 220
because they find his 210
because they find its 282
because they find not 184
because they find one 136
because they find our 49
because they find out 531
because they find that 8044
because they find them 2604
because they find they 674
because they find things 49
because they find this 404
because they find too 49
because they find you 69
because they fled and 40
because they flew too 43
because they flow out 105
because they form and 67
because they form its 47
because they form new 52
because they form one 651
because they form our 54
because they form two 67
because they form with 53
because they gave all 73
because they gave each 58
because they gave her 853
because they gave him 2095
because they gave his 106
because they gave not 72
because they gave off 147
because they gave one 71
because they gave out 234
because they gave them 642
because they gave too 212
because they gave way 231
because they gave you 439
because they give all 174
because they give and 65
because they give any 57
because they give both 90
because they give but 98
because they give each 153
because they give her 360
because they give him 1181
because they give his 86
because they give new 62
because they give not 83
because they give off 1557
because they give one 251
because they give our 48
because they give out 471
because they give that 126
because they give them 872
because they give this 53
because they give too 340
because they give way 85
because they give you 3012
because they glow with 61
because they grew and 68
because they grew out 900
because they grew too 111
because they grow and 259
because they grow for 61
because they grow not 40
because they grow old 118
because they grow out 1925
because they grow too 250
because they grow with 93
because they hare not 54
because they hate all 98
because they hate and 177
because they hate being 77
because they hate each 150
because they hate god 95
because they hate her 62
because they hate him 209
because they hate men 53
because they hate one 44
because they hate our 96
because they hate that 43
because they hate them 234
because they hate war 40
because they hate you 250
because they have air 173
because they have all 14276
because they have and 255
because they have any 3269
because they have bad 540
because they have being 71
because they have big 421
because they have both 2932
because they have but 1113
because they have cut 546
because they have due 74
because they have dug 63
because they have each 798
because they have ears 52
because they have easy 166
because they have far 1190
because they have fear 81
because they have fed 101
because they have few 3256
because they have for 2442
because they have fun 234
because they have fur 139
because they have god 757
because they have got 4099
because they have had 23517
because they have her 62
because they have him 68
because they have his 261
because they have hit 123
because they have hiv 120
because they have ill 74
because they have job 42
because they have led 1057
because they have let 368
because they have long 7134
because they have low 2615
because they have men 49
because they have met 956
because they have new 306
because they have non 123
because they have not 170655
because they have now 1750
because they have odd 45
because they have oil 174
because they have old 66
because they have one 5005
because they have our 101
because they have out 51
because they have put 1453
because they have read 2285
because they have real 1043
because they have red 163
because they have run 869
because they have sat 89
because they have set 1142
because they have sex 148
because they have sin 64
because they have six 303
because they have sung 53
because they have ten 174
because they have that 2954
because they have them 636
because they have then 225
because they have things 243
because they have thin 155
because they have this 2687
because they have thus 338
because they have too 5729
because they have two 6000
because they have use 42
because they have weak 375
because they have wings 475
because they have with 158
because they have wit 62
because they have won 790
because they have yet 3094
because they have you 125
because they heard and 63
because they heard her 61
because they heard him 244
because they heard his 56
because they heard men 58
because they heard not 40
because they heard that 2958
because they heard them 151
because they heard they 54
because they heard this 47
because they heard you 95
because they held all 113
because they held and 76
because they held her 76
because they held him 654
because they held his 47
because they held out 370
because they held that 5006
because they held them 283
because they held this 118
because they held too 56
because they help bring 92
because they help each 155
because they help get 52
because they help her 121
because they help him 558
because they help man 56
because they help not 74
because they help one 487
because they help our 62
because they help set 86
because they help them 425
because they help with 165
because they help you 1778
because they hold all 144
because they hold and 310
because they hold any 49
because they hold both 41
because they hold each 42
because they hold for 169
because they hold him 140
because they hold one 129
because they hold out 377
because they hold that 4842
because they hold them 396
because they hold this 209
because they hold you 44
because they hope and 148
because they hope for 800
because they hope that 3676
because they hope they 157
because they hope this 69
because they hope thus 103
because they hope you 59
because they hunt and 61
because they hunt for 56
because they hurt and 59
because they hurt her 134
because they hurt him 78
because they hurt his 118
because they hurt our 43
because they hurt too 75
because they hurt you 107
because they join two 52
because they join with 48
because they just are 563
because they just can 1293
because they just did 1578
because they just get 159
because they just got 213
because they just had 292
because they just let 44
because they just sat 47
because they just say 56
because they just see 44
because they just sit 72
because they keep all 110
because they keep each 47
because they keep going 65
because they keep her 75
because they keep him 171
because they keep his 41
because they keep not 935
because they keep off 40
because they keep one 160
because they keep our 61
because they keep out 372
because they keep them 165
because they keep things 59
because they keep you 447
because they kept going 68
because they kept her 163
because they kept him 500
because they kept his 88
because they kept not 460
because they kept out 236
because they kept them 168
because they kept you 48
because they kill and 157
because they kill off 81
because they kill one 40
because they kill our 46
because they kill them 78
because they kill you 60
because they knew all 903
because they knew and 806
because they knew any 63
because they knew both 80
because they knew but 49
because they knew each 550
because they knew for 143
because they knew god 326
because they knew her 565
because they knew him 4211
because they knew his 1121
because they knew how 5683
because they knew its 270
because they knew not 3666
because they knew now 71
because they knew one 341
because they knew our 187
because they knew she 1682
because they knew that 86448
because they knew them 673
because they knew then 54
because they knew they 11222
because they knew things 115
because they knew this 985
because they knew too 915
because they knew who 842
because they knew why 141
because they knew with 90
because they knew you 675
because they know all 1104
because they know and 1355
because they know any 70
because they know both 116
because they know but 103
because they know each 658
because they know far 40
because they know few 44
because they know for 141
because they know god 653
because they know her 175
because they know him 1702
because they know his 1742
because they know how 9472
because they know its 414
because they know men 84
because they know not 6334
because they know now 156
because they know one 495
because they know our 357
because they know she 634
because they know that 119257
because they know them 945
because they know they 17715
because they know things 233
because they know this 1233
because they know too 960
because they know who 826
because they know why 166
because they know with 94
because they know you 3865
because they lack all 988
because they lack any 1484
because they lack both 555
because they lack his 115
because they lack job 129
because they lack not 110
because they lack one 526
because they lack our 70
because they lack real 128
because they lack that 1146
because they lack them 41
because they lack this 901
because they lack two 75
because they laid out 87
because they last for 272
because they last long 54
because they learn and 69
because they learn how 255
because they learn that 1050
because they learn them 41
because they leave both 60
because they leave for 44
because they leave him 75
because they leave one 112
because they leave out 1942
because they leave them 64
because they leave too 99
because they leave you 155
because they left all 85
because they left few 82
because they left for 71
because they left her 103
because they left him 311
because they left off 88
because they left one 70
because they left out 472
because they left them 87
because they left too 93
because they left you 69
because they like all 65
because they like and 296
because they like being 468
because they like doing 301
because they like each 549
because they like her 414
because they like him 663
because they like his 278
because they like how 51
because they like its 425
because they like not 137
because they like one 297
because they like our 131
because they like that 400
because they like them 1892
because they like things 71
because they like this 140
because they like you 1181
because they link two 49
because they list all 49
because they live and 880
because they live far 766
because they live for 393
because they live long 48
because they live near 1044
because they live not 239
because they live off 333
because they live out 451
because they live too 495
because they live with 1180
because they load and 52
because they look and 462
because they look for 986
because they look not 133
because they look out 192
because they look that 105
because they look too 359
because they look with 89
because they lose all 166
because they lose heat 128
because they lose out 55
because they lose that 50
because they lose too 64
because they lost all 210
because they lost one 85
because they lost out 186
because they love all 54
because they love and 913
because they love being 95
because they love doing 106
because they love each 1628
because they love god 1326
because they love her 326
because they love him 2418
because they love his 62
because they love its 55
because they love not 194
because they love one 508
because they love our 65
because they love sin 70
because they love that 318
because they love thee 50
because they love them 1707
because they love this 145
because they love you 1736
because they made all 301
because they made and 91
because they made any 62
because they made bad 77
because they made few 41
because they made for 258
because they made fun 174
because they made her 1561
because they made him 1950
because they made his 288
because they made men 83
because they made new 41
because they made not 127
because they made one 288
because they made our 107
because they made out 51
because they made that 372
because they made them 481
because they made things 55
because they made this 165
because they made too 307
because they made use 1307
because they made war 117
because they made you 364
because they make all 771
because they make and 156
because they make any 75
because they make bad 85
because they make both 86
because they make each 63
because they make few 112
because they make for 748
because they make fun 93
because they make god 94
because they make her 494
because they make him 1086
because they make his 154
because they make its 40
because they make long 159
because they make man 155
because they make men 202
because they make new 89
because they make not 70
because they make one 947
because they make our 295
because they make out 139
because they make real 48
because they make that 270
because they make them 808
because they make things 311
because they make this 215
because they make too 386
because they make use 3317
because they make war 80
because they make you 1778
because they mark his 174
because they mark not 51
because they mark off 75
because they mark out 143
because they mate for 80
because they meant that 929
because they meet all 169
because they meet and 44
because they meet each 71
because they meet for 49
because they meet his 69
because they meet not 44
because they meet one 180
because they meet our 122
because they meet this 70
because they meet two 51
because they meet with 822
because they melt and 49
because they mesh with 106
because they mingle with 59
because they miss out 128
because they miss this 46
because they more than 349
because they move and 253
because they move out 190
because they move too 199
because they move with 287
because they must act 241
because they must add 51
because they must all 1040
because they must and 281
because they must ask 42
because they must bear 209
because they must both 109
because they must bring 53
because they must but 129
because they must buy 139
because they must deal 567
because they must die 77
because they must earn 202
because they must fit 164
because they must for 45
because they must get 296
because they must lead 46
because they must lie 61
because they must not 1355
because they must now 303
because they must pay 1059
because they must put 86
because they must read 67
because they must run 87
because they must say 192
because they must see 182
because they must set 56
because they must sit 52
because they must than 53
because they must then 278
because they must try 121
because they must use 455
because they must win 64
because they need air 97
because they need all 422
because they need and 220
because they need any 50
because they need both 84
because they need each 562
because they need her 171
because they need him 302
because they need his 184
because they need its 107
because they need long 43
because they need new 85
because they need not 2554
because they need one 437
because they need our 252
because they need that 618
because they need them 1768
because they need things 52
because they need this 231
because they need too 50
because they need two 45
because they need you 420
because they note that 151
because they obey god 98
because they obey him 147
because they obey not 41
because they once did 75
because they once had 387
because they only act 81
because they only add 44
because they only are 309
because they only bring 50
because they only can 188
because they only deal 157
because they only did 71
because they only get 251
because they only got 119
because they only had 1603
because they only hear 69
because they only lead 132
because they only met 50
because they only pay 90
because they only put 103
because they only read 71
because they only run 43
because they only saw 241
because they only say 44
because they only see 453
because they only try 45
because they only use 258
because they open and 126
because they open new 130
because they open out 48
because they owed her 54
because they owed him 232
because they paid all 60
because they paid due 56
because they paid for 570
because they paid her 43
because they paid him 153
because they paid not 40
because they paid off 80
because they paid them 87
because they paid too 232
because they paid you 51
because they part with 50
because they pass for 176
because they pass out 137
because they pick and 46
because they pick out 114
because they plan for 42
because they play for 84
because they play key 45
because they play off 97
because they play out 97
because they play too 62
because they play with 237
because they plead for 76
because they pour out 89
because they pray for 120
because they pray with 51
because they pull out 110
because they reach and 50
because they reach out 377
because they react with 1304
because they rely for 110
because they rely too 252
because they rise and 239
because they rise not 44
because they rise out 71
because they risk being 127
because they roll off 89
because they rule out 464
because they rule with 47
because they said all 71
because they said and 65
because they said her 67
because they said his 195
because they said one 72
because they said our 94
because they said she 726
because they said that 10484
because they said they 4524
because they said things 74
because they said this 160
because they said you 272
because they save them 48
because they save you 171
because they seeing see 832
because they seek and 127
because they seek for 111
because they seek her 43
because they seek not 182
because they seek out 515
because they seem all 127
because they seem both 79
because they seem his 53
because they seem not 522
because they seem old 41
because they seem out 205
because they seem real 114
because they seem too 836
because they sell for 108
because they sell out 90
because they sell them 145
because they send out 360
because they send them 51
because they send you 50
because they sent for 79
because they sent her 67
because they sent him 150
because they sent out 183
because they sent you 61
because they shed new 59
because they shew him 54
because they shew how 91
because they shew that 323
because they shot him 40
because they show all 143
because they show any 46
because they show both 140
because they show for 49
because they show her 74
because they show him 282
because they show his 204
because they show how 9828
because they show man 87
because they show not 216
because they show off 124
because they show one 190
because they show our 87
because they show that 18739
because they show them 91
because they show things 45
because they show too 70
because they show two 207
because they show who 46
because they show why 182
because they show with 79
because they show you 400
because they shut off 94
because they shut out 458
because they side with 104
because they single out 184
because they sold for 71
because they sold him 47
because they sold out 135
because they sold them 75
because they soon die 41
because they soon get 80
because they speak all 65
because they speak and 140
because they speak for 497
because they speak not 307
because they speak one 237
because they speak our 45
because they speak out 170
because they speak too 68
because they speak two 40
because they speak with 413
because they spring not 53
because they spring out 172
because they stay out 115
because they stay with 127
because they step out 46
because they suit his 94
because they suit not 53
because they suit our 75
because they suit this 48
because they sure are 52
because they sure did 77
because they take all 409
because they take any 41
because they take both 42
because they take for 489
because they take her 44
because they take him 138
because they take his 58
because they take its 67
because they take not 58
because they take off 108
because they take one 96
because they take our 120
because they take out 162
because they take that 168
because they take them 373
because they take things 100
because they take this 171
because they take too 834
because they take two 57
because they take you 242
because they talk and 62
because they talk too 240
because they talk with 71
because they teach and 52
because they teach him 106
because they teach how 66
because they teach man 119
because they teach men 69
because they teach that 796
because they teach them 163
because they teach you 275
because they tell her 72
because they tell him 219
because they tell how 133
because they tell one 45
because they tell them 245
because they tell you 1281
because they tend not 1110
because they test for 101
because they test our 41
because they think all 365
because they think and 598
because they think any 47
because they think being 59
because they think doing 62
because they think for 40
because they think god 570
because they think her 93
because they think him 249
because they think his 188
because they think its 232
because they think men 76
because they think not 130
because they think one 234
because they think our 253
because they think sex 45
because they think she 834
because they think that 54997
because they think them 1194
because they think they 23474
because they think things 62
because they think this 1280
because they think too 208
because they think with 92
because they think you 3405
because they threw him 49
because they throw any 65
because they throw new 52
because they throw off 100
because they throw out 119
because they told her 351
because they told him 779
because they told them 125
because they told you 270
because they took all 159
because they took for 259
because they took god 48
because they took her 264
because they took him 995
because they took his 216
because they took not 84
because they took off 269
because they took one 73
because they took our 102
because they took out 314
because they took that 202
because they took them 349
because they took this 115
because they took too 352
because they took with 57
because they took you 104
because they trap heat 68
because they treat all 140
because they treat each 94
because they treat her 45
because they treat him 70
because they treat not 73
because they treat them 138
because they treat you 156
because they turn off 73
because they turn out 1520
because they used all 197
because they used his 42
because they used not 51
because they used one 91
because they used that 187
because they used them 348
because they used this 131
because they used too 130
because they used two 43
because they vary and 47
because they vary for 58
because they vary not 54
because they vary too 62
because they vary with 942
because they view all 89
because they view any 54
because they view him 62
because they view that 111
because they view them 856
because they view this 227
because they vote and 49
because they vote for 127
because they wage war 52
because they wait for 304
because they wait too 56
because they walk not 83
because they walk with 55
because they want all 243
because they want and 297
because they want any 44
because they want art 138
because they want both 55
because they want but 208
because they want each 61
because they want for 50
because they want god 60
because they want her 269
because they want him 476
because they want his 154
because they want men 51
because they want new 40
because they want not 93
because they want one 300
because they want our 194
because they want out 40
because they want sex 99
because they want that 998
because they want them 1898
because they want things 258
because they want this 208
because they want too 68
because they want war 64
because they want you 1914
because they ward off 156
because they wash out 41
because they weep for 47
because they went all 40
because they went and 92
because they went far 103
because they went for 78
because they went not 70
because they went off 306
because they went out 1392
because they went too 281
because they went with 249
because they were all 63980
because they were and 819
because they were any 361
because they were apt 442
because they were bad 3054
because they were being 10256
because they were big 1023
because they were both 15866
because they were but 989
because they were con 159
because they were cut 1369
because they were dead 1496
because they were deaf 236
because they were dear 245
because they were doing 3829
because they were dry 216
because they were due 458
because they were dug 138
because they were dying 423
because they were each 689
because they were easy 2684
because they were eating 1282
because they were eye 79
because they were far 5750
because they were fat 176
because they were fed 2203
because they were few 1512
because they were fit 1210
because they were foes 43
because they were for 6229
because they were fun 779
because they were gay 866
because they were god 1774
because they were going 10805
because they were got 52
because they were head 42
because they were her 1600
because they were hid 84
because they were his 8492
because they were hit 169
because they were hiv 75
because they were hot 344
because they were hung 118
because they were ill 2563
because they were its 587
because they were key 98
because they were kings 225
because they were kin 346
because they were law 212
because they were lax 42
because they were led 1225
because they were let 113
because they were lit 77
because they were long 1500
because they were loth 264
because they were low 727
because they were lying 341
because they were mad 418
because they were man 314
because they were mean 626
because they were men 5531
because they were met 215
because they were near 3222
because they were net 59
because they were new 4239
because they were non 2671
because they were not 266602
because they were now 5838
because they were odd 111
because they were off 1099
because they were old 4578
because they were one 3588
because they were our 1307
because they were out 10816
because they were pro 501
because they were put 1444
because they were raw 74
because they were read 911
because they were real 1929
