far i feel the ground 83
for a time the rattle 43
for a time the record 45
for a time the refuge 45
for a time the result 165
for a time the rights 51
for a time the russian 180
for a time the safety 45
for a time the scheme 73
for a time the scheming 42
for a time the school 389
for a time the second 374
for a time the secret 40
for a time the serious 43
for a time the source 61
for a time the soviet 210
for a time the special 72
for a time the spirit 176
for a time the status 52
for a time the strain 88
for a time the strange 48
for a time the strength 64
for a time the strife 50
for a time the sudden 44
for a time the supply 96
for a time the system 139
for a time the teacher 119
for a time the tension 55
for a time the terror 119
for a time the thought 117
for a time the troops 58
for a time the united 458
for a time the urgent 61
for a time the various 50
for a time the victim 146
for a time the violent 48
for a time the voices 83
for a time the waters 62
for a time the weight 50
for a time the younger 53
for a time to absent 41
for a time to absorb 130
for a time to accept 432
for a time to adjust 45
for a time to affect 68
for a time to afford 90
for a time to almost 48
for a time to another 340
for a time to answer 87
for a time to arrest 111
for a time to assert 52
for a time to assist 286
for a time to assume 187
for a time to assure 45
for a time to attend 269
for a time to awaken 50
for a time to baffle 48
for a time to banish 72
for a time to become 963
for a time to berlin 76
for a time to boston 47
for a time to combat 52
for a time to conceal 254
for a time to darken 42
for a time to decide 69
for a time to defend 169
for a time to delude 54
for a time to depart 40
for a time to depend 44
for a time to desist 50
for a time to devote 131
for a time to direct 205
for a time to divert 91
for a time to divide 153
for a time to employ 69
for a time to enable 176
for a time to endure 228
for a time to england 312
for a time to ensure 162
for a time to escape 365
for a time to europe 77
for a time to exceed 48
for a time to expand 43
for a time to extend 85
for a time to finish 85
for a time to follow 495
for a time to forget 534
for a time to france 285
for a time to further 291
for a time to geneva 52
for a time to govern 126
for a time to handle 46
for a time to ignore 162
for a time to impart 48
for a time to impose 99
for a time to induce 46
for a time to insist 50
for a time to insure 70
for a time to listen 129
for a time to london 314
for a time to manage 65
for a time to master 46
for a time to matter 151
for a time to mexico 51
for a time to notice 69
for a time to obtain 423
for a time to occupy 219
for a time to offset 43
for a time to oppose 73
for a time to oxford 81
for a time to permit 225
for a time to pursue 200
for a time to realize 75
for a time to reappear 47
for a time to recede 48
for a time to reduce 184
for a time to refuse 44
for a time to regain 122
for a time to regard 236
for a time to reject 43
for a time to remain 557
for a time to remove 164
for a time to render 142
for a time to repair 54
for a time to reside 205
for a time to resign 57
for a time to resist 221
for a time to resort 43
for a time to resume 57
for a time to retain 250
for a time to retard 66
for a time to retire 223
for a time to return 313
for a time to revive 83
for a time to school 59
for a time to secure 256
for a time to settle 224
for a time to something 107
for a time to strike 69
for a time to subdue 66
for a time to submit 184
for a time to suffer 104
for a time to supply 165
for a time to threaten 408
for a time to tories 93
for a time to travel 72
for a time to unlock 44
for a time to venice 40
for a time to vienna 57
for a time to violent 99
for a time to wander 81
for a time we almost 49
for a time we argued 61
for a time we failed 44
for a time we forgot 70
for a time we greatly 41
for a time we hardly 59
for a time we seemed 43
for a time we should 151
for a time we talked 45
for a time we thought 388
for a time we walked 91
for a tort at common 50
for a tour in england 111
for a tour in europe 256
for a tour in france 73
for a tour in greece 70
for a tour of africa 48
for a tour of canada 112
for a tour of eastern 42
for a tour of england 232
for a tour of europe 1038
for a tour of france 136
for a tour of greece 44
for a tour of london 40
for a tour of mexico 62
for a tour of visits 41
for a tour to europe 84
for a town in england 100
for a town of twenty 48
for a town or county 48
for a tree to attain 41
for a tree to become 99
for a tree to mature 84
for a trial by battle 51
for a trial by combat 129
for a trial in boston 56
for a trial of strength 3103
for a trial on whether 71
for a trip to africa 208
for a trip to alaska 169
for a trip to another 134
for a trip to berlin 217
for a trip to boston 201
for a trip to brazil 71
for a trip to canada 208
for a trip to dallas 85
for a trip to denver 52
for a trip to disney 88
for a trip to england 995
for a trip to europe 3150
for a trip to france 465
for a trip to greece 132
for a trip to havana 87
for a trip to hawaii 429
for a trip to kansas 47
for a trip to london 1451
for a trip to mexico 559
for a trip to moscow 186
for a trip to niagara 84
for a trip to norway 101
for a trip to oregon 49
for a trip to panama 58
for a trip to poland 84
for a trip to seattle 54
for a trip to siberia 45
for a trip to sweden 51
for a trip to sydney 73
for a trip to tahiti 92
for a trip to venice 103
for a trip to vienna 130
for a tube of radius 143
for a tuft of violets 44
for a turn in events 43
for a turn of events 252
for a turn of phrase 158
for a twin or double 83
for a type of animal 50
for a type of building 163
for a type of cancer 87
for a type of christ 71
for a type of family 125
for a type of fiction 106
for a type of mental 207
for a type of modern 64
for a type of object 112
for a type of painting 116
for a type of person 261
for a type of planning 52
for a type of public 193
for a type of reaction 44
for a type of school 110
for a type of sexual 71
for a type of thought 125
for a type of training 289
for a type of vessel 60
for a type of worker 44
for a type the moment 81
for a union of church 128
for a union of england 70
for a union of forces 224
for a union of german 123
for a union of nations 125
for a union of states 218
for a union to accept 58
for a union to charge 54
for a union to demand 81
for a union to induce 97
for a union to insist 62
for a union to obtain 140
for a union to picket 190
for a union to pursue 47
for a union to refuse 112
for a union to strike 268
for a union to threaten 78
for a unit of another 523
for a unit of credit 61
for a unit of energy 145
for a unit of measure 258
for a unit of output 451
for a unit of volume 135
for a unit of weight 150
for a unit or course 86
for a user to access 928
for a user to become 120
for a user to browse 64
for a user to choose 123
for a user to decide 40
for a user to define 107
for a user to delete 45
for a user to follow 57
for a user to locate 92
for a user to modify 93
for a user to obtain 161
for a user to select 282
for a user to submit 55
for a user to switch 43
for a view of london 62
for a view of nature 113
for a view of reality 133
for a view of something 61
for a visa in person 93
for a visa to attend 47
for a visa to canada 43
for a visa to england 49
for a visa to return 207
for a visa to travel 239
for a vote by ballot 52
for a vote by orders 102
for a vote by states 112
for a vote of credit 1134
for a vote of public 42
for a vote of supply 74
for a vote on whether 344
for a vote to decide 53
for a wage of twenty 84
for a wage or salary 1178
for a walk at sunset 145
for a walk by myself 830
for a walk in london 62
for a walk in nature 154
for a walk in regent 105
for a walk of twenty 42
for a walk on sunday 523
for a walk or picnic 92
for a walk or played 82
for a walk or shopping 153
for a walk or something 1164
for a walk to escape 58
for a walk to walden 80
for a wall in common 143
for a want of nature 53
for a want of proper 53
for a wave of bombings 45
for a wave to travel 735
for a wealth of detail 108
for a wealth of reasons 54
for a week as guests 51
for a week by myself 50
for a week he called 43
for a week in august 770
for a week in berlin 65
for a week in boston 78
for a week in england 54
for a week in hawaii 82
for a week in london 451
for a week in mexico 55
for a week in moscow 41
for a week in prison 45
for a week in session 55
for a week in summer 285
for a week in winter 72
for a week it looked 48
for a week of meetings 315
for a week of mourning 106
for a week of nights 85
for a week of prayer 174
for a week of shooting 56
for a week of special 98
for a week of summer 58
for a week of training 517
for a week of travel 42
for a week of winter 46
for a week or better 70
for a week or something 158
for a week the matter 66
for a week to assist 49
for a week to attend 327
for a week to decide 60
for a week to enable 169
for a week to ensure 69
for a week to finish 85
for a week to london 66
for a week to obtain 66
for a week to permit 73
for a week to remove 49
for a week to repair 43
for a week to settle 53
for a week to tinker 64
for a week we should 40
for a wide or narrow 47
for a width of twenty 176
for a wife he should 52
for a wife or family 63
for a wife so lovely 45
for a wife to accept 44
for a wife to accuse 48
for a wife to become 70
for a wife to behave 55
for a wife to desire 51
for a wife to expect 48
for a wife to follow 122
for a wife to obtain 177
for a wife to refuse 112
for a wife to remain 126
for a wife to return 46
for a wife to submit 96
for a will is called 51
for a wire of radius 109
for a word in english 227
for a word in memory 45
for a word of advice 832
for a word of answer 63
for a word of assent 74
for a word of caution 455
for a word of greeting 856
for a word of notice 70
for a word of praise 807
for a word of prayer 285
for a word of special 73
for a word of wisdom 135
for a word on poland 43
for a word or phrase 2634
for a word to become 61
for a word to convey 82
for a word to define 46
for a word to denote 76
for a work in english 44
for a work in fresco 114
for a work of fiction 3310
for a work of genius 116
for a work of greater 66
for a work of modern 40
for a work of nature 57
for a work of public 131
for a work on diamond 66
for a writ of arrest 46
for a writ of review 505
for a writ to compel 205
for a wrong or injury 269
for a yank at oxford 59
for a yard of calico 246
for a yard of cotton 64
for a yard of ribbon 150
for a yoke of cattle 63
for a yoke of steers 107
for a young or middle 128
for a youth of athenian 60
for a youth of genius 48
for a youth of spirit 44
for a youth of twenty 855
for i also am curious 68
for i came to realize 43
for i feel my powers 158
for i feel my strength 42
for i feel the chilly 52
for i felt an inward 103
for i felt my regard 74
for i felt the spirit 132
for i felt the strength 99
for i find it changed 53
for i find it stated 58
for i find no mention 126
for i find no record 48
for i find no relief 47
for i find no traces 71
for i find the record 45
for i gave my porter 48
for i have an errand 55
for i have an innate 71
for i have as little 97
for i have in london 86
for i have my doubts 87
for i have my letter 87
for i have no answer 46
for i have no belief 70
for i have no better 155
for i have no brother 75
for i have no chance 87
for i have no choice 121
for i have no copies 61
for i have no desire 1122
for i have no doubts 55
for i have no family 55
for i have no friend 131
for i have no further 157
for i have no future 84
for i have no gazers 177
for i have no greater 88
for i have no ground 51
for i have no letter 54
for i have no madman 44
for i have no manner 202
for i have no memory 213
for i have no opinion 166
for i have no proper 48
for i have no record 49
for i have no shield 69
for i have no sooner 74
for i have no special 40
for i have no strength 233
for i have no talent 68
for i have no thought 274
for i have so little 209
for i have the proofs 77
for i have the utmost 173
for i have the vanity 75
for i have to inform 51
for i have to record 70
for i have to travel 52
for i heard it myself 63
for i heard it strike 47
for i heard the orders 43
for i heard the sounds 184
for i hope he belongs 136
for i hope to finish 52
for i hope to return 82
for i keep ma papers 49
for i knew as little 103
for i knew he wanted 67
for i knew it better 178
for i knew no better 142
for i knew so little 49
for i knew the answer 54
for i knew the indians 50
for i knew the master 76
for i knew the number 52
for i knew we should 142
for i know as little 49
for i know by myself 60
for i know it already 79
for i know my brother 48
for i know my friend 44
for i know no better 401
for i know no further 45
for i know no greater 87
for i know no writer 54
for i know so little 141
for i know the errand 42
for i know the french 70
for i know the master 44
for i know the nature 61
for i know the troops 43
for i know we should 40
for i left no avenue 338
for i like it better 45
for i lost my friend 47
for i lost my little 71
for i love the virtue 60
for i love to conceal 71
for i love to praise 91
for i made it myself 282
for i made it without 53
for i made no answer 71
for i make no secret 134
for i must be buried 52
for i must be honest 45
for i must do something 41
for i need it sorely 76
for i said to myself 1121
for i seem to myself 75
for i seem to recall 76
for i speak in earnest 105
for i speak it without 50
for i think it better 492
for i think it highly 66
for i think it likely 98
for i think it murder 286
for i think it should 242
for i think of pointing 48
for i think the advice 51
for i think the better 98
for i think the fashion 53
for i think we should 97
for i took it partly 47
for i took the ladies 47
for i took the letter 71
for i want my dinner 69
for i want to arrest 76
for i want to finish 99
for i want to forget 49
for i want to retain 51
for i want to return 45
for i went to church 85
for i went to school 70
for i will do battle 61
for i will go before 209
for i will on nowise 41
for i wish to conceal 43
for i wish to remain 123
for i wish to return 117
for y from the second 44
for y into the second 72
