of abigail and john adams 297
of oneness with other people 89
of oneness with these people 61
of oneself and other people 187
of opinions and ideas about 74
of opinions and ideas which 58
of opinions that took place 70
of organic and fair trade 59
of outback new south wales 69
of oysters and other shell 530
of oysters with such force 54
of paintings and other works 743
of palermo and other plays 53
of papists and other state 115
of papists with fine words 49
of parents and other adult 389
of parents and other close 106
of parents and other older 87
of parents and other people 144
of parents and other social 42
of parents and their adult 480
of parents and their child 214
of parents and their grown 98
of parents and their minor 56
of parents and their roles 45
of parents and young people 331
of parents for their child 219
of parents that their child 96
of parents who have given 65
of parents who have lived 77
of parents who have never 189
of parents who have taken 76
of parents who have tried 61
of parents who were anything 66
of parents who were either 110
of parents who were first 133
of parents who were still 60
of parents who were willing 73
of parents with their child 99
of parrots and other birds 620
of parsley and other herbs 41
of parties and good times 48
of parties and other social 109
of parties that took place 49
of passage are also women 288
of passage for young girls 82
of passage for young males 54
of passage for young people 151
of passage for young women 125
of pastors and their wives 50
of pasture for their herds 126
of pasture for their sheep 66
of patents and other forms 125
of patents that such delay 64
of patriots who have dared 42
of pattern has been found 47
of payment for their labor 40
of payment for those goods 43
of payment for three months 47
of payment has been fixed 55
of peacocks and other birds 69
of peasants and other rural 74
of peasants and other small 104
of peasants and poor people 63
of peasants and their wives 52
of peasants who were still 57
of peasants with their wives 40
of peculiar red giant stars 57
of penance and good works 109
of penguins and other birds 122
of pensions and other forms 79
of pensions and other social 256
of perhaps any other nation 173
of persons and their lives 51
of persons and their needs 64
of persons and their right 114
of persons and their social 213
of persons can take place 105
of persons for trial shall 60
of persons for whom either 165
of persons going from hence 40
of persons not worth above 47
of persons that have anything 48
of persons that were within 49
of persons use these terms 53
of persons who came under 59
of persons who came within 66
of persons who come under 118
of persons who come within 167
of persons who died after 104
of persons who died under 48
of persons who died while 109
of persons who died within 55
of persons who draw trees 47
of persons who fall below 133
of persons who fall under 95
of persons who fall within 168
of persons who feel bound 58
of persons who find fault 50
of persons who have acted 148
of persons who have aided 66
of persons who have anything 89
of persons who have asked 86
of persons who have borne 51
of persons who have ceased 363
of persons who have dwelt 41
of persons who have earned 62
of persons who have either 338
of persons who have faced 60
of persons who have filed 133
of persons who have found 164
of persons who have given 592
of persons who have grown 176
of persons who have known 267
of persons who have large 90
of persons who have lived 793
of persons who have money 61
of persons who have moved 282
of persons who have never 1469
of persons who have reason 160
of persons who have risen 103
of persons who have saved 46
of persons who have shown 137
of persons who have since 309
of persons who have small 57
of persons who have souls 51
of persons who have spent 155
of persons who have still 49
of persons who have strong 49
of persons who have taken 1172
of persons who have tried 192
of persons who have vivid 47
of persons who have voted 339
of persons who knew about 54
of persons who know about 98
of persons who live alone 229
of persons who live under 93
of persons who live within 83
of persons who once lived 65
of persons who owed money 45
of persons who seem uneasy 52
of persons who were about 83
of persons who were alive 188
of persons who were asked 43
of persons who were blind 49
of persons who were bound 59
of persons who were close 98
of persons who were either 829
of persons who were first 41
of persons who were found 136
of persons who were given 170
of persons who were known 253
of persons who were later 58
of persons who were liable 59
of persons who were looking 40
of persons who were nearly 63
of persons who were never 133
of persons who were often 41
of persons who were passing 59
of persons who were quite 90
of persons who were really 96
of persons who were seeking 117
of persons who were still 165
of persons who were taken 74
of persons who were thrown 48
of persons who were tried 51
of persons who were under 374
of persons who were waiting 86
of persons who were washing 52
of persons who were willing 248
of persons who were within 50
of persons who were working 64
of persons who will enter 53
of persons who will never 169
of persons who will serve 86
of persons with heavy clubs 47
of persons with high blood 905
of persons with other types 42
of physics are mere social 81
of pirates are very civil 55
of planets and their moons 192
of plasmid dna into cells 65
of plaster and huge pairs 57
of players and fans alike 147
of players who have never 53
of pleasure and good cheer 47
of pleasure and other plays 97
of pleasure and pain arise 78
of pleasure and pain arising 77
of pleasure and pain could 98
of pleasure and pain either 47
of pleasure and pain might 55
of pleasure and pain which 1813
of pleasure and pain whose 49
of pleasure and pain within 54
of pleasure and pain would 156
of pleasure can turn aside 59
of pleasure for many people 41
of pleasure that youth never 44
of plurals and mass terms 476
of plymouth had been taken 43
of poetical and other works 64
of poplars and other trees 162
of popular and folk music 201
of popular and rock music 60
of position may take place 43
of position that took place 45
of potatoes and other crops 186
of potatoes and other roots 83
of potatoes and root crops 79
of potatoes has been found 54
of pottery and other finds 382
of pottery and other goods 59
of pottery and other items 58
of pottery and other small 49
of pottery are also found 44
of pottery had been found 59
of pottery has been found 329
of pottery was also found 56
of poultry and game birds 193
of poultry and live stock 60
of poultry and other birds 123
of poultry and wild birds 106
of poverty all their lives 55
of poverty and drug abuse 57
of poverty and even hunger 57
of poverty and hard labor 102
of poverty and hard times 169
of poverty and hard usage 42
of poverty and land hunger 63
of poverty and many kinds 41
of poverty and other forms 200
of poverty and other social 582
of poverty and poor housing 170
of poverty and poor people 77
of poverty and poor rates 68
of poverty and want which 43
of poverty and wealth which 142
of poverty and wealth within 41
of prayers and good deeds 42
of prayers and good works 125
of precious and base metal 123
of precise and just thinking 40
of preparing for life after 44
of preparing for their march 90
of preparing for those tasks 60
of preparing our young people 60
of present and coming times 60
of present and past facts 61
of present and past forms 70
of present and past social 94
of present and past tense 534
of present and past times 256
of present new york state 68
of preterm and term human 99
of priests and holy nation 413
of priests and holy people 139
of primary and shop party 43
of princes and free towns 49
of princes and great lords 286
of privacy has been found 68
of private men must yield 66
of probity and good sense 115
of process can take place 60
of process has been given 156
of produce and live stock 63
of produce and other goods 85
of producing oil from shale 226
of profits and cash flows 162
of profits and other forms 44
of program and data files 544
of protein and other large 47
of protein are used daily 52
of protein can take place 41
of protein for many people 61
of protein for most people 40
of protein has been found 103
of protein has been shown 94
of protest and anger which 48
of proverb with many people 56
of providing for their basic 66
of providing for their daily 295
of providing for their needs 388
of providing for their wants 927
of providing for their wives 60
of providing for these needs 405
of providing for those needs 93
of providing for your mother 73
of providing low cost housing 59
of providing that there shall 42
of ptolemy and other greek 67
of puberty and early adult 40
of purpose and high ideals 77
of purpose and meaning which 50
of purpose and their moral 53
of purpose for their lives 120
of purpose that nothing could 95
of quality and good taste 140
of quality ten years hence 53
of quarter and half notes 85
of question has been asked 127
of question you have asked 43
of quinine and other drugs 105
of rabbits and mice which 61
of rabbits and other furry 56
of rabbits and other small 186
of radiation are well known 67
of radiation can take place 42
of radiation has been found 48
of radiation has been given 62
of radiation that will cause 94
of railway and other works 44
of railway had been built 321
of raisins and other dried 133
of rapport with other people 50
of raymond had ever known 46
of reactions are taking place 42
of reactions can take place 163
of reactions may take place 94
of reactions that take place 1360
of receiving all their wages 67
of receiving and paying money 111
of receiving any more nerve 43
of receiving them back again 51
of recipes for cheap cakes 170
of reckoning and worth which 56
of redress for past wrongs 51
of regaining his lost power 60
of regaining his lost throne 65
of regional and even local 75
of relieving each other every 56
of religion and arms spread 62
of religion and good order 523
of religion and good works 55
of religion and life which 70
of religion and other forms 58
of religion and other human 47
of religion and other social 84
of religion and other works 41
of religion and race could 48
of religion and their civil 72
of religion and those which 53
of religion and true piety 250
of religion are other signs 94
of religion are those which 114
of religion for many people 68
of religion had been drawn 83
of religion has been bound 108
of religion has been found 87
of religion has been given 232
of religion has been often 79
of religion has been taken 63
of religion has been thrown 63
of religion that took place 110
of religion was felt alike 48
of religion with great leanings 43
of remaining with your sword 58
of remains has been found 47
of remorse and pain drops 60
of remorse each bird would 65
of remorse for having taken 55
of remorse for sins which 92
of rendering him will still 46
of rendering them more alert 133
of rendering this peace strong 107
of reporting net cash flows 75
of requiring that korea enter 146
of research and theory about 203
of research and theory which 130
of research and theory within 137
of research are made known 56
of research has also shown 40
of research has been aimed 183
of research has been based 108
of research has been built 79
of research has been found 51
of research has been given 163
of research has been growing 46
of research has been spent 53
of research has been taken 75
of research has been under 56
of research that took place 42
of research that will allow 47
of research with young people 70
of reserve and other funds 57
of respect and good feeling 73
of respect and kind feeling 108
of respect and love which 89
of respect for other human 122
of respect for other people 1120
of respect for their chief 46
of respect for their father 533
of respect for their human 84
of respect for their leader 68
of respect for their mother 170
of respect for their power 99
of respect for their views 76
of respect for their wives 48
of respect for these people 106
of respect for those people 80
of respect for those whose 100
of respect for your father 734
of respect for your mother 302
of respect had been shown 51
of respect has been shown 67
of results has been found 175
of results has been given 52
of results has been shown 59
of results was also found 73
of revenue and other taxes 44
of revenue for many local 64
of revenue for many state 49
of revenue for most local 74
of revenue for most state 40
of revenue had been found 45
of rewards for good deeds 46
of ritalin and other drugs 43
of rituals that take place 40
of robbers and wild beasts 250
of robbery and base money 63
of rockets and atom bombs 42
of rodents and other pests 132
of rodents and other small 306
of rodrigo and dona clara 47
of romance has been thrown 107
of romance has been woven 63
of romance that were honey 53
of romance who love royal 106
of rosebud and pine ridge 56
of rotation can take place 50
of rotation has been found 64
of rousseau and john locke 147
of routine and mere forms 57
of russians and other ethnic 65
of russians and other slavs 170
of saddles and other leather 40
of saffron and other herbs 58
of saffron and rosy cloud 67
of sailors and their girls 97
of saloons and dens until 42
of samples had been taken 42
of samples has been taken 101
of sarawak and north borneo 2253
of savages and wild beasts 984
of savages who have never 45
of savages who live nearer 68
of savages who were seeking 40
of sawdust and wood chips 148
of scarlet and fine linen 52
of scarlet and gold which 44
of schemes for making money 79
of schooling and other forms 46
of schooling for young people 57
of schools and health posts 73
of schools and other local 78
of schools and other social 252
of schools and their staff 56
of schools for young people 43
of schools for young women 48
of schools had been built 48
of schools had been growing 45
of science and good sense 80
of science and health after 59
of science and health healed 48
of science and health which 151
of science and other forms 125
of science and other social 76
of science are giving place 47
of science are only valid 54
of science are those which 165
of science are well aware 54
of science are well known 76
of science has been based 64
of science has been built 68
of science has been found 41
of science has been given 67
of science has been shown 44
of science has been thrown 43
of science has come under 74
of science than those which 54
of science that ever lived 73
of science that took place 62
of science who have given 45
of science who have taken 60
of science who were willing 101
of screening him from legal 84
of seagulls and other birds 44
of secrecy had been taken 41
of secrecy has been drawn 43
of sedition has been blown 43
of sedition has been since 73
of seedlings and young trees 216
of selecting any more works 46
of sellers who sold basic 42
of semiarid and arid lands 116
of sermons and other works 198
of service are from others 40
of service due from every 96
of service for some reason 73
of service for three months 47
of service for young people 46
of service for your place 43
of service had been spent 53
of service has been filed 93
of service has been found 60
of service has been fully 68
of service has been given 78
of service they have given 47
of service was three months 45
of service you have given 66
of settled and mild weather 55
of several men were found 41
of several new york banks 82
of several new york state 41
of several new york times 46
of several that took place 62
of several who have lived 83
of shallow and deep traps 48
of shallow and deep water 504
of shallow and deep wells 53
of shanghai and north china 75
of shanghai and other ports 57
of shanghai and other treaty 67
of shelter for their sheep 135
of sigmund and anna freud 142
of signaling for cell relay 90
of silicon has been found 56
of similar and even worse 46
of simpler and more basic 42
of sisters that grew beneath 53
of skilled and cheap labor 49
of slavery and free labor 250
of slavery and free trade 61
of slavery and other forms 388
of slavery and other social 108
of slavery and ruin again 52
of slavery are fast growing 42
of slavery are well aware 45
of slavery are well known 46
of slavery for those whose 42
of slavery was well known 41
of smaller and less known 92
of smaller and more easily 51
of smaller and more local 49
of soberly set forth after 73
of society and from every 108
of society and other people 91
of society and other plays 171
of society and other social 51
of society and peace began 53
of society and their place 119
of society and their social 55
of society and there would 43
of society and those which 91
of society and were often 48
of society are more easily 43
of society are more equal 107
of society are those which 66
of society are those whose 42
of society are well known 48
of society can only arise 45
of society can take place 102
of society had been healed 44
of society has been anything 58
of society has been based 692
of society has been built 63
of society has been found 52
of society has been given 75
of society has been noted 45
of society has been often 44
of society has been taken 57
of society that took place 63
of society that will exist 40
of society was taking place 66
of solomon has very nearly 66
of solution has been added 61
of solution has been found 64
of solution has been given 71
of somatic and germ cells 145
of sonnets and other short 50
of southeast asia came under 42
of southeast asia during world 137
of southeast asia from falling 58
of southeast asia from passing 55
of southeast asia were still 77
of southern new south wales 1081
of southern new york state 165
of soybeans and other crops 52
of spanish kings from tubal 55
of species and cell types 73
of species and life forms 209
of species and other works 43
of species can take place 107
of species has been found 135
of species has been shown 56
of species that have lived 92
of species that have never 51
of spindle and giant cells 53
of spirits and their power 56
of spirits had been taken 58
of spirits may even exist 43
of spirits who have never 53
of squares for pure error 72
of stamens and three kinds 111
of statues and other works 167
of steamers and other craft 58
of storage and work space 47
of stories and poems about 167
of stories and poems which 106
of stories and songs about 51
of stories and tall tales 45
of stories are told about 328
of stories for young people 205
of stories that take place 69
of stories they tell about 57
of streets and other works 44
of streets had been paved 53
of strikes and other forms 400
of strikes and other labor 513
of strikes that took place 172
of studies that have found 497
of studies that have shown 622
of studies that have taken 60
of studies that have tried 186
of studies that shed light 71
of stuffed and living birds 81
of suavity and form which 55
of subject and form which 43
of subject and verb after 85
of subtler and more vital 202
of success are very small 145
of success had been shining 70
of success has been found 45
of success has been shown 40
of success than those which 100
of success was very small 52
of sucrose and corn syrup 71
of suffering and loss which 55
of suffering and pain which 46
of suffering they were saved 41
of suffolk had also taken 76
of suicide and other forms 69
of suitors for their hands 41
of summons for debt which 78
of supplying all their wants 129
of support for free trade 325
of support for many people 59
of support for other women 42
of support for such action 45
of support for their cause 323
of support for their child 89
of support for their party 68
of support for their views 55
of support for these women 45
of support for third world 187
of support for those whose 41
of support for young people 168
of support had been given 43
of support has been found 96
of support has been given 83
of support than their daily 43
of support than what flows 43
of support that will allow 58
of support they have given 40
of supposing that there could 93
of supreme and full power 253
of supreme and high court 73
of surface and body waves 57
of surface and bulk atoms 60
of surface and deep water 248
of surface area from which 44
of surface area over which 45
of surgery and other items 46
of surgery for early breast 122
of symbols and other signs 60
of symbols and their meanings 462
of sympathy and good cheer 94
of sympathy and good feeling 241
of sympathy and good sense 48
of sympathy and kind feeling 49
of sympathy and love where 51
of sympathy and love which 135
of sympathy and pity which 49
of sympathy for john brown 55
of sympathy for other people 139
of sympathy for such cases 44
of sympathy for their cause 211
of sympathy for these people 92
of sympathy for those people 63
of sympathy for those whose 70
of sympathy that pity might 50
of sympathy with john brown 56
of sympathy with other people 89
of sympathy with their cause 229
of sympathy with their views 83
of sympathy with these people 102
of sympathy with those whose 66
of systems and data bases 47
of tacitus and other roman 45
of tampering with what seems 46
of tankers and other ships 64
of tariffs and free trade 103
of tariffs and other forms 173
of tariffs and other taxes 79
of tariffs and other trade 5020
of tassels and deep fringes 56
of taverns and grog shops 42
of taxation and debt which 46
of taxation and other forms 77
of taxation and other kinds 43
of taxation any lien thereon 245
of teachers and other adult 43
of teachers and other civil 45
of teachers and other people 69
of teachers and other staff 2249
of teachers and text books 52
of teachers and their teaching 195
of teachers and their unions 101
of teachers and young people 65
of teachers has been known 53
of teachers who have found 58
of teachers who have given 67
of teachers who have never 93
of teachers who have taken 146
of teachers who have tried 86
of teachers who were teaching 83
of teachers who were willing 82
of teachers who were women 72
of teachers who were working 43
of teenage and young adult 323
of tenants who have voted 68
of tendons and their sheaths 70
of textile and other light 225
of thailand and south china 72
of thinkers who have tried 43
of thirteen has been burnt 76
of thistles and other weeds 109
of thoughts and acts which 130
of thoughts and ideas about 127
of thoughts and ideas which 355
of thrushes and other birds 70
of thrushes and other small 51
of tissues and cell lines 126
of tissues and cell types 304
of tissues can take place 45
of tobacco and other crops 204
of tobacco and other drugs 174
of tobacco and other goods 154
of tobacco are also grown 47
of tobacco has been found 61
of tobacco use among junior 48
of tobacco use among women 54
of tomatoes and other crops 41
of topsoil are lost every 43
of torture and other cruel 904
of torture and other forms 493
of torture and other human 377
of traders and their goods 72
of tragedy and epic poetry 111
of treasure hath been within 49
of treaties and other legal 57
of tribute had been burnt 66
of trifles that were beneath 106
of trouble and even danger 72
of trouble for many people 44
of trouble for other people 81
of trouble had been taken 181
of trouble has been taken 340
of trouble nip their springing 49
of trouble you have taken 116
of turkeys and other birds 82
of turnips and other green 63
of turnips and other roots 71
of typhoid and other water 146
of tyranny fly like chaff 171
of tyranny has been beaten 46
of tyranny that have sprung 42
of tyranny was very short 72
of unknowing and other works 290
of upstate new york where 115
of uranium and heavy water 213
of uranium has been found 55
of utrecht had been rather 68
of vainglory they have given 63
of valleys and rising woods 40
of vanilla ice cream melting 119
of variation has been found 157
of vassals for their lords 88
of venison and corn beaten 50
of vessels and bile ducts 59
of vessels and other small 94
of vessels and their crews 173
of vessels may take place 47
of vessels that were faint 80
of victims and their loved 46
of vinegar and cold water 88
of vinegar and warm water 67
of vinegar has been added 282
of violence and drug abuse 188
of violence and lust within 46
of violence and other crime 48
of violence and other forms 312
of violence and other kinds 50
of violence and other social 58
of violence and wrong which 105
of violence are taking place 52
of violence has been found 52
of violence has been short 91
of violence has been strong 67
of violence that have taken 71
of violence that take place 116
of violence that took place 394
of violence was ever found 42
of virginia and john adams 50
of virginia and other parts 79
of virginia and west point 71
of virginia has been fully 43
of virginia has been given 43
of virginia was four times 41
of virginia was made march 45
of virgins and young girls 70
of virtues and good works 130
of virtues for young people 151
of viruses and their hosts 90
of volition can take place 59
of walpole had been found 49
of warfare and other forms 41
of wassail and good cheer 113
of weakness are made strong 166
of weakness buy what could 45
of weakness was made strong 118
of welcome and good cheer 89
of welfare and fine funds 54
of welfare and food stamp 141
of welfare and other forms 53
of welfare and other social 216
of western and third world 382
of western man ever since 48
of western new south wales 1770
of western new york first 81
of western new york state 1604
of western new york where 97
of western new york which 53
of wharton and whig party 56
of wharves with tall ships 44
of whiskey had been found 49
of whitman and mark twain 43
of widowed and single women 50
of willows and other trees 195
of willows and some small 62
of wondering how much longer 154
of workers all over russia 54
of workers and other people 64
of workers and other social 77
of workers and other working 116
of workers and poor people 144
of workers and their earnings 53
of workers and their right 99
of workers and their trade 577
of workers and their unions 1576
of workers and their wages 130
of workers and their wives 200
of workers and their working 115
of workers and young people 129
of workers who have found 77
of workers who have given 56
of workers who have moved 70
of workers who have never 83
of workers who have spent 45
of workers who have taken 102
of workers who were either 141
of workers who were fired 51
of workers who were hired 52
of workers who were known 42
of workers who were loyal 67
of workers who were still 65
of workers who were willing 85
of workers who were working 41
of workmen and their wives 65
of workmen who work within 136
of workmen with their tools 48
of worship are those which 45
of worship had been built 237
of worship has been built 92
of worship has been found 47
of worship that took place 59
of writers and their books 60
of writers and their works 395
of writers who came after 65
of writers who have drawn 74
of writers who have found 71
of writers who have given 88
of writers who have lived 114
of writers who have never 83
of writers who have shown 83
of writers who have since 54
of writers who have taken 105
of writers who have tried 135
of writers who were either 115
of writers who were known 45
of written and oral exams 206
of written and oral forms 92
of written and oral parts 45
of written and oral tests 301
of written and oral texts 141
of written and oral torah 84
of yellows and other virus 69
of zebedee and their mother 53
on abortion and other social 119
on account and cash sales 60
on affairs with other women 66
on african and third world 85
on african and west indian 93
on alcohol and drug abuse 5136
on alcohol and other drugs 2021
on artists and their works 72
on average for only about 51
on average than their peers 57
on average than their white 64
on average than those found 41
on average two years older 71
on bacteria and other small 60
on bacteria and yeast cells 69
on because they have begun 66
on beginning all over again 48
on behavior and sets moral 41
on benches with their backs 59
on charges that were later 40
on charges that were never 46
on charity and good works 47
on charity for their daily 72
on chinese and north korean 67
on classes that have given 66
on colonial and lake trade 188
on contact with cold water 59
on deposit and loan rates 130
on deposit for safe keeping 154
on deposit for three months 148
on deposit with other banks 365
on divines who were sitting 61
on election day there would 59
on election day urging people 79
on enzymes and drug action 96
on everything she knew about 55
on everything that came within 55
on everything that took place 130
on everything they knew about 45
on everything you know about 154
on exactly how many people 95
on exactly how much money 44
on freedom than those which 58
on germany two days later 923
on grounds not less strong 58
on grounds that have never 44
on grounds that such action 125
on happily for many months 217
on himself and other people 66
on himself had been either 50
on holiday for three weeks 142
on husband and wife roles 150
on impulse may only cause 251
on insects and other small 1875
on insects and their larvae 1176
on insects and weed seeds 76
on justice and good sense 58
on locusts and wild honey 4308
on marriage and birth rates 217
on marriage and other social 65
on matters far more worthy 113
on matters that came within 48
on matters that come within 58
on matters that fall within 235
on matters that fell within 43
on matters that were either 52
on matters that were rather 42
on measures they have taken 151
on mergers and other forms 41
on objects that were really 58
on obtaining for those negro 127
on occasion has been known 46
on occasion was very handy 216
on occasion with those whose 42
on outside and heavy blows 74
on persons who have lived 41
on persons who have never 48
on persons who were under 125
on picador usa reading group 251
on pillaging and laying waste 59
on poverty and other social 69
on purpose for diana persia 71
on purpose for your sakes 60
on purpose that there might 102
on purpose with some false 81
on rabbits and other small 117
on railway and other works 54
on religion with lord byron 258
on request for good cause 173
on request for those whose 166
on respect for other people 72
on respect for their right 56
on returning with their booty 46
on rodents and other small 138
on science and health every 50
on slavery and other forms 58
on smoothly for some months 50
on strikes and other forms 46
on studies that have shown 94
on suffering for their sakes 44
on sundays and great feasts 103
on sundays and other feasts 46
on sundays and other times 50
on tariffs and other trade 195
on thursday and stay until 43
on tobacco and other goods 691
on torture and other cruel 300
on vacation for three months 40
on vacation for three weeks 287
on welfare and other social 109
on witches and other night 72
on workers and their unions 87
on writers and their works 98
or accrued for such taxes 86
or against any other nation 124
or against any other party 86
or against any other power 69
or against any other state 67
or alcohol and drug abuse 303
or alcohol and other drugs 58
or alcohol has been added 47
or because for some reason 264
or because they have fewer 104
or because they have found 197
or because they have given 134
or because they have grown 94
or because they have lived 99
or because they have moved 79
or because they have never 697
or because they have often 131
or because they have risen 53
or because they have strong 44
or because they have taken 148
or because they were asked 77
or because they were aware 43
or because they were badly 54
or because they were bored 111
or because they were close 50
or because they were drawn 40
or because they were drunk 66
or because they were found 107
or because they were given 182
or because they were hungry 69
or because they were known 97
or because they were looking 55
or because they were never 200
or because they were really 92
or because they were seeking 51
or because they were still 306
or because they were taken 49
or because they were tired 215
or because they were under 263
or because they were waiting 73
or because they were white 58
or because they were willing 177
or because they were women 217
or because they were working 66
or because too many people 49
or because you have never 63
or between any such labor 546
or blessings for good deeds 110
or blotted with those vices 44
or boarded off into rooms 47
or bristol had been taken 97
or brothers and their wives 47
or carries out some small 60
or chamber any fire shall 146
or charity for their daily 41
or clapped them three times 64
or commits any other breach 83
or commits any other crime 73
or compose any other creed 40
or concern for other people 86
or conquer any other nation 165
or contact with other people 73
or control that other party 130
or convert them into ashes 86
or covered with fine hairs 47
or defending any such action 121
or deliver any such goods 105
or demands than those which 65
or destroy any tree growing 167
or detaining any ship under 88
or deterring them from driving 41
or devices that will apply 96
or diluted with lime water 49
or diseased that their lives 40
or dislike for these black 44
or disturb this fair field 96
or enforce any laws which 231
or enforce any other right 499
or enjoyed not those which 59
or enlarge any other power 187
or exchange for other funds 72
or exchange for other goods 60
or exchanging for other funds 116
or exposed for sale shall 115
or exposed for sale under 68
or exposed for sale within 295
or follows her prey under 43
or friends who were willing 49
or furnace for making steel 90
or furnish any such bonds 133
or granted any other right 46
or guardian has been given 55
or herself and other people 104
or honesty has been wanting 98
or imposts than those which 145
or inferior men will liken 48
or ingenuity you came first 174
or injures any such grand 83
or jointly with their wives 107
or liberty and have found 95
or license tax upon gross 128
or lockout can take place 83
or lockout may take place 167
or manager may lend money 60
or married but living apart 47
or masters who were willing 41
or material and ideal never 50
or monster had ever known 53
or morocco with gilt edges 99
or mottled with dark brown 44
or muttering with their mouths 44
or offered for sale shall 198
or offered for sale under 985
or offered for sale until 78
or offered for sale within 548
or payable for such lands 395
or perched with gaping bills 40
or perform any duty which 44
or perform any other action 118
or perform any other tasks 44
or perhaps any other field 58
or perhaps any other nation 165
or perhaps any other period 59
or perhaps for some reason 76
or perhaps hath done since 86
or perhaps not even until 71
or perhaps not till after 40
or perhaps that other notion 48
or perhaps that some stray 88
or perhaps that their dreams 71
or perhaps that very night 54
or perhaps they have never 65
or perhaps they were never 81
or perhaps they were still 47
or perhaps they were waiting 50
or persons and their heirs 101
or persons who have given 57
or persons who have lived 58
or persons who have never 42
or persons who have right 50
or persons who have taken 108
or petition has been filed 48
or placebo for four weeks 64
or placebo for three months 52
or pleasant than what arose 50
or position nor work which 71
or praises for their power 46
or premium and bond issue 60
or preparing any such goods 51
or prevent him from getting 62
or prevent him from working 68
or prevent one from arising 77
or prevent them from arising 44
or prevent them from falling 107
or prevent them from forming 102
or prevent them from getting 134
or prevent them from growing 82
or prevent them from reaching 110
or prevent them from running 41
or prevent them from working 47
or prevent you from getting 105
or producing one book which 93
or protest has been filed 48
or pursued with more skill 49
or question has been taken 54
or recited his good deeds 47
or removed them from place 91
or rescind any such order 310
or respect for other people 105
or revoked for good cause 45
or rivalry with other males 147
or rupture may take place 105
or secured are left under 77
or seizure may take place 98
or service you will offer 56
or simpler than other people 54
or smaller than those shown 50
or smaller than those which 97
or spotted with dark brown 146
or sprayed with cold water 43
or stamped with some social 45
or stranding may have taken 65
or stretch out their hands 45
or suspend for such period 124
or tacitly that upon getting 57
or tampers with their growth 59
or thoughts you have about 56
or together with other people 79
or together with other women 47
or towards any other nation 75
or upwards had their livings 41
or variety with those which 53
or vinegar has been added 99
or wrongful death tort claim 395
