fan by 101 fan to
for of 64 for is
43 for in 118 for
in 66 for in 112
for is 49 for on
172 for or 89 for
if 69 for in 291
for is 165 for of
117 for on 62 for
or 173 for to 75
for as 240 for at
62 for by 242 for
if 47 for in 1949
for is 464 for of
187 for on 158 for
or 286 for to 173
for via 66 for in
65 for to 62 for
in 50 for in 63
for ii 157 for at
49 for by 44 for
in 60 for as 390
for at 85 for by
205 for in 1758 for
is 728 for of 444
for on 240 for or
196 for the 194 for
to 301 for to 60
for the 913 for of
171 for in 47 for
the 58 for in 81
for in 67 for at
290 for by 290 for
in 357 for on 199
for to 453 for as
282 for at 129 for
by 225 for in 1867
for is 390 for of
197 for on 225 for
or 537 for to 242
for by 96 for by
113 for by 55 for
at 84 for in 80
for on 69 for in
82 for by 59 for
in 216 for is 106
for of 101 for or
81 for to 53 for
to 255 for to 366
for by 63 for in
75 for by 58 for
in 77 for is 59
for in 71 for is
80 for to 450 for
to 103 for by 94
for the 44 for as
63 for at 122 for
by 59 for in 357
for is 276 for of
64 for on 136 for
or 121 for to 573
for via 45 for as
121 for in 86 for
is 165 for of 41
for by 90 for he
95 for the 89 for
on 59 for by 143
for in 128 for to
50 for to 67 for
at 40 for by 48
for in 137 for is
69 for or 239 for
to 53 for in 44
for of 85 for of
128 for of 67 for
in 265 for of 64
for or 58 for of
57 for on 402 for
at 45 for by 84
for in 606 for is
331 for or 110 for
in 113 for as 109
for at 58 for in
263 for is 214 for
or 323 for to 89
for in 118 for is
58 for in 67 for
by 61 for in 348
for is 212 for of
60 for or 76 for
to 652 for in 76
for in 53 for as
104 for at 99 for
in 544 for is 142
for or 76 for to
55 for or 46 for
in 45 for in 63
for in 71 for in
70 for is 71 for
in 292 for is 117
for of 475 for or
84 for to 83 for
in 99 for in 71
for is 64 for of
156 for of 68 for
to 48 for in 67
for in 58 for at
44 for in 42 for
is 65 for of 161
for on 45 for as
41 for in 55 for
to 54 for of 69
for is 49 for of
53 for or 66 for
to 473 for of 134
for to 53 for of
54 for of 81 for
at 160 for to 123
for to 157 for of
75 for of 151 for
in 78 for on 61
for in 56 for of
274 for or 53 for
to 82 for as 48
for by 74 for in
157 for is 240 for
of 19023 for or 118
for to 54 for by
46 for in 271 for
is 257 for of 4725
for or 77 for to
45 for of 198 for
at 52 for in 176
for is 101 for of
97 for in 309 for
to 164 for to 72
for of 849 for of
343 for of 59 for
of 64 for of 64
for to 132 for of
98 for in 51 for
to 79 for in 44
for of 40 for of
77 for of 265 for
in 75 for in 45
for in 73 for of
41 for in 46 for
in 152 for is 99
for of 58 for in
104 for to 203 for
of 152 for of 53
for of 62 for to
67 for to 44 for
of 115 for in 116
for of 53 for to
154 for to 107 for
of 40 for of 1070
for in 150 for is
56 for of 98 for
to 88 for in 151
for is 154 for of
970 for to 64 for
on 78 for in 61
for to 108 for in
236 for is 122 for
by 59 for in 42
for to 158 for to
40 for to 42 for
is 61 for in 61
for it 50 for the
56 for to 608 for
to 183 for the 130
for of 116 for to
94 for the 80 for
it 487 for the 187
for the 112 for as
76 for of 181 for
in 78 for to 81
for by 68 for by
68 for the 69 for
to 361 for it 60
for to 547 for the
303 for in 172 for
of 41 for to 87
for by 146 for in
51 for in 69 for
the 42 for in 101
for by 123 for in
43 for the 54 for
to 216 for the 96
for of 190 for it
53 for as 116 for
in 613 for the 74
for to 1813 for in
56 for the 86 for
to 86 for the 85
for of 2314 for the
93 for the 57 for
the 106 for to 314
for the 40 for to
331 for the 117 for
the 42 for of 202
for in 50 for the
52 for of 59 for
the 90 for in 109
for in 345 for to
67 for in 88 for
in 47 for in 65
for to 56 for in
45 for the 44 for
by 57 for the 216
for the 70 for the
46 for the 52 for
the 588 for to 53
for to 76 for in
64 for by 75 for
to 983 for be 49
for by 75 for in
58 for by 49 for
at 72 for be 1093
for by 142 for in
164 for the 92 for
to 451 for of 577
for in 142 for in
41 for to 540 for
as 42 for by 54
for in 104 for by
51 for in 152 for
the 98 for by 49
for by 41 for in
179 for the 40 for
by 59 for on 42
for the 190 for to
45 for an 59 for
the 171 for in 49
for in 49 for the
58 for by 51 for
in 97 for as 153
for by 60 for the
49 for of 101 for
in 349 for it 117
for the 171 for of
67 for the 445 for
the 154 for to 89
for the 91 for us
41 for in 254 for
by 81 for in 40
for is 46 for the
71 for at 42 for
to 107 for in 51
for to 217 for the
57 for to 48 for
be 548 for the 56
for to 79 for by
47 for the 42 for
by 76 for by 60
for in 113 for in
45 for the 55 for
is 954 for in 148
for as 457 for by
166 for in 49 for
is 157 for of 97
for or 101 for the
97 for to 54 for
in 79 for by 61
for in 69 for of
41 for in 99 for
of 270 for of 55
for as 46 for at
94 for by 168 for
in 923 for is 86
for of 2393 for on
96 for to 403 for
the 46 for is 354
for to 103 for as
103 for by 55 for
in 429 for is 130
for of 65 for on
56 for to 554 for
in 67 for in 511
for is 59 for to
126 for to 65 for
as 1050 for at 375
for be 44 for by
425 for if 59 for
in 1575 for is 1464
for of 282 for on
140 for or 253 for
the 83 for to 425
for in 61 for is
73 for or 80 for
in 45 for in 50
for in 57 for of
118 for of 46 for
of 251 for to 103
for of 164 for of
46 for of 131 for
of 80 for in 296
for is 364 for of
75 for the 44 for
of 204 for in 50
for of 66 for in
66 for to 280 for
of 50 for of 124
for the 85 for the
45 for by 44 for
in 181 for by 102
for is 56 for in
49 for is 62 for
or 95 for to 93
for of 1527 for to
85 for in 83 for
is 54 for to 333
for in 47 for is
56 for in 57 for
of 67 for of 96
for of 208 for to
60 for of 62 for
in 47 for in 74
for in 64 for is
73 for to 270 for
in 71 for in 42
for of 67 for to
48 for in 75 for
in 91 for is 80
for in 86 for of
41 for to 88 for
to 58 for in 87
for of 76 for of
59 for of 41 for
in 73 for of 54
for in 43 for in
55 for of 186 for
in 59 for to 47
for in 64 for on
41 for on 74 for
in 67 for in 54
for is 63 for or
123 for in 534 for
in 54 for to 449
for in 41 for of
74 for to 65 for
to 70 for at 244
for by 56 for in
44 for as 155 for
as 92 for or 50
for by 41 for in
67 for to 67 for
as 40 for by 68
for as 122 for in
47 for at 79 for
by 75 for in 70
for at 43 for in
162 for is 116 for
or 68 for by 144
for in 136 for as
390 for at 109 for
by 116 for in 876
for is 553 for of
212 for on 71 for
or 128 for to 162
for at 51 for by
137 for as 153 for
at 76 for by 212
for in 233 for is
269 for of 71 for
or 65 for the 57
for to 43 for to
137 for the 149 for
in 94 for as 77
for at 94 for in
2099 for is 203 for
of 186 for or 47
for to 71 for by
70 for in 51 for
in 53 for to 40
for by 90 for to
155 for as 51 for
at 48 for in 361
for is 71 for of
40 for on 131 for
or 66 for to 383
for he 202 for it
54 for the 51 for
it 88 for in 63
for to 158 for on
51 for of 103 for
to 110 for the 90
for of 43 for at
47 for in 143 for
of 58 for to 100
for in 44 for in
95 for of 126 for
of 50 for to 52
for of 79 for in
84 for of 88 for
to 68 for of 83
for to 45 for in
138 for in 102 for
of 51 for in 60
for of 106 for in
44 for in 91 for
of 258 for in 58
for of 50 for to
57 for in 53 for
to 81 for in 90
for in 90 for is
69 for in 59 for
in 58 for of 236
for to 1205 for on
62 for on 59 for
or 90 for in 66
for in 82 for or
63 for in 73 for
of 57 for to 125
for in 93 for in
78 for of 121 for
to 40 for in 108
for of 150 for of
51 for at 625 for
in 50 for on 448
for or 42 for of
142 for at 204 for
by 44 for in 387
for is 56 for of
230 for to 259 for
up 60 for as 235
for at 41 for by
76 for in 2375 for
is 48 for of 146
for on 51 for or
41 for to 722 for
of 120 for of 54
for to 98 for of
40 for of 547 for
of 188 for to 44
for of 47 for of
159 for as 45 for
by 59 for in 437
for is 60 for of
3461 for on 95 for
to 51 for of 80
for to 67 for or
197 for of 74 for
in 357 for to 66
for of 80 for in
64 for to 57 for
to 47 for of 53
for of 162 for at
101 for by 60 for
in 130 for of 302
for to 55 for in
104 for is 89 for
of 306 for as 122
for in 132 for is
134 for of 229 for
or 95 for to 105
for to 61 for it
52 for to 577 for
to 59 for to 377
for to 43 for in
77 for in 85 for
of 47 for in 48
for is 55 for by
47 for in 222 for
is 160 for to 43
for to 59 for of
315 for in 81 for
of 389 for to 276
for of 242 for of
41 for to 135 for
to 113 for in 133
for of 76 for to
42 for at 149 for
by 56 for is 115
for to 149 for of
55 for of 236 for
to 50 for in 379
for is 71 for by
45 for in 94 for
is 61 for of 1038
for on 61 for of
45 for as 43 for
in 917 for is 49
for of 1379 for to
70 for of 84 for
of 227 for of 182
for of 151 for to
82 for of 157 for
of 46 for in 79
for in 457 for of
557 for of 166 for
in 50 for of 60
for by 71 for in
109 for of 161 for
in 129 for is 929
for of 889 for to
183 for of 41 for
of 51 for to 51
for of 81 for in
232 for of 847 for
or 148 for in 43
for to 449 for at
117 for in 56 for
in 291 for is 88
for to 708 for in
47 for in 153 for
of 43 for by 155
for in 1392 for is
234 for of 142 for
to 1103 for in 66
for to 52 for in
121 for of 62 for
to 51 for of 48
for to 65 for to
151 for to 49 for
to 88 for to 1285
for to 165 for to
246 for to 90 for
to 47 for to 40
for an 76 for the
184 for to 65 for
to 103 for to 48
for to 643 for the
99 for to 543 for
to 833 for in 43
for to 177 for to
351 for to 197 for
as 87 for at 98
for in 319 for of
209 for on 71 for
or 585 for to 72
for of 62 for to
143 for in 63 for
is 58 for on 138
for to 622 for to
76 for in 77 for
on 84 for to 319
for to 126 for in
122 for on 49 for
in 118 for on 148
for to 137 for to
101 for to 43 for
to 59 for in 205
for to 93 for to
169 for to 45 for
to 109 for of 53
for to 463 for to
40 for to 53 for
or 43 for an 105
for the 193 for to
59 for to 182 for
to 79 for the 89
for to 97 for in
150 for to 50 for
in 62 for to 57
for of 133 for in
57 for to 45 for
in 45 for in 84
for to 140 for to
46 for to 291 for
of 193 for to 40
for in 50 for is
90 for of 94 for
in 77 for is 83
for of 151 for of
2020 for to 46 for
of 55 for of 110
for of 97 for in
45 for is 51 for
in 255 for by 45
for in 406 for is
78 for on 171 for
or 57 for to 55
for to 53 for as
57 for in 169 for
is 229 for of 71
for of 151 for in
53 for is 82 for
of 64 for in 125
for as 40 for by
54 for in 5482 for
is 100 for of 57
for on 61 for to
95 for in 99 for
as 282 for by 52
for in 94 for is
98 for or 341 for
in 48 for of 71
for of 86 for in
171 for to 85 for
to 81 for of 70
for in 103 for to
105 for to 108 for
in 40 for to 105
for to 48 for of
53 for in 53 for
of 334 for he 108
for it 67 for in
259 for of 62 for
in 170 for of 70
for on 48 for in
663 for to 198 for
to 84 for of 56
for in 58 for of
86 for of 65 for
of 48 for in 179
for on 70 for of
60 for in 41 for
of 90 for on 49
for of 51 for in
165 for of 250 for
of 96 for to 47
for of 77 for he
49 for in 358 for
in 114 for to 73
for in 129 for of
77 for of 45 for
by 130 for in 51
for of 101 for or
84 for to 66 for
in 42 for in 52
for on 44 for in
233 for of 41 for
of 47 for in 761
for of 94 for in
108 for of 53 for
in 104 for to 158
for of 64 for in
296 for of 68 for
in 178 for of 42
for to 76 for of
71 for in 54 for
as 53 for at 254
for by 68 for in
498 for is 147 for
on 172 for or 230
for to 1204 for in
42 for of 264 for
to 80 for in 146
for as 200 for by
526 for in 75 for
the 74 for the 85
for an 218 for as
49 for in 49 for
it 355 for me 69
for my 204 for of
53 for so 61 for
the 3040 for to 230
for me 62 for an
74 for in 56 for
it 104 for so 267
for the 506 for an
43 for it 60 for
so 72 for the 307
for me 88 for so
52 for the 384 for
to 104 for by 45
for so 89 for the
278 for the 66 for
an 87 for me 441
for the 104 for to
345 for us 85 for
the 61 for my 100
for so 46 for the
204 for it 51 for
of 172 for the 334
for the 173 for the
42 for to 42 for
to 84 for the 57
for to 188 for in
99 for the 213 for
the 60 for to 130
for at 253 for in
1469 for me 238 for
the 643 for to 78
for us 75 for to
63 for in 44 for
me 42 for the 773
for he 185 for it
61 for the 359 for
to 96 for an 58
for it 49 for my
82 for the 596 for
to 154 for me 76
for the 93 for the
168 for in 784 for
it 219 for the 285
for to 70 for it
57 for on 820 for
so 168 for the 96
for it 50 for me
70 for my 139 for
the 2013 for to 54
for the 69 for it
93 for the 157 for
the 51 for the 365
for the 85 for as
152 for at 80 for
by 73 for if 67
for in 252 for is
480 for of 88 for
or 84 for to 41
for the 69 for to
79 for the 69 for
the 170 for an 44
for in 53 for it
50 for so 48 for
the 251 for it 157
for my 120 for the
437 for so 159 for
the 48 for to 46
for the 58 for in
185 for the 41 for
to 100 for the 194
for up 63 for at
427 for in 43 for
so 57 for the 90
for the 86 for to
99 for the 69 for
me 331 for the 390
for us 183 for in
193 for the 269 for
to 48 for the 237
for to 395 for it
57 for my 49 for
the 999 for us 66
for so 59 for the
41 for the 155 for
the 131 for so 41
for on 42 for the
75 for me 292 for
the 249 for it 52
for me 105 for the
1002 for to 42 for
us 80 for the 263
for to 103 for the
106 for us 48 for
it 60 for me 118
for the 268 for us
64 for the 103 for
the 67 for me 63
for my 697 for the
405 for of 704 for
the 155 for the 83
for the 225 for me
47 for so 46 for
the 172 for the 94
for in 87 for on
220 for it 61 for
the 593 for an 76
for as 112 for it
80 for me 117 for
so 44 for the 355
for the 127 for the
53 for the 124 for
the 82 for in 55
for the 51 for my
56 for the 157 for
in 47 for the 51
for the 493 for the
165 for the 522 for
in 50 for the 104
for the 97 for it
44 for the 318 for
the 85 for to 46
for the 293 for so
43 for the 43 for
the 67 for my 87
for the 459 for to
124 for the 41 for
the 149 for the 197
for an 51 for in
56 for it 112 for
me 116 for my 178
for the 1145 for up
48 for the 108 for
the 100 for it 47
for the 492 for the
91 for the 174 for
the 69 for the 92
for to 42 for the
98 for the 68 for
to 51 for to 41
for the 143 for of
40 for it 83 for
the 42 for the 102
for the 45 for to
125 for the 61 for
on 44 for the 327
for the 46 for in
166 for it 54 for
me 72 for the 182
for my 48 for the
388 for it 47 for
the 417 for in 937
for it 45 for the
52 for me 202 for
on 80 for the 121
for us 41 for an
41 for it 87 for
me 84 for the 801
for in 336 for the
76 for at 40 for
on 1656 for in 50
for it 42 for me
214 for the 455 for
us 57 for an 58
for me 82 for the
794 for the 74 for
to 240 for in 58
for on 225 for so
72 for an 128 for
it 157 for the 1277
for in 102 for so
47 for the 42 for
me 58 for the 126
for the 56 for it
44 for the 313 for
so 169 for to 2580
for the 242 for in
57 for it 267 for
me 78 for my 44
for the 490 for to
50 for the 235 for
the 41 for me 51
for an 54 for the
359 for the 61 for
to 294 for the 46
for an 91 for the
275 for an 104 for
it 97 for the 685
for so 273 for the
155 for in 95 for
in 73 for me 108
for so 169 for the
871 for the 44 for
the 95 for my 45
for the 400 for to
49 for the 52 for
of 139 for the 48
for in 51 for the
189 for the 74 for
the 144 for an 49
for it 44 for me
42 for the 586 for
at 80 for to 2760
for in 58 for an
75 for it 72 for
me 301 for no 43
for the 453 for us
46 for an 379 for
at 42 for in 145
for it 258 for no
52 for so 189 for
the 1101 for it 44
for the 207 for by
63 for my 55 for
the 92 for the 57
for to 416 for an
42 for the 463 for
the 74 for an 120
for it 139 for the
321 for to 424 for
an 214 for it 97
for me 1152 for so
81 for the 1508 for
us 415 for it 162
for the 799 for the
125 for the 108 for
the 50 for my 69
for the 138 for to
111 for an 132 for
in 159 for it 326
for me 167 for my
89 for no 303 for
so 144 for the 1598
for us 95 for it
54 for the 106 for
to 3501 for the 66
for us 88 for in
46 for the 75 for
to 626 for the 63
for the 68 for an
40 for it 100 for
the 1087 for me 153
for my 113 for the
150 for at 64 for
in 527 for on 141
for so 345 for the
41 for me 311 for
the 56 for us 82
for it 82 for me
102 for the 273 for
the 76 for the 56
for the 167 for it
48 for the 202 for
to 50 for the 93
for the 41 for the
45 for it 80 for
so 42 for the 1142
for on 73 for the
103 for to 262 for
to 664 for the 226
for it 67 for me
128 for my 120 for
the 699 for to 487
for in 47 for the
194 for the 65 for
so 52 for the 176
for to 731 for the
83 for to 43 for
the 121 for the 48
for the 43 for as
50 for it 42 for
me 199 for the 285
for the 52 for the
119 for the 84 for
the 162 for the 106
for an 40 for in
427 for it 240 for
me 67 for my 62
for so 731 for the
744 for the 114 for
me 205 for the 603
for us 114 for of
57 for he 61 for
it 48 for an 54
for in 65 for it
103 for so 100 for
the 1225 for to 65
for in 64 for the
153 for to 364 for
on 127 for the 64
for so 50 for the
54 for to 83 for
me 112 for the 172
for the 77 for the
55 for the 43 for
on 92 for so 119
for to 1957 for the
84 for so 43 for
me 51 for the 103
for so 40 for the
188 for the 231 for
as 48 for in 106
for is 136 for or
64 for to 91 for
to 61 for as 126
for in 95 for is
122 for of 249 for
or 153 for to 152
for is 53 for of
49 for to 64 for
as 366 for at 115
for by 63 for in
2234 for is 490 for
of 659 for on 181
for or 96 for the
71 for to 296 for
to 69 for in 65
for is 51 for of
306 for in 65 for
to 46 for to 389
for in 74 for is
42 for to 82 for
as 146 for at 41
for in 376 for is
68 for of 286 for
or 116 for to 74
for in 149 for to
53 for in 100 for
as 222 for at 236
for by 69 for in
1783 for is 423 for
of 163 for or 156
for the 116 for to
332 for as 51 for
by 86 for in 174
for is 141 for or
290 for to 46 for
to 47 for at 305
for in 140 for of
70 for by 42 for
as 654 for at 745
for by 399 for in
6115 for is 1264 for
of 259 for on 165
for or 284 for to
1023 for in 83 for
to 288 for in 98
for is 52 for of
130 for of 50 for
on 45 for to 178
for in 66 for in
69 for is 51 for
to 114 for in 40
for or 68 for in
213 for as 326 for
at 172 for by 123
for in 1064 for is
610 for it 86 for
of 57 for on 60
for or 348 for the
82 for to 115 for
to 51 for in 92
for is 53 for the
87 for to 68 for
on 114 for in 112
for as 256 for at
60 for by 44 for
in 640 for is 166
for of 44 for on
47 for or 86 for
to 197 for in 111
for in 50 for in
101 for is 76 for
on 52 for to 82
for the 136 for to
73 for to 110 for
to 43 for to 75
for by 118 for at
60 for by 116 for
in 699 for is 52
for by 87 for in
184 for to 119 for
in 110 for he 287
for it 76 for the
118 for we 66 for
he 65 for it 60
for we 44 for in
88 for is 48 for
the 65 for the 41
for in 311 for is
49 for of 119 for
in 90 for of 55
for or 46 for do
64 for of 61 for
in 45 for is 48
for of 62 for the
108 for of 43 for
to 58 for in 50
for in 44 for of
47 for of 128 for
in 181 for of 279
for or 50 for to
219 for in 756 for
of 98 for in 181
for in 88 for is
56 for or 91 for
to 85 for by 42
for of 89 for of
74 for of 59 for
of 140 for in 72
for of 67 for is
52 for the 53 for
in 46 for is 60
for to 57 for of
120 for or 42 for
to 54 for as 112
for at 140 for by
77 for in 380 for
is 223 for on 125
for or 49 for the
58 for to 89 for
in 65 for in 50
for to 61 for to
72 for at 48 for
in 87 for is 67
for of 397 for or
74 for the 43 for
by 47 for of 170
for in 66 for or
142 for of 47 for
is 51 for of 391
for to 108 for the
40 for on 111 for
in 431 for of 143
for in 41 for by
46 for in 54 for
is 73 for of 76
for the 72 for the
173 for to 48 for
is 143 for or 61
for to 52 for by
46 for the 61 for
the 43 for in 67
for is 69 for of
52 for in 51 for
in 74 for is 58
for is 59 for of
64 for in 89 for
is 76 for to 64
for to 134 for in
115 for to 198 for
in 51 for to 48
for of 86 for in
101 for to 43 for
in 87 for the 65
for the 40 for to
52 for of 83 for
to 85 for an 47
for to 105 for in
124 for is 54 for
in 52 for to 69
for in 47 for of
473 for or 59 for
of 43 for is 48
for of 71 for in
84 for of 215 for
to 44 for to 52
for to 51 for in
53 for is 65 for
on 42 for to 55
for by 302 for in
116 for or 54 for
to 290 for to 41
for by 69 for to
47 for to 50 for
in 45 for to 202
for of 844 for in
86 for in 48 for
in 54 for to 210
for by 312 for at
45 for by 168 for
in 270 for is 79
for on 61 for or
126 for to 68 for
to 83 for by 67
for in 132 for in
84 for of 528 for
in 192 for of 107
for or 42 for to
90 for is 43 for
of 562 for or 654
for to 62 for to
42 for is 80 for
of 130 for on 46
for or 137 for to
44 for to 58 for
in 59 for the 42
for the 95 for to
215 for to 96 for
the 176 for the 309
for on 165 for in
83 for to 128 for
of 52 for to 56
for in 60 for in
548 for in 50 for
to 188 for in 181
for of 63 for on
56 for to 137 for
at 69 for in 56
for at 43 for to
205 for to 72 for
to 253 for on 640
for to 137 for on
45 for in 60 for
in 46 for to 69
for at 67 for in
377 for of 73 for
to 61 for on 157
for by 88 for in
70 for to 197 for
the 115 for of 59
for by 108 for in
47 for in 61 for
to 60 for by 91
for in 573 for on
109 for to 85 for
by 49 for he 67
for the 52 for in
53 for the 83 for
in 48 for in 56
for as 339 for by
129 for in 341 for
of 51 for the 51
for to 82 for as
48 for at 70 for
by 744 for in 1394
for of 87 for to
70 for of 68 for
in 50 for in 130
for to 615 for to
59 for in 61 for
in 43 for of 501
for at 47 for in
84 for is 135 for
of 79 for to 296
for of 67 for as
344 for at 191 for
by 68 for if 142
for in 530 for is
193 for of 314 for
on 79 for or 376
for the 50 for to
174 for by 79 for
in 119 for is 44
for or 80 for as
131 for at 56 for
by 58 for in 298
for is 53 for of
68 for on 65 for
or 108 for to 44
for to 99 for at
59 for in 73 for
is 47 for to 77
for to 87 for is
71 for to 51 for
in 99 for in 184
for of 120 for the
87 for to 161 for
of 41 for to 42
for at 50 for to
118 for to 67 for
to 221 for in 240
for as 98 for by
295 for in 448 for
or 176 for is 65
for as 489 for by
1148 for in 142 for
to 63 for in 46
for or 60 for on
42 for as 103 for
in 89 for or 62
for by 79 for of
46 for in 92 for
to 129 for the 47
for is 47 for to
49 for in 73 for
to 150 for of 102
for or 56 for to
488 for in 158 for
on 111 for to 875
for of 66 for to
40 for in 59 for
of 483 for to 72
for on 40 for to
86 for in 61 for
is 55 for to 69
for of 45 for in
40 for on 166 for
or 57 for is 79
for or 42 for the
59 for in 89 for
to 55 for of 67
for to 171 for king
64 for as 1264 for
at 416 for by 277
for in 3885 for is
987 for of 626 for
on 9345 for or 555
for so 41 for the
43 for to 617 for
of 55 for in 68
for of 50 for or
64 for of 87 for
of 40 for of 58
for to 122 for the
41 for of 47 for
or 67 for of 62
for the 744 for in
48 for of 199 for
in 186 for the 119
for in 78 for as
136 for in 580 for
is 171 for on 88
for or 200 for of
46 for to 96 for
in 76 for of 84
for on 85 for at
113 for by 89 for
in 745 for is 74
for of 220 for on
425 for or 92 for
to 1904 for in 99
for of 255 for on
48 for or 52 for
an 187 for my 407
for the 3272 for to
55 for in 41 for
of 76 for to 142
for of 86 for or
41 for in 1643 for
is 47 for on 452
for he 48 for to
63 for in 63 for
is 65 for in 112
for of 130 for to
108 for in 52 for
of 78 for of 105
for of 60 for to
120 for in 92 for
to 72 for of 61
for of 106 for of
205 for at 66 for
in 196 for on 93
for or 104 for to
57 for of 138 for
of 228 for king 73
for so 59 for in
91 for as 163 for
in 395 for is 318
for of 175 for to
227 for of 51 for
in 44 for in 44
for to 60 for of
48 for to 63 for
at 54 for in 125
for is 62 for to
125 for in 45 for
as 56 for at 177
for in 331 for is
58 for of 100 for
the 65 for to 222
for at 69 for in
74 for is 40 for
to 65 for of 71
for of 112 for to
117 for of 52 for
in 426 for in 83
for the 92 for to
144 for in 54 for
is 68 for to 130
for in 56 for of
54 for to 52 for
in 47 for of 62
for the 76 for to
108 for in 190 for
is 51 for of 1013
for on 88 for the
57 for at 111 for
to 233 for of 1427
for the 88 for to
105 for in 116 for
it 42 for the 122
for to 132 for of
51 for in 71 for
of 87 for an 84
for as 432 for at
292 for by 99 for
if 47 for in 1600
for is 805 for it
703 for of 737 for
on 83 for or 42
for the 2133 for to
1897 for in 268 for
to 157 for in 219
for is 67 for it
46 for of 621 for
the 181 for to 393
for to 49 for in
52 for on 83 for
in 100 for of 155
for to 53 for to
57 for to 50 for
in 124 for of 44
for in 64 for of
43 for the 47 for
in 140 for of 44
for on 56 for the
45 for to 130 for
to 45 for on 55
for to 40 for of
48 for to 110 for
at 85 for by 61
for in 515 for is
98 for it 41 for
of 2125 for the 155
for to 62 for to
46 for in 76 for
of 135 for as 56
for in 95 for of
40 for the 176 for
to 151 for in 123
for of 1326 for of
105 for in 414 for
of 183 for to 137
for an 59 for as
260 for at 94 for
by 78 for in 1270
for is 527 for it
481 for of 565 for
on 81 for or 44
for the 1111 for to
3211 for in 297 for
is 54 for of 242
for the 54 for to
46 for if 56 for
of 49855 for or 289
for to 40 for to
53 for in 388 for
in 42 for the 108
for to 232 for in
55 for in 79 for
of 106 for the 58
for in 52 for the
55 for in 365 for
in 121 for is 194
for of 61 for the
61 for to 431 for
at 59 for in 159
for is 252 for it
57 for of 133 for
the 249 for to 44
for of 94 for in
53 for to 84 for
in 57 for the 54
for to 106 for is
49 for in 93 for
of 95 for of 40
for to 64 for to
40 for in 81 for
of 53 for in 73
for of 43 for the
81 for to 84 for
in 69 for of 58
for to 68 for of
209 for of 63 for
in 336 for of 311
for as 193 for at
147 for by 87 for
if 46 for in 628
for is 554 for it
305 for of 51 for
on 84 for the 1239
for to 1304 for of
148 for of 134 for
to 47 for to 65
for in 54 for is
78 for the 48 for
in 364 for of 184
for in 1411 for is
202 for it 251 for
of 2343 for on 87
for the 371 for to
84 for we 109 for
as 105 for at 63
for by 67 for in
462 for is 536 for
it 135 for of 346
for or 75 for the
416 for to 150 for
in 104 for is 102
for of 110 for the
58 for to 158 for
in 299 for is 117
for of 82 for the
161 for to 84 for
in 48 for is 48
for of 64 for the
47 for an 288 for
as 2918 for at 878
for be 842 for by
1134 for he 75 for
if 208 for in 4648
for is 1841 for it
8715 for no 155 for
of 2328 for on 645
for or 65 for so
153 for the 8441 for
to 2636 for we 784
for in 104 for is
48 for of 245 for
on 48 for to 75
for to 69 for be
117 for in 292 for
is 94 for of 258
for the 443 for to
281 for of 1769 for
in 230 for is 127
for of 43 for the
44 for to 150 for
in 56 for to 70
for in 76 for the
52 for to 90 for
of 45 for an 143
for as 470 for at
255 for by 92 for
if 56 for in 2349
for is 969 for it
382 for of 1294 for
on 68 for the 1743
for to 2572 for in
177 for is 46 for
of 131 for the 133
for to 77 for of
178 for in 85 for
of 62930 for or 118
for the 57 for to
103 for the 68 for
to 46 for in 135
for of 72 for in
405 for of 396 for
on 94 for of 78
for to 70 for in
130 for to 50 for
of 152 for is 204
for it 93 for the
214 for to 654 for
in 47 for in 60
for of 190 for in
41 for of 41 for
as 100 for at 48
for by 52 for in
627 for is 74 for
of 117 for on 60
for or 64 for the
45 for to 85 for
in 69 for of 139
for to 59 for of
386 for in 43 for
of 42 for in 89
for as 224 for at
149 for by 171 for
in 1264 for is 782
for of 459 for or
87 for to 364 for
in 75 for of 220
for of 72 for in
143 for is 97 for
by 60 for by 52
for by 61 for to
51 for to 45 for
the 60 for to 184
for as 49 for is
45 for to 65 for
in 65 for is 43
for of 744 for to
82 for in 314 for
in 218 for to 54
for to 52 for of
58 for of 42 for
or 52 for to 51
for of 70 for of
75 for of 52 for
in 53 for in 55
for in 104 for or
101 for in 68 for
or 97 for or 68
for of 74 for to
53 for of 1933 for
of 51 for he 85
for in 164 for is
83 for of 49 for
in 522 for of 123
for of 159 for of
64 for of 126 for
by 110 for in 310
for as 51 for in
127 for is 64 for
in 92 for by 45
for to 62 for in
86 for he 45 for
in 48 for in 54
for to 61 for in
80 for as 346 for
at 102 for by 177
for in 530 for is
374 for it 53 for
of 91 for on 196
for or 375 for the
127 for to 381 for
in 40 for to 116
for in 60 for to
60 for to 46 for
by 56 for is 68
for in 52 for of
117 for in 55 for
or 44 for of 80
for in 241 for of
49 for or 72 for
by 47 for in 222
for of 42 for on
85 for to 50 for
or 259 for to 53
for to 90 for of
567 for on 43 for
on 169 for of 143
for to 51 for at
54 for by 139 for
in 205 for is 58
for on 98 for or
106 for to 9418 for
in 149 for to 196
for as 46 for at
60 for by 84 for
in 561 for is 47
for of 85 for on
64 for or 153 for
to 136 for to 50
for in 66 for to
60 for in 50 for
in 145 for or 57
for to 71 for in
102 for to 76 for
of 54 for to 41
for as 134 for by
50 for in 243 for
is 204 for of 76
for or 70 for to
709 for to 53 for
of 49 for to 167
for on 233 for or
