dado . 52 daft
defy . 141 defy
. 48 defy .
122 defy . 219
defy . 599 defy
. 199 defy .
319 defy . 71
defy ! 5387 defy
. 186 defy .
42 defy . 110
defy . 127 defy
. 139 defy .
136 defy . 43
defy . 41 defy
. 108 defy .
115 defy . 850
defy . 154 defy
. 203 defy .
159 defy . 189
defy . 112 defy
. 353 defy .
4686 defy . 617
defy . 92 deil
. 46 deil .
43 dein ? 384
deir ! 44 deir
. 40 deja .
167 dele . 100
deli . 1091 dels
. 273 demd .
77 deme . 46
demo . 64 demo
. 142 demo .
854 demo . 116
demo . 352 demo
. 116 demo .
173 demo . 181
dens . 117 dent
. 48 dent .
43 dent . 286
dent . 139 deny
. 45 deny .
40 deny . 126
deny . 80 deny
. 40 deny !
6077 deny . 85
deny . 449 deny
. 1100 deny !
9010 deny . 425
deny . 72 deny
. 452 deny .
73 deny . 527
deny . 47 deny
. 235 deny .
124 deny . 44
deny . 134 deny
. 96 deny .
70 deny . 234
deny . 142 deny
. 124 deny .
49 deny . 40
deny . 64 deny
. 109 deny .
145 deoxy . 89
depth . 118 depth
. 101 depth .
181 depth . 50
depth . 57 depth
. 158 depth .
53 depth . 142
depth . 193 depth
. 225 depth !
28538 depth . 248
depth . 228 depth
. 50 depth .
2124 depth . 2520
depth . 123 depth
. 95 depth .
196 depth . 72
depth . 162 depth
. 2180 depth .
165 depth . 74
depth . 136 depth
. 100 depth .
1256 depth . 40
depth . 233 depth
. 255 depth .
212 depth . 820
depth . 383 depth
. 692 depth .
530 depth . 176
depth . 190 depth
. 284 depth .
710 depth . 55
depth . 367 depth
. 165 depth .
253 depth . 190
depth . 310 depth
. 115 depth .
77 depth . 78
depth . 55 depth
. 102 depth .
128 depth . 592
depth . 229 depth
. 128 depth .
4208 depth . 4342
depth . 46 depth
. 95 depth .
71 depth . 77
depth . 286 depth
. 238 depth .
48 depth . 398
depth . 109 depth
. 1220 depth .
503 depth . 5113
depth . 264 depth
. 284 depth .
186 depth . 294
depth . 350 depth
. 120 depth .
88 depth . 346
depth . 1439 depth
. 1068 depth .
40 depth . 128
depth . 424 depth
. 188 depth .
3614 depth . 96
depth . 188 depth
. 47 depth .
80 depth . 890
depth . 169 depth
. 834 depth .
239 dese . 133
desk . 175 desk
. 109 desk .
44 desk . 7008
desk . 100 desk
. 189 desk .
462 desk . 217
desk ! 12379 desk
. 301 desk .
81 desk . 204
desk . 115 desk
. 107 desk .
69 desk . 196
desk . 359 desk
. 96 desk .
108 desk . 99
desk . 154 desk
. 689 desk .
130 desk . 2989
desk . 218 desk
. 324 desk .
114 desk . 52
desk . 91 desk
. 1545 desk .
114 desk . 6043
desk . 570 desk
. 97 desk .
188 desk . 247
desk . 205 desk
. 836 desk .
1766 desk . 191
desk . 234 desk
. 125 desk .
314 dess . 70
dess . 54 deum
. 98 deux .
437 deux . 431
deux . 111 deux
. 44 deux .
384 deux . 197
deux . 189 deux
. 42 deux .
132 deux . 328
deux . 962 deux
. 77 deux .
117 deux . 362
deux . 58 deux
. 1607 deux .
2779 deux . 226
deux . 268 deux
. 144 deux .
155 deux . 193
deux . 56 deux
. 76 deux .
74 deux . 400
deux . 161 deux
. 119 deux .
44 deux . 112
deux . 4546 deux
. 669 deux .
144 deux . 913
deux . 249 deux
. 133 deux .
698 deux . 182
deux . 235 deux
. 120 deux .
186 deux . 74
deux . 491 deve
. 1371 dews .
280 dewy . 50
dewy . 186 dewy
. 57 dewy .
63 dewy . 64
dewy . 213 dewy
. 41 dhow .
168 dhow . 69
dialing . 44 dialing
. 57 dialing .
333 dialing . 288
dialing . 453 dialing
. 402 dialing .
60 dialing . 129
dialing . 240 dialing
. 54 dialing .
286 diary . 437
diary . 74 diary
. 40 diary .
12795 diary . 98
diary . 117 diary
. 174 diary .
205 diary . 132
diary . 161 diary
. 62 diary .
99 diary . 113
diary . 1819 diary
. 287 diary .
128 diary . 1634
diary . 220 diary
. 125 diary .
95 diary . 138
diary . 149 diazo
. 103 diazo .
270 diazo . 61
diazo . 902 diazo
. 54 diazo .
230 dice . 77
dice . 61 dice
. 245 dice .
133 dice . 77
dice . 222 dice
. 72 dich !
43 dici . 42
dici . 167 dicing
. 61 dicing .
181 dick . 95
dick . 129 dick
. 41 died .
53 died . 51
died . 93 died
. 59 died .
2128 died . 442
died . 52 died
. 178 died .
526 died . 66
died . 592 died
. 63 died .
394 died . 536
died . 58 died
. 646 died .
1188 died . 40
died . 81 died
. 439 died .
56 died . 176
died . 51 died
. 57 died .
59 died . 50
died . 197 died
. 336 died .
76 died . 79
died . 4774 died
. 1635 died .
548 died . 152
died . 76 died
. 60 died .
372 died . 63
died . 58 died
. 45 died .
275 died . 1384
died . 144 died
! 4794 died !
1150 died . 111
died . 172 died
. 134 died .
607 died . 244
died . 48 died
. 138 died .
55 died . 173
died . 75 diel
. 51 diel .
66 diem . 82
diem . 422 diem
. 48 diem .
141 diem . 118
diem . 71 diem
. 533 diem .
46 dies . 77
dies . 103 dies
. 348 dies .
105 dies ! 40
dies . 97 dies
. 204 dies .
459 dies . 67
dies . 294 dies
. 349 dies .
2053 dies . 147
dies . 467 dies
. 45 dies .
77 dies . 57
dies . 161 dies
. 185 dies .
202 dies . 60
dies . 75 diet
. 53 diet .
44 diet . 224
diet . 60 diet
. 153 diet .
104 diet . 214
diet . 56 diet
. 130 diet .
64 diet ? 94
diet . 931 diet
. 83 diet .
43 diet . 44
diet . 126 diet
. 81 diet .
43 diet . 54
diet . 51 diet
. 70 diet .
82 diet . 103
diet . 54 diet
. 173 diet .
63 diet . 61
diet . 123 diet
. 1106 diet ?
55 diet . 1210
diet . 80 diet
. 59 diet .
106 diet . 243
diet . 79 diet
. 54 diet .
464 diet . 65
diet . 573 diet
. 124 diet .
2269 diet . 57
diet . 67 diet
. 877 diet .
108 diet . 74
diet . 369 diet
. 700 diet .
108 diet . 335
diet . 53 diet
. 53 diet .
64 diet . 45
diet . 104 diet
. 207 diet .
69 diet . 43
diet . 57 diet
. 70 diet .
66 diet . 304
diet . 85 diet
. 142 diet .
259 diet . 47
diet . 45 diet
. 46 diez .
334 diez . 89
diff . 268 diff
. 113 diff .
42 digs . 54
digs . 195 digs
. 115 digs .
103 diis . 162
diis . 83 dike
. 1031 dike .
60 dike . 129
dike . 116 dike
. 243 dike .
122 dike . 215
dill . 104 dill
! 5764 dill .
89 dime . 140
dime . 87 dime
. 1000 dine .
72 dine . 57
dine . 57 dine
. 659 dine .
78 dine ! 14664
dine . 1250 dinger
. 273 dinghy .
50 dinghy . 151
dining . 155 dining
. 40 dining .
49 dining . 161
dining . 146 dining
. 1095 dining .
1310 dining . 668
dining . 387 dining
. 466 dining .
133 dining . 310
dining . 44 dining
. 58 dining .
42 dining . 54
dining . 101 dining
. 244 dining .
1017 dining . 62
dining . 491 dining
. 115 dining .
685 dining . 1892
dining . 248 dining
. 52 dining .
248 dining . 48
dining . 870 dining
. 44 dining .
95 dining . 1976
dining ! 4758 dining
. 538 diode .
437 diode . 46
diode . 42 diode
. 3206 diode .
366 diode . 123
diode . 7294 diode
. 158 diode .
263 diode . 246
diode . 999 diode
. 151 diode .
89 diode . 167
diode . 1143 diode
. 385 diode .
216 diode . 391
diode . 363 diode
. 46 diode .
229 diode . 199
diode . 355 diode
. 64 diode .
50 diode . 1678
dips . 129 dips
. 123 dips .
162 dips . 236
dips . 372 dire
. 65 dire .
158 dire . 87
dire . 182 dire
. 52 dire !
65 dire ! 222
dire ! 335 dire
. 86 dire .
80 dire . 1154
dire . 94 dire
. 463 dire .
48 dire . 135
dire . 705 dire
. 53 dire .
107 dire . 41
dire . 174 dire
. 120 dire .
42 dire . 87
dire . 351 dire
. 80 dire .
180 dire . 162
dire . 118 dire
. 262 dire .
112 dire ! 8576
dire . 136 dire
. 559 dire .
120 dire . 53
dire ! 6639 dire
. 60 dire .
42 dire ! 15192
dire . 156 dire
. 139 dire .
216 dire . 1573
dire . 126 dire
. 452 diri .
218 dirt . 88
dirt . 56 dirt
. 247 dirt .
116 dirt . 133
dirt . 47 dirt
. 1221 dirt .
56 dirt . 51
dirt . 176 dirt
. 94 dirt .
59 dirt . 351
dirt . 76 dirt
. 167 dirt .
73 dirt . 72
dirt . 146 dirt
. 299 dirt .
407 dirt . 43
dirt . 241 dirt
. 74 dirt .
81 dirt . 75
dirt . 1477 dirt
. 645 dirt .
251 dirt . 46
disc . 114 disc
. 213 disc .
106 disc . 139
disc . 61 disc
. 110 disc .
131 disc . 53
disc . 312 disc
. 108 disc .
194 disc . 1368
disc . 187 disc
. 133 disc .
950 disc . 43
disc . 414 disc
. 557 disc .
1208 disc . 977
disc . 755 disc
. 233 disc .
244 disc . 157
disc . 155 disc
. 379 disc .
152 disc . 635
disc . 231 disc
. 139 disc .
6739 disc . 132
disc . 95 disc
. 802 disc .
1153 disc . 184
disc . 3338 disc
. 312 disc .
189 disc . 138
disc . 3855 disc
. 182 disc .
845 disc . 306
disc . 931 disc
. 81 disc .
46 disc . 58
disc . 135 disc
. 2541 disc .
966 disc . 240
disc . 107 disc
. 128 disc .
803 disc . 119
disc . 397 disc
. 346 disc .
1146 disc . 128
disc . 162 disc
. 50 disc .
52 disc . 117
disc . 1741 disc
. 3458 disc .
4196 disc . 1280
disc . 161 disc
. 50 disc .
268 disc . 59
disc . 91 disc
. 46 disc .
51 disc . 237
disc . 40 dish
. 2421 dish .
172 dish . 74
dish . 64 dish
. 53 dish .
166 dish . 51
dish . 221 dish
. 187 dish .
47 dish . 132
dish . 83 dish
. 2043 dish .
1019 dish ! 272
dish . 242 dish
. 51 dish .
552 dish . 51
dish . 50 dish
. 79 dish .
83 dish . 42
dish . 128 dish
. 160 dish .
677 dish . 111
dish . 52 dish
. 545 dish .
87 dish . 482
disk . 55 disk
. 233 disk .
952 disk . 76
disk . 504 disk
. 42 disk .
53 disk . 332
disk . 158 disk
. 574 disk .
309 disk . 175
disk . 181 disk
. 208 disk .
67 disk . 1045
disk . 68 disk
. 73 disk .
61 disk . 3340
disk . 1394 disk
. 1046 disk .
423 disk . 363
disk . 95 disk
. 5655 disk .
118 disk . 212
disk . 977 disk
. 1478 disk .
41 disk . 1425
disk . 61 disk
. 125 disk .
44 disk . 715
disk . 405 disk
. 634 disk .
1418 disk . 140
disk . 91 disk
. 425 disk .
1472 disk . 646
disk . 327 disk
. 200 disk .
2081 disk . 2399
disk . 143 disk
. 42 disk .
237 disk . 65
disk . 213 disk
. 306 disk .
63 disk . 229
disk . 940 disk
. 1126 disk .
664 disk . 109
disk . 1384 disk
. 173 disk .
44 disk . 59
disk . 279 disk
. 103 disk .
97 disk . 1248
disk . 946 disk
. 401 disk .
121 disk . 121
disk . 331 disk
. 119 disk .
57 disk . 1161
disk . 1028 disk
. 175 disk .
150 disk . 153
disk . 1708 disk
. 230 disk .
103 disk . 178
disk . 52 disk
. 181 disk .
24363 disk . 548
disk . 11521 disk
. 1167 disk .
6474 disk . 61
disk . 193 disk
. 51 disk .
64 disk . 396
disk . 147 disk
. 45 disk .
1590 dits . 48
diva . 192 dive
. 139 dive .
111 dive ! 11079
dive . 112 dive
. 209 dive .
196 dive . 175
dive . 290 dive
. 169 dive .
104 dive . 192
dive . 348 dive
. 231 dive .
202 dive . 307
dive . 499 dive
. 148 dive .
195 dive . 171
dive . 122 dive
. 99 dive .
528 dive . 140
dive . 90 divi
. 336 diving .
645 diving . 510
diving . 270 diving
. 598 diving .
289 diving . 77
diving . 158 diving
. 77 diving .
412 diving . 405
diving . 173 diving
. 157 diving .
443 diving . 550
diving . 215 diving
. 45 diving .
146 diving . 192
diving . 188 diving
. 356 diving .
43 diving . 67
diving . 164 diving
. 1055 diving .
198 diving . 153
diving . 1249 diving
. 1237 diving .
70 diving . 91
diving . 332 diving
. 517 diving .
477 diving . 408
diving . 44 diving
. 119 diving .
53 diving . 54
diving . 231 diving
. 182 diving .
108 diving . 40
diving . 316 diving
! 620 diving .
100 diving . 54
diving . 454 diving
. 377 diving .
63 diving . 169
diving . 62 dnaa
. 105 dnab .
77 dntp . 111
doch . 94 dock
. 99 dock .
42 dock . 226
dock . 423 dock
. 110 dock .
57 dock . 56
dock . 107 dock
. 67 dock .
160 dock . 57
dock . 71 dock
. 99 dock .
67 dock . 59
dock . 406 dock
. 56 dock .
51 dock . 318
dock . 154 dock
. 79 dock .
295 dock . 60
dock . 86 dock
. 81 dock .
4802 doest . 338
doge . 188 dogs
! 1371 dogs .
446 dogs . 261
dogs . 167 dogs
. 40 dogs .
48 dogs . 74
dogs . 116 dogs
. 45 dogs .
729 dogs . 80
dogs . 102 dogs
. 189 dogs .
167 dogs . 398
dogs . 62 dogs
! 1652 dogs .
65 dogs . 116
dogs . 193 dogs
. 62 dogs .
65 dogs . 83
dogs . 51 dogs
. 240 dogs .
169 dogs . 839
dogs . 167 dogs
. 56 dogs .
584 doin . 42
doings . 41 doit
. 119 doit .
94 doit ! 157
doit . 113 doit
. 87 doit .
52 doli . 748
doll . 81 doll
. 161 doll .
71 doll . 89
doll . 1073 doll
. 48 doll .
58 doll . 135
doll . 716 doll
. 513 doll .
104 doll . 596
doll . 45 doll
. 185 doll .
55 doll . 120
doll . 534 doll
. 103 doll .
56 doll . 262
doll . 110 doll
. 99 doll .
61 dome . 42
dome . 144 dome
. 120 dome .
72 dome . 60
dome . 977 dome
. 64 dome .
47 dome . 262
dome . 46 dome
. 120 dome .
51 domi . 55
domo . 240 done
. 52 done .
47 done . 142
done ? 50 done
. 944 done .
252 done . 59
done . 49 done
. 304 done .
560 done . 252
done . 320 done
. 73 done .
67 done . 42
done . 74 done
. 114 done .
43 done ! 12797
done . 681 done
. 150 done .
41 done . 98
done . 393 done
. 76 done !
3918 done ! 1407
done . 42 done
. 45 done .
90 done . 46
done . 51 done
. 109 done .
136 done . 52
done . 867 done
. 66 done !
1593 done ! 5493
done ! 23585 done
. 73 done .
364 done . 986
done . 210 done
. 798 done !
2583 done . 444
done . 78 done
. 1760 done .
1563 done . 156
done . 5775 done
. 90 done !
425 done . 71
done . 153 done
. 147 done .
106 done . 364
done . 124 done
. 179 done .
95 done . 91
done . 6632 done
. 86 done .
769 done . 157
done . 249 done
. 1052 done .
50 done . 88
done . 211 done
. 57 done .
667 done ! 61303
done . 4748 done
. 2347 done .
149 done . 92
done . 307 done
. 265 done .
192 done . 1322
done . 3004 done
. 72 done .
132 done . 253
done . 539 done
. 86 done .
42 done . 639
done . 80 done
. 589 done .
77 done . 93
done . 78 done
. 1345 done .
531 done . 63
done . 371 done
. 586 done .
42 done . 45
done . 96 done
. 47 done !
10134 done ! 13790
done . 99 done
. 47 done .
122 done . 42
done . 123 done
. 56 done .
724 done . 44
done ! 12006 done
. 169 dono .
156 dont . 187
dont . 111 doom
. 51 doom .
42 doom . 185
doom . 45 doom
. 167 doom .
68 doom . 179
doom . 192 doom
. 65 doom .
59 door . 183
door . 114 door
. 1233 door .
85 door . 279
door . 110 door
. 859 door .
108 door . 280
door . 55 door
. 104 door .
113 door . 109
door . 167 door
. 577 door .
409 door . 101
door . 63 door
. 72 door .
941 door . 92
door . 702 door
. 281 door .
348 door . 244
door . 64 door
? 146 door .
232 door . 642
door . 213 door
. 91 door .
47 door . 179
door . 56 door
. 370 door .
79 door . 443
door . 1285 door
. 234 door .
361 door . 69
door . 45 door
. 68 door .
59 door . 149
door . 117 door
. 73 door .
53 door . 86
door . 826 door
. 141 door .
47 door . 49
door ! 715 door
. 52 door .
263 door . 62
door . 273 door
. 119 door .
82 door . 119
door . 597 door
. 390 door !
9791 door . 1358
door . 293 door
. 42 door !
3837 door . 10205
door . 151 door
. 200 door .
327 door . 127
door . 101 door
. 87 door !
5567 door . 253
door . 1312 door
. 105 door .
278 door . 766
door . 2276 door
. 307 door .
54 door . 46
door . 110 door
. 118 door .
332 door . 151
door . 303 door
. 372 door .
58 door . 100
door . 3354 door
. 3229 door .
451 door . 210
door . 91 door
. 186 door .
122 door . 65
door . 53 door
. 438 door .
93 door . 132
door . 363 door
. 94 door .
267 door . 494
door . 362 door
. 350 door .
230 door . 164
door . 143 door
! 7599 door .
10854 door . 61
door . 1030 door
. 139 door .
59 door . 111
door . 137 door
. 61 door .
275 door . 1033
door . 104 door
. 57 door .
70 door . 62
door . 47 door
. 43 door .
47 door . 68
door . 47 door
. 435 door .
50 door . 169
door . 126 door
. 225 door .
114 door . 4208
door . 577 door
. 536 door .
280 door . 40
door . 71 door
. 98 door .
167 door . 139
door ! 21853 door
. 61 door .
40 door . 103
door . 56 door
. 154 door .
188 door . 146
door . 707 door
. 60 door .
826 door . 608
door . 57 door
. 78 door .
393 door . 50
door . 81 door
. 111 door .
126 door . 54
door . 385 door
. 307 door .
138 door . 88
door . 283 door
. 42 door .
728 door . 108
door . 408 door
. 8088 door !
3574 door . 113
door . 50 door
. 82 door .
163 door . 151
door . 82 door
. 164 door .
152 door . 43
door . 130 door
. 74 door .
101 door . 47
door . 1004 door
. 327 door .
571 dopa . 237
dopa . 119 dope
. 2087 dope .
131 dope . 43
dope . 55 dope
. 1125 dope .
191 dope . 663
dope . 84 dope
. 183 dope .
337 dope . 189
dope . 523 doping
. 1390 doping .
2426 doping . 462
doping . 193 doping
. 281 doping .
207 doping . 110
doping . 1666 doping
. 3104 doping .
67 doping . 161
doping . 42 doping
. 63 dorm .
56 dorm . 101
dorm . 47 dorm
. 76 dorm .
44 dorm . 49
dorm . 256 dorm
. 269 dorm .
152 dorm . 68
dorm . 291 dose
. 119 dose .
570 dose . 1547
dose . 175 dose
. 415 dose .
119 dose . 52
dose . 58 dose
. 131 dose .
709 dose . 299
dose . 79 dose
. 138 dose .
150 dose . 123
dose . 67 dose
. 1319 dose .
59 dose . 182
dose . 57 dose
. 736 dose .
53 dose . 209
dose . 52 dose
. 2117 dose .
85 dose . 63
dose . 159 dose
. 106 dose .
181 dose . 83
dose . 135 dose
. 70 dose .
80 dose . 187
dose . 65 dose
. 975 dose .
65 dose . 56
dose . 382 dose
. 1898 dose .
200 dose . 7030
dose . 63 dose
. 82 dose .
66 dose . 80
dose . 63 dose
. 71 dose .
996 dose . 61
dose . 98 dose
. 57 dose .
188 dose . 51
dose . 74 dose
. 86 dose .
56 dosing . 447
dosing . 133 dosing
. 103 dosing .
3715 dosing . 182
dosing . 48 dosing
. 113 dosing .
316 dosing . 120
dost . 161 dost
. 119 dost .
379 dost . 370
dost . 72 dost
. 44 dost .
40 dost . 228
dost . 187 dost
. 51 dost .
119 dote . 43
doting . 41 doting
. 1648 doting .
71 doting . 4144
doting . 120 dots
. 141 dots .
267 dots . 99
dots . 270 dots
. 43 dots .
423 dour . 40
dour . 92 dour
. 63 dour .
253 dour . 53
dour . 45 dour
. 351 dour .
112 dove . 79
dove . 360 dove
. 59 dove .
153 down . 318
down . 56 down
. 91 down .
50 down . 247
down . 71 down
. 142 down .
715 down . 103
down . 133 down
. 232 down .
952 down . 403
down . 549 down
. 807 down .
436 down ! 3414
down . 631 down
. 122 down .
41 down . 117
down . 124 down
. 41 down .
108 down ? 207
down . 225 down
. 72 down .
193 down . 49
down . 45 down
. 117 down .
531 down . 342
down ! 710 down
. 132 down .
1076 down . 101
down . 233 down
. 105 down .
362 down . 129
down . 125 down
. 121 down .
253 down . 136
down . 131 down
. 60 down .
147 down . 216
down . 122 down
. 389 down .
2453 down . 337
down . 319 down
. 85 down .
155 down . 346
down . 50 down
! 3826 down .
43 down . 55
down . 726 down
. 56 down .
42 down . 154
down . 193 down
. 234 down .
245 down . 135
down . 144 down
. 45 down .
148 down . 4172
down . 173 down
. 144 down .
45 down . 436
down . 252 down
. 96 down .
336 down . 132
down . 111 down
. 352 down .
321 down . 1309
down . 1294 down
. 131 down .
749 down . 150
down . 264 down
. 176 down .
331 down . 43
down . 4185 down
. 303 down .
588 down . 4739
down . 3637 down
. 65 down .
106 down . 350
down . 48 down
. 143 down .
231 down . 293
down . 970 down
. 496 down .
50 down . 387
down . 273 down
. 215 down .
401 down . 43
down . 288 down
. 116 down .
192 down . 1049
down . 583 down
. 157 down .
614 down . 54
down . 220 down
. 338 down .
41 down . 41
down . 499 down
. 108 down .
157 down . 218
down . 719 down
. 1530 down .
1434 down . 152
down . 237 down
. 249 down .
394 down . 403
down . 232 down
. 58 down !
8030 down . 1488
down . 413 down
. 235 down .
365 down . 256
down . 272 down
. 58 down .
57 down . 43
down . 112 down
. 181 down .
71 down . 974
down . 1171 down
. 60 down .
615 down . 45
down . 1372 down
! 9875 down .
55 down . 1140
down . 529 down
. 58 down .
65 down . 303
down . 145 down
. 123 down .
426 down . 42
down . 298 down
. 638 down .
674 down . 212
down . 120 down
. 408 down .
246 down . 190
down . 104 down
. 1088 down .
73 down . 1452
down . 225 down
. 468 down .
55 down . 1573
down . 340 down
. 5951 down !
16092 down . 106
down . 792 down
. 135 down .
200 down . 261
down . 551 down
. 106 down .
1150 down . 123
down . 99 down
. 162 down .
55 down . 374
down . 91 down
. 87 down .
158 down . 910
down . 131 down
. 102 down .
108 down . 554
down . 53 down
. 269 down .
59 down . 45
down . 55 down
. 589 down .
1065 down . 287
down . 117 down
. 91 down .
48 down . 319
down . 126 down
. 149 down .
5904 down . 413
down . 120 down
. 51 down .
127 down . 126
down . 579 down
. 245 down .
400 down . 122
down . 1124 down
. 45 down .
78 down . 40
down . 1125 down
. 243 down .
42 down . 81
down . 173 down
. 206 down .
5565 down . 184
down . 860 down
. 130 down .
160 down . 42
down . 226 down
. 333 down .
167 down . 55
down . 301 down
. 289 down .
175 down . 43
down . 44 down
. 371 down .
55 down . 292
down . 349 down
. 747 down .
47 down . 51
down . 130 down
. 1355 down .
280 down . 189
down . 48 down
. 49 down .
48 down . 195
down . 293 down
. 251 down .
164 down ! 13514
down . 233 down
. 1481 down .
113 down . 87
down . 886 down
. 105 down .
141 down . 64
down . 140 down
. 130 down .
233 down . 154
down . 1085 down
! 108934 down .
280 down . 520
down . 175 down
. 132 down .
251 down . 3010
down . 70 down
. 170 down .
40 down . 163
down . 99 down
. 48 down .
117 down . 30257
down . 139 down
. 861 down .
43 down . 42
down . 766 down
. 303 down .
13555 down . 132
down . 229 down
. 1173 down .
608 down . 154
down . 1404 down
. 340 down .
182 down . 773
down . 361 down
. 137 down .
45 down . 113
down . 630 down
! 33080 down !
10664 down . 135
down . 230 down
. 11565 down .
369 down . 320
down . 225 down
. 197 down .
338 down . 87
down . 366 down
. 460 down .
226 down . 40
down . 83 down
. 154 down .
46 down . 56
down . 131 down
. 116 down .
440 down . 220
down . 257 down
. 90 down .
144 down . 158
down . 52 down
. 63 down .
709 down . 510
down . 97 down
. 94 down .
65 down . 121
down . 118 down
. 54 down .
151 down . 56
down . 48 down
. 434 down .
119 down . 74
down . 56 down
. 189 down .
241 down . 114
down . 58 down
. 104 down .
182 down . 1269
down . 177 down
. 520 down .
218 down . 8026
down . 44 down
. 78 down .
130 down . 4870
down . 103 down
. 184 down .
90 down . 436
down . 271 down
. 50 down !
1620 down . 47
down . 47 down
. 45 down .
536 down . 136
down ! 4029 down
. 422 down .
45 down . 351
down . 583 down
. 57 down .
547 down . 208
down . 672 down
! 3988 down .
46 down . 585
down . 140 down
. 72 down .
66 down . 80
down . 111 down
. 3530 down .
992 down . 97
down . 348 down
. 1316 down .
52 down . 240
down . 62 down
. 491 down .
1005 down . 180
down . 4800 down
. 3238 down .
524 down . 55
down . 435 down
. 144 down .
48 down . 110
down . 244 down
. 212 down .
185 down . 171
down . 1454 down
. 953 down .
328 down . 308
down . 112 down
. 189 down .
125 down . 143
down . 50 down
. 46 down .
130 down . 206
down . 174 down
. 111 down .
43 down . 461
down . 354 down
. 554 down .
4867 down . 57
down . 235 down
. 355 down !
77693 down . 523
down ! 12462 down
. 804 down .
111 down . 1617
down . 171 down
. 896 down .
192 down . 2338
down . 445 down
. 60 down .
196 down . 268
down . 119 down
. 508 down .
130 down . 135
down . 640 down
. 70 down .
112 down . 100
down . 102 down
. 94 down .
51 down . 4130
down . 809 down
. 90 down .
520 down . 401
down . 170 down
. 748 down .
50 down . 128
down . 48 down
. 61 down .
255 down . 802
down . 107 down
. 222 down .
673 down . 211
down . 259 down
. 48 down .
89 down . 414
down . 2276 down
. 250 down .
150 down . 740
down . 110 dozing
. 112 dozing .
108 dozing . 47
dozing . 69 drab
. 55 drab .
152 drab . 60
drab . 372 drab
. 49 drab .
40 drab . 172
drab . 130 drab
. 46 drab .
152 drab . 59
drab . 98 drab
. 81 drab .
53 drab . 40
drab . 62 drab
. 71 drab .
99 drab . 485
drab . 265 drab
. 111 drab .
345 drab . 50
drag . 142 drag
. 147 drag .
121 drag . 110
drag . 44 drag
. 47 drag .
249 drag . 1102
drag . 106 drag
. 46 drag .
139 drag . 156
drag . 144 drag
. 140 drag .
156 drag . 49
drag . 107 drag
. 352 drag .
508 drag . 51
drag . 131 drag
. 208 drag .
72 drag . 56
drag . 671 drag
. 216 drag .
239 drag . 233
drag . 249 drag
. 349 drag .
57 drag . 48
drag . 132 dram
. 82 dram .
52 draw . 405
draw . 271 draw
. 287 draw .
68 draw . 157
draw . 190 draw
. 486 draw .
51 draw . 45
draw . 110 draw
. 290 draw .
764 draw . 52
draw . 205 draw
. 123 draw .
206 draw . 167
draw . 132 draw
. 496 draw .
337 draw . 139
draw . 157 draw
. 69 draw .
1144 draw . 94
draw . 180 draw
. 53 draw .
419 draw . 231
draw . 219 draw
. 243 draw .
216 draw . 142
draw . 454 draw
. 489 draw .
94 draw . 496
draw . 96 draw
. 189 draw .
67 draw . 325
draw . 82 draw
. 342 draw .
940 draw . 130
draw . 380 draw
. 62 draw .
76 draw . 74
draw . 374 draw
. 58 draw .
490 draw . 59
draw . 1192 draw
. 308 draw .
62 draw . 140
draw . 52 draw
. 59 draw .
73 draw . 442
draw . 52 draw
. 171 draw .
119 draw . 168
draw . 135 draw
. 835 draw .
68 draw . 203
draw . 48 draw
. 44 draw .
231 draw . 10287
draw . 42 draw
. 145 draw .
69 draw . 60
draw . 218 draw
. 62 draw .
50 draw . 67
dray . 217 dread
. 469 dread .
41 dread . 109
dread . 125 dread
. 1651 dread .
51 dread . 64
dread . 1792 dread
. 93 dread .
157 dread . 53
dread . 51 dread
. 103 dread .
42 dread . 130
dread . 225 dread
. 46 dread .
205 dread . 367
dread . 356 dread
. 133 dread .
49 dread . 328
dread . 45 dread
. 250 dread .
42 dread . 186
dread ! 64 dread
. 262 dread .
259 dread . 62
dread . 108 dread
. 41 dread !
41 dread . 485
dread . 53 dread
. 364 dread .
243 dread . 54
dread . 70 dread
. 148 dread .
179 dread . 155
dream . 229 dream
. 116 dream .
152 dream . 207
dream . 132 dream
. 373 dream .
1867 dream . 77
dream . 47 dream
. 107 dream .
119 dream . 130
dream . 180 dream
. 408 dream .
1154 dream . 189
dream . 130 dream
. 231 dream .
95 dream . 14226
dream . 309 dream
. 702 dream .
295 dream . 602
dream . 149 dream
. 152 dream .
52 dream . 129
dream . 45 dream
. 79 dream .
637 dream . 76
dream . 73 dream
. 173 dream .
329 dream . 86
dream . 237 dream
. 110 dream .
500 dream . 2662
dream . 853 dream
. 1164 dream .
44 dream . 1254
dream . 234 dream
. 461 dream .
87 dream . 61
dream . 241 dream
. 444 dream .
48 dream . 257
dream . 233 dream
. 132 dream .
3854 dream . 46
dream . 2736 dream
. 644 dream .
197 dream . 536
dream . 1652 dream
. 105 dream .
259 dream . 159
dream . 2891 dream
. 163 dream .
4678 dream . 431
dream . 58 dream
. 1040 dream .
179 dream . 171
dream . 102 dream
. 57 dream .
202 dream . 271
dream . 236 dream
. 574 dream .
1144 dream . 72
dream . 108 dream
. 391 dream .
3473 dream . 177
dream . 99 dream
. 947 dream .
496 dream . 124
dream . 666 dream
! 3389 dream .
61 dream . 41
dream . 90 dream
. 373 dream .
259 dream . 2916
dream . 2232 dream
