a bad decision based on 95
a new official known as 72
a new outlook based on 77
a new outlook began to 46
a new partner comes in 52
a new partner joins the 83
a new partner within the 55
a new partner would be 53
a new patient comes in 130
a new patient comes to 100
a new patient would be 47
a new pattern based on 143
a new pattern began to 245
a new pattern seems to 42
a new pattern which is 174
a new pattern would be 43
a new payment order in 61
a new peaceful order in 86
a new phoenicia working the 59
a new physics based on 62
a new picture began to 113
a new position above the 41
a new position after the 127
a new position based on 80
a new position below the 58
a new position close to 49
a new position could be 84
a new position nearer the 92
a new position paper on 42
a new position quite as 41
a new position taken by 43
a new position taken up 42
a new position under the 187
a new position where he 105
a new position where it 151
a new position where the 227
a new position which is 173
a new position while the 70
a new position within the 1004
a new position would be 86
a new private cause of 46
a new private right of 56
a new problem arose as 48
a new problem arose in 345
a new problem arose to 41
a new problem based on 52
a new problem began to 127
a new problem comes up 266
a new problem crops up 45
a new problem faced the 63
a new problem faces the 45
a new problem posed by 40
a new problem which is 210
a new problem which the 44
a new problem which we 61
a new problem within the 80
a new problem would be 83
a new process based on 174
a new process joins the 52
a new process known as 163
a new process needs to 47
a new process which he 81
a new process which is 162
a new process would be 50
a new product about to 62
a new product aimed at 98
a new product based on 541
a new product comes on 133
a new product could be 269
a new product known as 148
a new product might be 289
a new product needs to 114
a new product tends to 48
a new product under the 87
a new product until it 107
a new product until the 47
a new product where the 45
a new product which he 76
a new product which is 622
a new product which it 124
a new product which the 77
a new product within an 55
a new product within the 121
a new product would be 344
a new program aimed at 260
a new program based on 280
a new program could be 101
a new program known as 186
a new program might be 57
a new program needs to 57
a new program under the 121
a new program which is 107
a new program within the 113
a new program would be 161
a new project aimed at 129
a new project based on 401
a new project comes in 75
a new project comes up 143
a new project could be 59
a new project known as 53
a new project might be 97
a new project under the 54
a new project which he 49
a new project which is 104
a new project within the 62
a new project would be 63
a new prophet arose in 43
a new purpose given it 86
a new quality which is 98
a new quarter within the 44
a new question about the 246
a new question arose in 56
a new question began to 60
a new question comes up 95
a new question which he 65
a new question which is 78
a new regatta frock of 52
a new regional level of 85
a new regional order in 170
a new regular train of 40
a new relation based on 40
a new relation which is 76
a new religion arose in 96
a new religion based on 938
a new religion began to 48
a new religion could be 65
a new religion known as 132
a new religion might be 47
a new religion under the 80
a new religion which he 116
a new religion which is 240
a new religion which the 64
a new religion which we 42
a new religion would be 193
a new request comes in 155
a new research field in 80
a new research field of 50
a new research focus on 49
a new reserve asset to 58
a new revenue stream to 57
a new science based on 207
a new science known as 101
a new science which he 114
a new science which is 169
a new secured party of 43
a new segment within the 60
a new service based on 88
a new service known as 95
a new service which is 53
a new service within the 44
a new service would be 90
a new society after the 140
a new society based on 4002
a new society began to 122
a new society built on 423
a new society could be 492
a new society known as 94
a new society might be 115
a new society ruled by 41
a new society under the 349
a new society where the 275
a new society which he 76
a new society which is 326
a new society within the 640
a new society would be 277
a new solution based on 126
a new solution which is 94
a new solution would be 50
a new species based on 114
a new species could be 110
a new species found in 93
a new species known as 45
a new species might be 82
a new species under the 629
a new species which he 322
a new species which is 172
a new species which we 43
a new species within the 183
a new species would be 210
a new spindle forms in 41
a new stadium would be 82
a new statute could be 108
a new student comes to 48
a new student joins the 72
a new subject shall be 44
a new subject which is 87
a new subject within the 42
a new subject would be 47
a new supreme court of 331
a new supreme court to 49
a new tenancy under the 106
a new traffic light at 66
a new treasure which the 71
a new trustee shall be 191
a new trustee under the 63
a new urgency about the 60
a new urgency after the 118
a new urgency since the 53
a new vantage point in 90
a new vantage point of 54
a new vantage point on 141
a new vantage point to 86
a new variable based on 109
a new variable equal to 134
a new variable which is 319
a new variety known as 53
a new variety might be 137
a new variety under the 42
a new variety which is 101
a new variety would be 52
a new venture based on 79
a new venture under the 43
a new venture which is 50
a new venture would be 61
a new village under the 40
a new village which he 54
a new village within the 78
a new visitor began to 106
a not unfitting close to 56
a not unusual cause of 65
a not unusual method of 42
a not unusual state of 141
a not unworthy rival of 232
a now classic paper by 79
a now classic paper on 60
a now classic study by 105
a now classic study of 334
a now extinct group of 44
a now extinct tribe of 60
a one percent change in 1885
a one percent error in 84
a one percent growth in 63
a one percent level of 55
a one percent share of 57
a pay increase based on 93
a pay increase would be 67
a peak shortly after the 217
a peak voltage equal to 48
a per hectare yield of 67
a poem written about it 56
a poem written about the 318
a poem written after the 156
a poem written under the 65
a poet laureate could do 67
a pot bellied stove in 57
a rag twisted round it 46
a raw material which is 430
a raw material which it 70
a raw material which the 56
a real anxiety about the 135
a real concern about the 468
a real defense under the 47
a real dialogue about the 64
a real division within the 48
a real federal shape by 62
a real function which is 54
a real miracle would be 40
a real outward motion of 45
a real pleasure talking to 67
a real problem about the 128
a real problem faced by 82
a real problem getting the 40
a real problem since the 119
a real problem under the 40
a real problem until the 58
a real problem where the 51
a real problem which is 122
a real problem which the 44
a real problem which we 43
a real problem within the 57
a real question about the 386
a real relation which the 51
a real service could be 44
a real service would be 54
a real stumbling block in 171
a real stumbling block to 314
a real success story in 78
a real treasure house of 67
a real treasure trove of 138
a real tribute under the 56
a real victory which is 43
a red flannel shirt on 72
a red maltese cross on 58
a red pigment found in 156
a red pigment known as 86
a red pigment which is 183
a red traffic light at 127
a red traffic light by 42
a red traffic light in 131
a red traffic light is 163
a red traffic light on 51
a red traffic light or 131
a red traffic light to 116
a sad country russia is 43
a sad stumbling block to 56
a seal located above the 40
a set pattern fixed by 46
a set pattern which is 46
a shoe factory cursing the 49
a sin against taste is 107
a sin against which he 83
a sin against which the 81
a singing creature caged in 92
a song written about it 76
a song written about the 80
a sum certain which is 55
a sum certain within the 506
a sum exactly equal to 181
a sum perhaps equal to 55
a sum roughly equal to 258
a sum several times as 75
a tax benefit equal to 55
a tax imposed under the 285
a tax increase might be 56
a tax increase would be 242
a tax shelter which is 69
a tax shelter within the 61
a ten percent change in 138
a ten percent share in 64
a ten percent share of 167
a ten percent stake in 49
a thin barrier layer of 56
a thin barrier layer to 64
a thin capsule which is 47
a thin compact layer of 50
a thin cuticle which is 43
a thin drizzle began to 71
a thin elastic plate of 41
a thin elastic strip of 54
a thin outside layer of 89
a thin overlying layer of 61
a thin plastic sheet to 49
a thin surface coating of 196
a thin surface crust of 50
a thin surface layer by 51
a thin surface layer in 115
a thin surface layer is 300
a thin surface layer of 3113
a thin surface layer on 148
a thin surface layer or 65
a thin surface layer to 69
a thin uniform coating of 240
a thin uniform layer of 440
a thin uniform layer on 67
a thin vanishing streak of 57
a too limited notion of 45
a too tenable point of 55
a top position within the 56
a top priority after the 47
a top priority since the 40
a top priority within the 115
a top shutter speed of 113
a top surface speed of 54
a two equation model of 55
a two percent change in 46
a war against china in 116
a war against israel in 121
a war against israel on 43
a war against japan in 136
a war against people of 56
a war against russia as 103
a war against russia in 264
a war against russia is 42
a war against russia on 76
a war against russia or 46
a war against russia to 94
a war against spain in 249
a war against spain to 48
a war between parts of 97
a war between people of 76
a war between russia on 86
a war brought about by 483
a war cabinet meeting in 81
a war cabinet meeting on 249
a war council meeting on 50
a war economy based on 44
a war economy shall be 171
a war refugee board to 54
a way forward based on 54
a way forward could be 59
a way forward might be 76
a way forward which is 67
a way forward would be 60
a way totally alien to 88
a way unknown since the 68
a way utterly alien to 172
a weak position within the 123
a web browser running on 231
a web service based on 54
a wry comment about the 73
a year elapsed after the 271
a year shortly after the 56
a yet stronger claim to 42
a yet stronger proof of 67
