radically wrong standard of 43
resources were absorbed in 86
resources were abundant in 102
resources were adequate to 488
resources were affected by 63
resources were allotted to 128
resources were assigned to 246
resources were believed to 101
resources were combined in 42
resources were combined to 54
resources were confined to 105
resources were consumed by 116
resources were consumed in 210
resources were crippled by 45
resources were critical to 86
resources were declared to 42
resources were depleted by 174
resources were depleted in 62
resources were depleted or 61
resources were deployed in 146
resources were deployed to 189
resources were designed to 73
resources were destined to 62
resources were directed at 175
resources were directed by 54
resources were directed to 744
resources were diverted to 1301
resources were employed in 340
resources were employed to 173
resources were engrossed by 61
resources were entirely at 44
resources were essential to 196
resources were expected to 279
resources were expended in 250
resources were expended on 320
resources were expended to 166
resources were explored in 68
resources were exported to 54
resources were included in 152
resources were increased by 171
resources were increased to 45
resources were intended to 123
resources were invested in 1273
resources were invested to 55
resources were involved in 139
resources were lavished on 177
resources were obtained by 77
resources were produced by 41
resources were provided by 801
resources were provided in 118
resources were provided to 461
resources were regarded as 571
resources were replaced by 51
resources were reported to 51
resources were required by 46
resources were required in 110
resources were required to 884
resources were returned to 50
resources were strained by 218
resources were strained in 63
resources were strained to 885
resources were supplied by 112
resources were supposed to 205
resources were switched to 65
resources were targeted at 54
resources were targeted to 63
resources were threatened by 41
resources were unlikely to 80
resources were utilized by 83
resources were utilized in 199
resources were utilized to 182
resources when compared to 348
resources will actually be 172
resources will continue in 73
resources will continue to 2709
resources will normally be 60
resources will probably be 433
resources will therefore be 121
respected their promises of 50
responded more actively to 107
responded more directly to 366
responded more flexibly to 52
responded more promptly to 93
responded most actively to 40
responded most cordially to 83
responded most directly to 125
responded most promptly to 46
responded only partially to 216
responded only slightly to 159
responded very cordially to 51
responded very directly to 40
responded very promptly to 102
responses also occurred in 48
responses during anesthesia of 69
responses during exercise at 101
responses during exercise in 261
responses during exposure to 165
responses during processing of 46
responses from children in 131
responses from children of 71
responses from everyone in 64
responses from exposure to 50
responses from hundreds of 140
responses from managers in 51
responses from patients in 49
responses from repulsion to 64
responses from students as 47
responses from students at 95
responses from students in 311
responses from students of 84
responses from students on 45
responses from students to 82
responses from subjects in 61
responses from thousands of 91
responses give evidence of 51
responses have included the 96
responses have occurred in 157
responses have received no 45
responses have resulted in 114
responses made possible by 66
responses most gratifying to 49
responses must therefore be 110
responses upon exposure to 51
responses were abnormal in 47
responses were achieved by 57
responses were achieved in 185
responses were affected by 335
responses were analyzed as 121
responses were analyzed by 429
responses were analyzed in 389
responses were analyzed on 90
responses were analyzed to 297
responses were assessed by 161
responses were assessed in 96
responses were assigned to 211
responses were averaged by 46
responses were averaged to 136
responses were believed to 55
responses were combined in 57
responses were combined to 196
responses were compared by 79
responses were compared in 76
responses were compared to 715
responses were confined to 157
responses were critical of 45
responses were designed to 161
responses were detected in 498
responses were dictated by 48
responses were directed at 83
responses were directed to 96
responses were elicited at 94
responses were elicited by 778
responses were elicited in 274
responses were elicited on 125
responses were elicited to 61
responses were enhanced by 70
responses were enhanced in 46
responses were examined by 102
responses were examined in 237
responses were examined to 107
responses were expected to 123
responses were followed by 670
responses were followed up 73
responses were governed by 67
responses were included in 487
responses were increased in 46
responses were initiated by 75
responses were intended to 102
responses were modified by 43
responses were observed as 104
responses were observed at 283
responses were observed by 114
responses were observed in 5242
responses were observed on 201
responses were observed to 220
responses were obtained as 187
responses were obtained at 310
responses were obtained by 596
responses were obtained in 2742
responses were obtained on 591
responses were obtained to 395
responses were possible in 49
responses were preceded by 67
responses were produced by 296
responses were produced in 84
responses were prompted by 58
responses were provided by 171
responses were provided to 49
responses were punished by 42
responses were received as 85
responses were received by 218
responses were received in 262
responses were received on 152
responses were received to 260
responses were recorded as 577
responses were recorded at 243
responses were recorded by 674
responses were recorded in 1031
responses were recorded on 2357
responses were recorded to 134
responses were referred to 50
responses were regarded as 236
responses were replaced by 90
responses were reported as 137
responses were reported by 240
responses were reported in 377
responses were reported to 137
responses were required in 95
responses were required of 61
responses were required to 188
responses were returned by 92
responses were returned to 92
responses were reviewed by 44
responses were rewarded by 47
responses were selected to 49
responses were specific to 96
responses were supposed to 92
responses were unlikely to 49
responses were weighted by 75
responses were weighted to 111
responses when compared to 307
responses will continue to 195
responses will indicate the 71
responses will probably be 245
responses will therefore be 69
restraining other violations it 48
restraint ever happened to 42
restraint must therefore be 40
restraint upon commerce in 43
restraint when compared to 46
restraint when discussing the 75
restraint will continue to 48
restricting free movement of 103
restricting their activity to 167
restricting their analysis to 148
restricting their attention to 388
restricting their capacity to 124
restricting their comments to 43
restricting their exercise of 50
restricting their exposure to 41
restricting their functions to 226
restricting their interest to 49
restricting their operation to 56
restricting their practice to 45
restricting their services to 50
restricts free movement of 71
restricts their capacity to 186
resultant flux produced by 47
resultant wave produced by 130
resultant will continue to 47
resultant will therefore be 61
resultant wind pressure on 83
retailers have invested in 58
retailers must consider the 58
retailers sell directly to 45
retailers were expected to 47
retailers were prepared to 45
retailers were required to 271
retailers will continue to 255
retainers were expected to 52
retainers were required to 52
retaliation fell specially on 42
reticulum cell sarcomas in 374
reticulum cell sarcomas of 255
reticulum cell sarcomas or 120
reticulum were observed in 57
retrieval cues provided by 94
retrieval will continue to 41
retrieved their fortunes in 44
revelation made manifest to 54
revelation made possible by 68
revelation must therefore be 110
reversals have occurred in 115
reversals were observed in 46
reviewers drew attention to 82
reviewers have objected to 55
reviewers have referred to 50
reviewers must minister to 78
reviewers took exception to 66
reviewers were critical of 112
reviewers were inclined to 164
reviewers were prepared to 83
reviewers were troubled by 42
revocation made pursuant to 108
revolution also affected the 54
revolution also occurred in 61
revolution also provided the 67
revolution been received in 103
revolution ever achieved by 75
revolution ever effected in 72
revolution ever recorded in 42
revolution from february to 70
revolution have combined to 61
revolution have produced the 85
revolution have resulted in 101
revolution having occurred in 41
revolution leading directly to 61
revolution made possible by 310
revolution made possible the 248
revolution must therefore be 166
revolution were followed by 63
revolution were inspired by 47
revolution were prepared to 57
revolution were regarded as 42
revolution were supposed to 55
revolution will continue to 473
revolution will overthrow the 42
revolution will probably be 83
revolution will strengthen the 49
revolution will therefore be 58
revolvers were employed in 141
revolvers were strapped to 47
rhythmical slow activity in 87
ribosomes during initiation of 63
ribosomes were prepared as 46
ribosomes were prepared by 57
rivalries have resulted in 53
rivalries will continue to 54
robberies have occurred in 51
robberies were reported in 91
robberies were reported to 163
romantics were inclined to 43
rotational axis parallel to 87
rotational axis relative to 343
rotational wave functions of 80
roughshod over everyone in 111
routinely been included in 43
routinely draw attention to 42
routinely make decisions on 42
royalists came suddenly on 69
royalists were contending to 57
royalists were desirous of 72
royalties paid pursuant to 114
royalties were assigned to 47
