rabbi stroked his beard 73
roles towards each other 66
rolling against each other 494
rolling country with many 52
rolling country with some 61
rolling forward and back 99
rolling forward and down 141
rolling friction has been 44
rolling process has been 163
rolling tackles and other 86
rolling towards each other 62
rolling towards them like 47
rolling upwards his eyes 51
rolls because they have 51
rolls because they were 126
rolls covered with felt 42
rolls receive his name 239
roman letters are used 157
roofing material and other 44
roofing material for their 57
roofing material has been 150
roofing material that will 48
roofs because they were 42
roofs covered with bark 65
roofs covered with clay 65
roofs covered with dirt 48
roofs covered with moss 62
roofs covered with palm 103
roofs covered with snow 187
roofs covered with thick 47
roofs covered with tile 54
roofs covered with turf 61
roofs thatched with palm 528
rooms adjoining each other 280
rooms because they have 151
rooms because they were 303
rooms branching off from 76
rooms crowded with beds 53
rooms pleasant with live 48
roots because they have 48
roots because they were 83
roots branching out from 62
roots clotted with dirt 72
roots covered with moss 51
roots covered with soil 115
roots extending far back 269
roots extending far into 52
roots kindled his fire 90
roots perplex her ways 134
roots stretch far back 91
roots support for their 218
roots together with their 43
roped together with their 40
roses because they were 58
roses bloomed and fell 54
roses painted all over 70
roses stained and lost 203
rotor current and flux 55
rotting bellows and wood 58
rough against her back 98
rough against her bare 172
rough against her face 113
rough against her neck 41
rough against her palm 152
rough against her skin 565
rough against her soft 71
rough against his skin 100
rough attempt had been 60
rough attempt has been 117
rough attempt was made 132
rough because they have 47
rough benches for seats 44
rough contact and busy 108
rough country and there 41
rough country and were 41
rough country out there 127
rough fellows who were 93
rough heights that half 48
rough honesty for such 47
rough justice had been 135
rough justice has been 81
rough justice was done 120
rough lessons that youth 85
rough outline for your 101
rough outline has been 44
rough sandals and some 47
rough surface has been 165
rough surface that will 77
rough surface with many 73
rough terrain and heavy 71
rough terrain and high 45
rough terrain and lack 56
rough terrain and poor 92
rough terrain and thick 50
round against her helm 109
round because they have 44
round because they were 156
round between each blow 273
round between his eyes 46
round between his finger 48
round between his lips 109
round between his port 46
round between his thumb 121
round corners and down 57
round corners and gilt 180
round corners and into 117
round corners and over 157
round corners with loud 41
round figures are used 95
round glasses that gave 59
round glasses that made 75
round numbers are used 512
round numbers how many 63
round objects and time 61
round quickly and went 45
round scholar now living 194
round sections cut from 124
round sharply and said 55
round timbers are used 103
round towards each other 228
round towards him when 47
round vaguely for nina 54
round windows and rice 120
rouse himself and come 46
rouse himself and look 137
rouse himself and make 59
rouse himself and seem 70
rouse himself and take 144
rouse himself and walk 72
route because they have 62
route because they were 87
route beginning and ending 50
route between any pair 79
route between each pair 129
route between his home 134
route between key west 82
route between new york 7318
route between san jose 58
route between san juan 49
route between that city 84
route between this city 53
route branching off from 43
route entails this risk 101
route marches with full 42
routing problem has been 72
routing problem with soft 46
routing problem with time 2029
routing updates are sent 226
rowed against each other 56
royal banquet had been 48
royal banquet was held 100
royal bourbon was more 45
royal brothers and their 142
royal captive with great 47
royal carriage was sent 53
royal castles and fill 98
royal castles and other 51
royal castles had been 89
royal charter for their 65
royal charter had been 201
royal charter that gave 80
royal charter was ever 60
royal coffers with gold 253
royal command had been 63
royal consent had been 130
royal consort and their 44
royal control had been 62
royal council for four 55
royal council had been 87
royal council was held 57
royal decrees and laws 67
royal decrees and other 126
royal decrees had been 95
royal demesne had been 166
royal dignity for just 99
royal dignity had been 249
royal dignity has been 49
royal domains and from 46
royal domains had been 105
royal dynasty had been 68
royal estates and from 54
royal estates and other 46
royal estates and those 48
royal estates had been 90
royal forests had been 111
royal freight had been 48
royal hankering for peace 45
royal husband and wife 132
royal letters had been 287
royal license had been 55
royal majesty and your 42
royal majesty had been 51
royal mandate had been 41
royal mandate was sent 89
royal marriage had been 131
royal marriage has been 64
royal message had been 61
royal message was sent 219
royal mummies had been 76
royal official had been 40
royal palaces and great 58
royal palaces and other 196
royal palaces and their 139
royal palaces had been 101
royal palaces that were 60
royal palaces with their 52
royal parents and their 67
royal patrons and their 46
royal pavilion had been 52
royal pennant had done 49
royal persons and great 44
royal persons and their 84
royal persons who have 45
royal pleasure and were 72
royal pleasure had been 92
royal pleasure that these 118
royal position for just 61
royal position for such 650
royal princes and great 54
royal princes and high 52
royal princes and other 59
royal princes and their 119
royal princes had been 59
royal princes has been 55
royal princes who were 115
royal promise had been 47
royal revenue had been 148
royal revenue was paid 56
royal salutes had been 103
royal sanction for their 103
royal sanction had been 72
royal sanction was held 40
royal scarlet and gold 54
royal service had been 55
royal shelter this huge 58
royal stables had been 43
royal support for their 141
royal treasure had been 73
royal treasure was kept 102
royal treasury and from 75
royal treasury and made 46
royal treasury and those 50
royal treasury but also 45
royal treasury for their 107
royal treasury had been 199
royal treasury was kept 46
royal warrant for their 44
royal warrant had been 50
rubbing against each other 17200
rubbing against her back 109
rubbing against her bare 75
rubbing against her body 57
rubbing against her face 93
rubbing against her feet 85
rubbing against her legs 897
rubbing against her side 64
rubbing against her skin 264
rubbing against her thigh 62
rubbing against him like 121
rubbing against his back 124
rubbing against his bare 47
rubbing against his body 53
rubbing against his face 72
rubbing against his hand 42
rubbing against his legs 1167
rubbing against his neck 98
rubbing against his side 40
rubbing against his skin 225
rubbing against his thigh 90
rubbing against our legs 118
rubbing alcohol and wipe 62
rubbing between her legs 97
rubbing herself all over 121
rubbing himself all over 102
rubbing lightly with fine 115
rubbing linseed oil into 125
ruder brethren all over 100
ruder wigwams and cloth 80
ruining himself for life 45
ruins because they were 46
ruled against her will 52
ruled against new york 40
ruled because they were 160
ruled rhodesia and south 113
ruled supreme with iron 43
ruler impedes his hold 50
rules adopted for their 70
rules against that kind 50
rules against that sort 75
rules against this kind 46
rules against this sort 44
rules applied not only 84
rules because they feel 80
rules because they have 882
rules because they knew 44
rules because they know 63
rules because they make 62
rules because they want 80
rules because they were 460
rules because they will 74
rules contain one rule 45
rules dictate that only 40
rules governing all other 47
rules governing all such 40
rules governing all these 43
rules governing any other 334
rules governing bad debt 41
rules governing each type 52
rules governing how many 62
rules governing how much 313
rules governing how these 179
rules governing not only 234
rules governing that sort 74
rules governing them have 62
rules governing them were 87
rules governing this body 89
rules governing this form 88
rules governing this kind 67
rules governing this sort 52
rules governing this type 153
rules governing who gets 41
rules imposed for their 50
rules include not only 235
rules prevent him from 76
rules prevent them from 168
rules prevent you from 142
rules provide for filing 334
rules provide for more 50
rules provide for other 94
rules provide for such 125
rules provide for their 54
rules provide for three 93
rules provide that only 208
rules provide that such 169
rules provide that there 98
rules provide that upon 95
rules provide that when 178
rules providing for such 128
rules regarding how many 44
rules regarding how much 141
rules require not only 101
rules require that only 156
rules require that such 240
rules require that there 104
rules require that these 93
rules require that when 85
rules specify that only 59
rules together with their 112
running account was kept 80
running account with some 46
running against each other 2376
running against one side 71
running aground for half 66
running because they were 93
running because you were 54
running between each pair 55
running between her legs 138
running between his eyes 42
running between his feet 43
running between his four 68
running between his legs 278
running between new york 4108
running between our legs 42
running between that city 51
running between that port 43
running between them from 67
running between them like 71
running between them such 44
running between this city 74
running between this port 45
running between two high 152
running between two rows 317
running counter not only 70
running errands all over 62
running errands and buying 40
running errands and making 127
running errands and taking 127
running errands for other 65
running errands for some 100
running errands for their 299
running errands for those 72
running errands for your 84
running forward and back 243
running forward and giving 103
running forward with great 44
running forward with their 90
running northeast and south 95
running quickly and bearing 45
running rampant all over 259
running repairs are made 49
running schools and other 43
running smoothly and make 45
running smoothly and making 42
running smoothly and there 80
running smoothly and well 249
running smoothly and your 40
running smoothly for years 57
running stronger than ever 128
running together and leaping 102
running together and like 102
running towards each other 350
running towards her from 139
running towards him along 55
running towards him down 128
running towards him from 575
running towards him like 79
running towards them from 227
rural america and from 69
rural america had been 95
rural america has been 271
rural classes and their 49
rural clinics and health 47
rural culture has been 54
rural economy and also 74
rural economy and have 43
rural economy and land 147
rural economy and life 178
rural economy and living 47
rural economy and their 68
rural economy but also 132
rural economy for their 45
rural economy had been 239
rural economy has also 90
rural economy has been 849
rural economy may have 54
rural economy that will 43
rural economy was also 56
rural economy was more 136
rural elderly are more 125
rural farmers and their 80
rural farmers who were 55
rural history has been 57
rural incomes and food 58
rural incomes and living 108
rural incomes has been 53
rural ireland had been 51
rural markets has been 44
rural medical and health 314
rural midwest and south 281
rural parents and their 45
rural peasants who were 43
rural portico was seen 44
rural poverty and food 291
rural poverty and high 55
rural poverty and lack 213
rural poverty and land 268
rural poverty but also 85
rural poverty had been 59
rural poverty has been 579
rural rectory with your 46
rural scenery and life 82
rural schools all over 69
rural schools and also 85
rural schools and city 65
rural schools and from 53
rural schools and have 45
rural schools and health 222
rural schools and high 45
rural schools and more 45
rural schools and other 77
rural schools and some 52
rural schools and their 208
rural schools and those 90
rural schools and were 43
rural schools are also 48
rural schools are less 155
rural schools are more 228
rural schools are very 50
rural schools for their 51
rural schools for three 49
rural schools had been 249
rural schools had only 74
rural schools has been 331
rural schools may have 75
rural schools not only 44
rural schools that have 128
rural schools that were 132
rural schools who have 63
rural schools who were 43
rural schools with their 43
rural sections has been 47
rural sectors has been 54
rural service has been 40
rural society and also 59
rural society and have 58
rural society and their 119
rural society and were 68
rural society but also 94
rural society had been 201
rural society has been 555
rural society may have 70
rural society that were 42
rural society was also 48
rural society who have 42
rural society who were 56
rural teachers and other 41
rural teachers has been 45
rural teachers who have 92
rural teachers who were 64
rural tourism has been 90
rural triumph can give 99
rural upstate new york 2342
rural village has been 42
rural western new york 393
rural workers and other 46
rural workers and poor 84
rural workers and their 472
rural workers and those 117
rural workers are more 99
rural workers but also 57
rural workers had been 125
rural workers has been 101
rural workers who have 250
rural workers who were 253
rushing against each other 366
rushing against her face 63
rushing against his face 72
rushing breakers and foam 49
rushing forward and taking 52
rushing forward and trying 42
rushing forward for some 62
rushing forward with full 43
rushing forward with giant 56
rushing forward with great 68
rushing forward with loud 59
rushing forward with such 114
rushing forward with their 170
rushing towards each other 317
rushing towards him from 89
rushing towards him like 42
rushing towards them from 139
